subject,study_role,estimate_type,held_out_run,training_runs,method,search_low_hz,search_high_hz,minimum_prominence_db,peak_frequency_hz,candidate_frequency_hz,peak_prominence_db,peak_width_hz,peak_quality,method_available,failure_reason,rest_epoch_count,central_roi,frequency_estimation_data,task_outcome_used
2,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,12.0,12.0,5.247839719498344,1.3517631842643345,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.5,11.5,4.61202756685438,2.080839258303568,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_6_14Hz_prom_1dB,6.0,14.0,1.0,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_6_14Hz_prom_1dB,6.0,14.0,1.0,12.0,12.0,5.247839719498344,1.3517631842643345,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.5,11.5,4.61202756685438,2.080839258303568,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_1dB,6.0,14.0,1.0,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,12.0,12.0,5.247839719498344,1.3517631842643345,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.5,11.5,4.61202756685438,2.080839258303568,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_7_15Hz_prom_1dB,7.0,15.0,1.0,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_15Hz_prom_1dB,7.0,15.0,1.0,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_1dB,7.0,15.0,1.0,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,6,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,12.0,12.0,6.323039750810125,2.235831889467536,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,10,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,12.0,12.0,4.312241604870437,1.2537719288760005,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,independent_single_run,,14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.25,11.25,5.866266331821194,2.1652281951538237,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.5,11.5,4.256700107287202,2.0209465846862793,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.25,11.25,5.411876540430015,2.226595741838808,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
2,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,12.0,12.0,5.033548269681901,1.7553541812622075,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_1.5dB,7.0,14.0,1.5,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_0.5dB,6.0,14.0,0.5,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_1dB,6.0,14.0,1.0,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.75,11.75,3.361340614113388,0.5951108836710901,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.5,11.5,2.0944070822140617,0.6356911517529538,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.25,11.25,3.720170308407603,1.0957560243159392,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.75,11.75,2.6540201959850833,0.989529258956412,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_6_14Hz_prom_1.5dB,6.0,14.0,1.5,11.75,11.75,1.9386196233186865,1.0269144643828962,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,13.75,13.75,5.890757855186607,0.8993177209341221,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,13.5,13.5,2.6400277940890504,0.49894570507506497,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.25,11.25,4.652653357237014,1.301675693005532,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,11.75,11.75,3.7388415194269413,1.2354900268603877,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_0.5dB,7.0,15.0,0.5,13.5,13.5,3.9849344875013912,0.782530173380791,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_15Hz_prom_1dB,7.0,15.0,1.0,13.75,13.75,5.890757855186607,0.8993177209341221,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_15Hz_prom_1dB,7.0,15.0,1.0,13.5,13.5,2.6400277940890504,0.49894570507506497,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.25,11.25,4.652653357237014,1.301675693005532,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_1dB,7.0,15.0,1.0,11.75,11.75,3.7388415194269413,1.2354900268603877,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_1dB,7.0,15.0,1.0,13.5,13.5,3.9849344875013912,0.782530173380791,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,6,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,13.75,13.75,5.890757855186607,0.8993177209341221,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,10,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,13.5,13.5,2.6400277940890504,0.49894570507506497,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,independent_single_run,,14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.25,11.25,4.652653357237014,1.301675693005532,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,6,10/14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.25,11.25,2.4583268910750746,0.8144666272826715,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,10,6/14,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,11.75,11.75,3.7388415194269413,1.2354900268603877,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
4,method_development,leave_one_run_out,14,6/10,search_7_15Hz_prom_1.5dB,7.0,15.0,1.5,13.5,13.5,3.9849344875013912,0.782530173380791,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,6,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,8.0,8.0,2.2798055368624404,0.6273940604361082,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,12.25,12.25,1.9000837847325727,0.23941795472393235,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,9.25,9.25,2.626834956661824,0.44258915210589667,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,8.25,8.25,1.743361734842921,0.49545628850758483,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,8.0,8.0,1.9010370972645063,0.6120993477844836,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_0.5dB,7.0,14.0,0.5,12.25,12.25,1.4086579722720387,0.3851695743220924,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,6,search_7_14Hz_prom_1dB,7.0,14.0,1.0,8.0,8.0,2.2798055368624404,0.6273940604361082,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,12.25,12.25,1.9000837847325727,0.23941795472393235,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,independent_single_run,,14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,9.25,9.25,2.626834956661824,0.44258915210589667,well_defined_interior,True,,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,6,10/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,8.25,8.25,1.743361734842921,0.49545628850758483,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,10,6/14,search_7_14Hz_prom_1dB,7.0,14.0,1.0,8.0,8.0,1.9010370972645063,0.6120993477844836,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
6,method_development,leave_one_run_out,14,6/10,search_7_14Hz_prom_1dB,7.0,14.0,1.0,12.25,12.25,1.4086579722720387,0.3851695743220924,well_defined_interior,True,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
