subject,run_a,run_b,peak_a_hz,peak_b_hz,abs_difference_hz
40,6,14,13.5,12.25,1.25
40,10,14,8.75,12.25,3.5
41,6,10,9.0,10.75,1.75
41,6,14,9.0,8.25,0.75
41,10,14,10.75,8.25,2.5
42,6,10,13.0,12.75,0.25
42,6,14,13.0,13.0,0.0
42,10,14,12.75,13.0,0.25
43,6,10,11.75,11.5,0.25
43,6,14,11.75,11.5,0.25
43,10,14,11.5,11.5,0.0
44,6,10,9.5,9.5,0.0
44,6,14,9.5,9.75,0.25
44,10,14,9.5,9.75,0.25
45,6,10,9.0,12.0,3.0
45,6,14,9.0,11.5,2.5
45,10,14,12.0,11.5,0.5
46,6,10,12.5,9.75,2.75
46,6,14,12.5,12.25,0.25
46,10,14,9.75,12.25,2.5
47,6,10,9.5,9.0,0.5
47,6,14,9.5,9.75,0.25
47,10,14,9.0,9.75,0.75
48,6,10,10.0,8.25,1.75
48,6,14,10.0,9.0,1.0
48,10,14,8.25,9.0,0.75
49,6,10,7.75,10.0,2.25
49,6,14,7.75,7.75,0.0
49,10,14,10.0,7.75,2.25
50,6,10,11.75,9.75,2.0
50,6,14,11.75,11.0,0.75
50,10,14,9.75,11.0,1.25
51,6,10,11.75,10.0,1.75
51,6,14,11.75,12.0,0.25
51,10,14,10.0,12.0,2.0
52,6,10,11.25,10.75,0.5
52,6,14,11.25,11.5,0.25
52,10,14,10.75,11.5,0.75
53,6,10,13.25,11.5,1.75
53,6,14,13.25,12.5,0.75
53,10,14,11.5,12.5,1.0
54,6,10,10.5,10.75,0.25
54,6,14,10.5,9.75,0.75
54,10,14,10.75,9.75,1.0
55,6,10,10.5,10.5,0.0
55,6,14,10.5,10.5,0.0
55,10,14,10.5,10.5,0.0
56,6,10,10.0,9.75,0.25
56,6,14,10.0,10.25,0.25
56,10,14,9.75,10.25,0.5
57,6,10,7.5,11.0,3.5
57,6,14,7.5,11.25,3.75
57,10,14,11.0,11.25,0.25
58,6,10,9.5,9.5,0.0
58,6,14,9.5,9.75,0.25
58,10,14,9.5,9.75,0.25
59,6,10,11.25,11.75,0.5
59,6,14,11.25,11.5,0.25
59,10,14,11.75,11.5,0.25
60,6,10,12.25,11.75,0.5
60,6,14,12.25,11.75,0.5
60,10,14,11.75,11.75,0.0
61,6,10,9.5,9.5,0.0
61,6,14,9.5,9.75,0.25
61,10,14,9.5,9.75,0.25
62,6,10,11.75,11.25,0.5
62,6,14,11.75,11.5,0.25
62,10,14,11.25,11.5,0.25
63,6,10,8.75,11.0,2.25
63,6,14,8.75,11.5,2.75
63,10,14,11.0,11.5,0.5
64,6,10,12.0,9.75,2.25
64,6,14,12.0,9.75,2.25
64,10,14,9.75,9.75,0.0
65,6,10,8.25,8.0,0.25
65,6,14,8.25,7.75,0.5
65,10,14,8.0,7.75,0.25
66,6,10,10.0,10.0,0.0
66,6,14,10.0,9.75,0.25
66,10,14,10.0,9.75,0.25
67,6,10,11.75,12.25,0.5
67,6,14,11.75,10.5,1.25
67,10,14,12.25,10.5,1.75
68,6,10,13.25,8.0,5.25
68,6,14,13.25,8.75,4.5
68,10,14,8.0,8.75,0.75
69,6,10,9.5,9.75,0.25
69,6,14,9.5,11.5,2.0
69,10,14,9.75,11.5,1.75
70,6,10,11.0,10.5,0.5
70,6,14,11.0,10.5,0.5
70,10,14,10.5,10.5,0.0
71,6,10,12.5,12.5,0.0
71,6,14,12.5,12.0,0.5
71,10,14,12.5,12.0,0.5
72,6,10,11.0,11.0,0.0
72,6,14,11.0,11.25,0.25
72,10,14,11.0,11.25,0.25
73,6,10,12.5,12.0,0.5
73,6,14,12.5,11.25,1.25
73,10,14,12.0,11.25,0.75
74,6,10,8.25,8.5,0.25
74,6,14,8.25,8.75,0.5
74,10,14,8.5,8.75,0.25
75,6,10,11.5,8.25,3.25
75,6,14,11.5,7.75,3.75
75,10,14,8.25,7.75,0.5
76,6,10,9.5,8.75,0.75
76,6,14,9.5,9.0,0.5
76,10,14,8.75,9.0,0.25
77,6,10,9.0,8.75,0.25
77,6,14,9.0,8.25,0.75
77,10,14,8.75,8.25,0.5
78,6,10,10.25,10.5,0.25
78,6,14,10.25,11.25,1.0
78,10,14,10.5,11.25,0.75
79,6,10,8.5,8.5,0.0
79,6,14,8.5,8.75,0.25
79,10,14,8.5,8.75,0.25
80,6,10,12.25,12.25,0.0
80,6,14,12.25,10.75,1.5
80,10,14,12.25,10.75,1.5
81,6,10,11.25,11.0,0.25
81,6,14,11.25,10.75,0.5
81,10,14,11.0,10.75,0.25
82,6,10,10.25,10.0,0.25
82,6,14,10.25,9.75,0.5
82,10,14,10.0,9.75,0.25
83,6,10,10.0,10.0,0.0
83,6,14,10.0,9.25,0.75
83,10,14,10.0,9.25,0.75
84,6,10,10.25,10.75,0.5
84,6,14,10.25,9.25,1.0
84,10,14,10.75,9.25,1.5
85,6,10,12.25,11.75,0.5
85,6,14,12.25,11.75,0.5
85,10,14,11.75,11.75,0.0
86,6,10,9.25,10.0,0.75
86,6,14,9.25,7.25,2.0
86,10,14,10.0,7.25,2.75
87,6,10,10.25,13.25,3.0
87,6,14,10.25,8.75,1.5
87,10,14,13.25,8.75,4.5
89,6,10,8.5,12.25,3.75
89,6,14,8.5,8.5,0.0
89,10,14,12.25,8.5,3.75
90,6,10,11.25,11.0,0.25
90,6,14,11.25,10.75,0.5
90,10,14,11.0,10.75,0.25
91,6,10,10.0,11.25,1.25
91,6,14,10.0,10.5,0.5
91,10,14,11.25,10.5,0.75
93,6,10,11.0,11.0,0.0
93,6,14,11.0,11.25,0.25
93,10,14,11.0,11.25,0.25
94,6,10,12.5,12.75,0.25
94,6,14,12.5,12.25,0.25
94,10,14,12.75,12.25,0.5
95,6,10,12.5,12.25,0.25
95,6,14,12.5,12.5,0.0
95,10,14,12.25,12.5,0.25
96,6,10,7.25,10.5,3.25
96,6,14,7.25,12.5,5.25
96,10,14,10.5,12.5,2.0
97,6,10,11.25,11.0,0.25
97,6,14,11.25,9.5,1.75
97,10,14,11.0,9.5,1.5
98,6,10,10.0,10.25,0.25
98,6,14,10.0,10.25,0.25
98,10,14,10.25,10.25,0.0
99,6,10,9.25,9.75,0.5
99,6,14,9.25,9.0,0.25
99,10,14,9.75,9.0,0.75
101,6,10,8.25,7.5,0.75
101,6,14,8.25,9.5,1.25
101,10,14,7.5,9.5,2.0
102,6,10,11.75,10.25,1.5
102,6,14,11.75,8.25,3.5
102,10,14,10.25,8.25,2.0
103,6,10,9.0,8.5,0.5
103,6,14,9.0,10.25,1.25
103,10,14,8.5,10.25,1.75
104,6,10,9.75,12.5,2.75
104,6,14,9.75,11.75,2.0
104,10,14,12.5,11.75,0.75
105,6,10,11.5,10.0,1.5
105,6,14,11.5,11.25,0.25
105,10,14,10.0,11.25,1.25
106,6,10,8.5,9.25,0.75
106,6,14,8.5,9.0,0.5
106,10,14,9.25,9.0,0.25
107,6,10,9.75,10.5,0.75
107,6,14,9.75,10.25,0.5
107,10,14,10.5,10.25,0.25
108,6,10,11.25,11.0,0.25
108,6,14,11.25,10.5,0.75
108,10,14,11.0,10.5,0.5
109,6,10,13.5,13.5,0.0
109,6,14,13.5,8.25,5.25
109,10,14,13.5,8.25,5.25
