subject,cohort,technical_eligibility,failure_reason,subject_is_group_observational_unit,c4_fists_trial_count,c4_negative_trial_count,c4_negative_trial_fraction,c4_median_percent_change,c4_iqr_percentage_points,c4_run_6_median,c4_run_10_median,c4_run_14_median,c4_supporting_run_count,c4_run_direction,c4_qc_sensitivity_median,c4_qc_direction_preserved,c3_fists_trial_count,c3_negative_trial_count,c3_negative_trial_fraction,c3_median_percent_change,c3_iqr_percentage_points,c3_run_6_median,c3_run_10_median,c3_run_14_median,c3_supporting_run_count,c3_run_direction,c3_qc_sensitivity_median,c3_qc_direction_preserved
37,replication_2,eligible,,True,21,7,0.3333333333333333,10.64848674401776,37.64498388128897,10.711173288397827,22.328555364652228,2.3591739481529004,0,0/3_negative,10.64848674401776,True,21,12,0.5714285714285714,-1.9915901453110485,69.17165354328893,-0.5864598188000355,-23.514108963717025,22.460497086875186,2,2/3_negative,-0.5864598188000355,True
38,replication_2,eligible,,True,23,12,0.5217391304347826,-1.0652502093736727,65.47268174555668,-24.19458045079314,22.26270210664572,-1.0652502093736727,2,2/3_negative,-0.1711767046038144,True,23,12,0.5217391304347826,-1.4684808093771728,53.3789910531901,-1.9972252018887795,-0.3697429243453991,35.62399385496934,2,2/3_negative,-1.9972252018887795,True
39,replication_2,eligible,,True,23,11,0.4782608695652174,18.66285630165879,86.36283347015342,-31.441024387192634,47.113408719945156,9.267012951791731,1,1/3_negative,20.334853461078968,True,23,13,0.5652173913043478,-10.686809674868877,105.11196108431032,-32.19514716664481,-9.894466903692047,12.70667418610659,2,2/3_negative,-10.290638289280462,True
40,replication_2,eligible,,True,22,10,0.45454545454545453,3.2656553126170147,37.02064164355556,3.3883066556571215,-0.5864794128316848,3.8174554962367453,1,1/3_negative,2.7138551289972836,True,22,12,0.5454545454545454,-9.134915156834726,72.9841094241552,15.629987081407624,-26.541131803576643,35.25027174199434,1,1/3_negative,-8.758290259411439,True
41,replication_2,eligible,,True,21,14,0.6666666666666666,-20.064098658087005,49.95580254526594,0.3821952967693108,-46.641419025357465,-0.6034253336779414,2,2/3_negative,-20.064098658087005,True,21,12,0.5714285714285714,-7.699075014248769,47.55733219080565,-5.880790847064688,-9.41654638186973,-12.630056010991723,3,3/3_negative,-7.699075014248769,True
42,replication_2,eligible,,True,24,23,0.9583333333333334,-74.44037992192298,29.88767809524566,-72.03998279316916,-80.0085324576867,-59.49987561734381,3,3/3_negative,-74.83697620492909,True,24,21,0.875,-54.88700487252449,18.311983239579547,-58.07138979504363,-49.58456492758289,-55.2967070748947,3,3/3_negative,-55.92242025900568,True
43,replication_2,eligible,,True,23,18,0.782608695652174,-67.3075542103,66.88745384135083,-28.050296772219482,-67.66382797864871,-74.48841274448775,3,3/3_negative,-66.15584590023025,True,23,19,0.8260869565217391,-64.9486490066507,36.88529660290491,-65.38603027745054,-62.21856344133352,-50.415876524875166,3,3/3_negative,-62.21856344133352,True
44,replication_2,eligible,,True,23,16,0.6956521739130435,-45.41223673475465,75.811390165832,-32.81749273837175,-54.433833144591496,-63.0931192251212,3,3/3_negative,-46.24960623364481,True,23,12,0.5217391304347826,-35.98089315286186,92.53217030659006,-10.582088371323287,-47.7419508156535,3.786675461856485,2,2/3_negative,-36.102642187932936,True
45,replication_2,eligible,,True,24,18,0.75,-39.55574257351511,58.912529619511105,-22.453139509879524,-61.280719376661864,-59.68084811055542,3,3/3_negative,-36.75345277674165,True,24,20,0.8333333333333334,-53.849200282623,49.16379024548133,-30.129934940178067,-64.77758604137321,-61.37755222492008,3,3/3_negative,-58.54977637303307,True
46,replication_2,eligible,,True,22,13,0.5909090909090909,-20.295668553361324,66.6685296665922,11.412489573460395,-22.881157625478874,-38.24056386318497,2,2/3_negative,-33.843212499861586,True,22,16,0.7272727272727273,-14.530223198599943,49.73795036577546,-25.76487901850991,-1.5928504542193112,-38.201409770599895,3,3/3_negative,-37.79291645666291,True
47,replication_2,eligible,,True,23,12,0.5217391304347826,-10.045212303700644,63.0434338754341,8.104532571198202,-20.779480938866577,-13.056875912514402,2,2/3_negative,8.104532571198202,False,23,12,0.5217391304347826,-8.069582120204913,76.65595644680386,-4.405277567687369,31.766156104985775,-8.237073254584757,2,2/3_negative,14.611130914009786,False
48,replication_2,eligible,,True,24,15,0.625,-26.669125066988727,86.71204442556899,-26.074824244767576,-17.929233453738355,-32.04930052754208,3,3/3_negative,-15.721291205865702,True,24,22,0.9166666666666666,-67.08305465428913,40.26973787146581,-65.59263421034562,-61.920541162279626,-75.58993135796047,3,3/3_negative,-65.59263421034562,True
49,replication_2,eligible,,True,21,17,0.8095238095238095,-36.60856044218058,41.902204518752896,-21.70716453417356,-58.71767990547503,-40.73754717877497,3,3/3_negative,-28.44055052108468,True,21,14,0.6666666666666666,-32.15997617043332,53.864333500585325,5.707197322713825,-32.15997617043332,-47.662454658472406,2,2/3_negative,-25.69201053602552,True
50,replication_2,eligible,,True,24,6,0.25,35.889381055152455,75.72167547870215,52.7410670817521,43.544687315403884,3.3385532764741015,0,0/3_negative,35.889381055152455,True,24,18,0.75,-16.291741220890707,37.74564622390529,-7.463487792786097,-35.64007291068192,-16.264427381121536,3,3/3_negative,-15.679697717544862,True
51,replication_2,eligible,,True,21,12,0.5714285714285714,-4.632648550353714,45.711185355279554,4.262685117043732,-27.002948928868907,-8.740350009599169,2,2/3_negative,-4.632648550353714,True,21,11,0.5238095238095238,-15.218183417407158,74.4420839323951,-29.57423053815007,5.274963672086059,29.545478644699028,1,1/3_negative,-28.05736657177672,True
52,replication_2,eligible,,True,22,18,0.8181818181818182,-53.91419813820772,52.81072285961241,-78.51257020258427,-8.799479058110693,-56.02555076474215,3,3/3_negative,-53.91419813820772,True,22,17,0.7727272727272727,-70.14343145167524,70.9806482571394,-84.9244738227757,-34.65491368321598,-70.14343145167524,3,3/3_negative,-70.14343145167524,True
53,replication_2,eligible,,True,23,13,0.5652173913043478,-7.034766607802186,60.03738927385429,-7.034766607802186,-27.462619379552848,16.41862535112879,2,2/3_negative,-8.069705398611783,True,23,17,0.7391304347826086,-12.506164772110187,43.75944730452319,-25.78708277537884,-10.164722801371866,-7.0040813329778775,3,3/3_negative,-15.229614686288564,True
54,replication_2,eligible,,True,23,20,0.8695652173913043,-53.76893068295194,48.578164183609154,-56.45575716097756,-40.70352590242099,-67.47324167815778,3,3/3_negative,-53.76893068295194,True,23,20,0.8695652173913043,-61.97224154723795,30.33092549967632,-61.97224154723795,-58.35054217649707,-68.67796925932424,3,3/3_negative,-61.97224154723795,True
55,replication_2,eligible,,True,23,21,0.9130434782608695,-51.068763815461345,28.65566628047153,-58.71961723470197,-56.574930815989944,-36.61294353233951,3,3/3_negative,-51.068763815461345,True,23,21,0.9130434782608695,-38.710788121359144,24.81675115127898,-39.45646636296651,-45.56480324970195,-30.183745218237085,3,3/3_negative,-38.710788121359144,True
56,replication_2,eligible,,True,23,15,0.6521739130434783,-7.390151127412833,44.47985286730557,-20.44622048617492,-14.963749029742175,17.938771465612163,2,2/3_negative,-7.390151127412833,True,23,11,0.4782608695652174,0.2190743266758927,57.66047442435364,-21.832270150567297,-22.4773688715692,23.932999010208984,2,2/3_negative,-5.88331643420121,False
57,replication_2,eligible,,True,22,16,0.7272727272727273,-37.18253650364939,61.120168591959334,-48.3599402361861,-29.0586226951084,-25.941281316158094,3,3/3_negative,-37.18253650364939,True,22,14,0.6363636363636364,-13.44167148977634,68.35027897397802,-19.27882766645918,-15.111842090505506,23.905829282669806,2,2/3_negative,-13.44167148977634,True
58,replication_2,eligible,,True,23,10,0.43478260869565216,4.318298547149622,85.87861975391066,20.49249618469449,-31.286244887397153,-5.680849830241358,2,2/3_negative,5.392448830979646,True,23,15,0.6521739130434783,-24.057204449445514,55.99805244956596,-31.62068001892053,-12.085970044040454,-24.565060212571755,3,3/3_negative,-24.565060212571755,True
59,replication_2,eligible,,True,22,8,0.36363636363636365,11.321544313152746,135.9085459973788,22.916983403979447,17.584129703459467,3.4649613017009195,0,0/3_negative,6.956262617963526,True,22,16,0.7272727272727273,-53.65918901874182,78.01699868302892,-71.28345316119348,-6.93572536176918,-14.767751234452907,3,3/3_negative,-60.494119560890006,True
60,replication_2,eligible,,True,21,17,0.8095238095238095,-59.95438716482032,45.357387209701336,-64.72558619491804,-51.430195965953615,-52.413760595807986,3,3/3_negative,-60.22300864145943,True,21,19,0.9047619047619048,-72.2704798904461,52.93355251147212,-76.58615322126666,-51.78990313443149,-61.522092587943696,3,3/3_negative,-66.8962862391949,True
61,replication_2,eligible,,True,24,19,0.7916666666666666,-43.569239650267875,53.07580475402885,-58.745471254044844,21.510124809040107,-55.51058075845109,2,2/3_negative,-43.569239650267875,True,24,18,0.75,-49.39060308405198,50.47526485612103,-66.93029796103234,-7.819956532982282,-51.40111602103785,3,3/3_negative,-49.39060308405198,True
62,replication_2,eligible,,True,23,19,0.8260869565217391,-74.4665730212073,29.599206526748574,-66.92132759175996,-88.40214225838953,-73.72290221088068,3,3/3_negative,-81.69926120494003,True,23,20,0.8695652173913043,-66.04953400500052,33.606565244875306,-46.576045239659834,-82.31846078675686,-63.793299221597294,3,3/3_negative,-74.99834874741893,True
63,replication_2,eligible,,True,22,16,0.7272727272727273,-39.20297614917273,50.24888033720383,-18.929543826559858,-48.30084426725292,-17.225964917702232,3,3/3_negative,-39.170119158386676,True,22,12,0.5454545454545454,-8.76580316526425,65.73383188127485,-14.73495273896531,-41.15751778578749,22.91606784845307,2,2/3_negative,-4.920523125289967,True
64,replication_2,eligible,,True,21,14,0.6666666666666666,-3.4365656063575267,104.96586785543099,-1.1308392434129149,-3.4365656063575267,-48.370994059776706,3,3/3_negative,-3.441302179644055,True,21,14,0.6666666666666666,-9.771729709123655,41.36576817513224,5.202756373870497,-8.153364733716408,-36.16301180126174,2,2/3_negative,-18.973861109404762,True
65,replication_2,eligible,,True,22,16,0.7272727272727273,-33.14071654077879,54.78736989433806,-27.77283138313424,-40.68750462275012,-37.446481811405036,3,3/3_negative,-33.14071654077879,True,22,12,0.5454545454545454,-5.355619485122497,88.97352961295117,29.280135444196915,-4.05956275484697,-44.864802977224315,2,2/3_negative,6.076862816710013,False
66,replication_2,eligible,,True,22,6,0.2727272727272727,77.38242949468363,331.2027098723034,8.07541302521014,254.9048295658152,532.137509225191,0,0/3_negative,77.38242949468363,True,22,3,0.13636363636363635,107.79176846203094,436.6211310386362,98.55985547534247,126.31926930026617,196.0881357845534,0,0/3_negative,107.79176846203094,True
67,replication_2,eligible,,True,23,13,0.5652173913043478,-1.5730566644496968,31.913550754259234,-0.05042281649351848,-1.6181854002566474,-1.6066214219651302,3,3/3_negative,-1.6181854002566474,True,23,11,0.4782608695652174,4.417319394274022,96.36528518463366,-36.71441395587477,5.157106741836731,-7.39156844469416,2,2/3_negative,1.9149147248278475,True
68,replication_2,eligible,,True,22,18,0.8181818181818182,-39.42328110916429,37.14481516779465,-49.248644647977805,-43.91123239718007,-20.19373872959093,3,3/3_negative,-44.346441854043185,True,22,18,0.8181818181818182,-30.60353271302648,35.579932521940194,-44.52284691533358,-26.562632780403124,-10.8602376605401,3,3/3_negative,-25.26065925766972,True
69,replication_2,eligible,,True,22,18,0.8181818181818182,-35.5226411458957,57.088019826336996,-54.263059171390196,-4.48317442027126,-50.02132887140002,3,3/3_negative,-33.923477597706494,True,22,20,0.9090909090909091,-39.60088729804736,43.140935530664244,-28.608120106984508,-29.722099244940477,-64.454346704833,3,3/3_negative,-34.11216429958629,True
70,replication_2,eligible,,True,23,22,0.9565217391304348,-44.92894826926521,36.54544437514101,-41.912376998587774,-60.093083213428066,-31.619951904950156,3,3/3_negative,-48.96450240884394,True,23,20,0.8695652173913043,-54.37179240230662,23.453650752595664,-65.08645853513022,-51.370711435907424,-50.87155068049254,3,3/3_negative,-51.370711435907424,True
71,replication_2,eligible,,True,23,18,0.782608695652174,-58.569276456536215,45.5764053304326,-53.845254823044314,-65.6773761404223,-58.569276456536215,3,3/3_negative,-60.599800174399775,True,23,17,0.7391304347826086,-44.18225417020606,64.38017925462212,-61.85682476814598,-44.331931346951464,-7.401421217109791,3,3/3_negative,-44.332514643986,True
72,replication_2,eligible,,True,21,18,0.8571428571428571,-88.7058573419862,31.276615086637676,-91.38123275743214,-87.33526980744162,-88.7058573419862,3,3/3_negative,-88.7058573419862,True,21,20,0.9523809523809523,-76.55426383210582,55.91603576176934,-88.65040722639111,-39.04433817897678,-70.0536229801824,3,3/3_negative,-88.94004257981479,True
73,replication_2,eligible,,True,21,12,0.5714285714285714,-18.268350646610646,127.46900086324617,66.32816029892122,-49.4389017168571,-18.268350646610646,2,2/3_negative,-23.155163664178616,True,21,11,0.5238095238095238,-21.9079277742252,90.2865465345291,3.7281421603740217,-26.19882191789865,-21.9079277742252,2,2/3_negative,3.7281421603740217,False
74,replication_2,eligible,,True,21,12,0.5714285714285714,-22.49011746913417,98.79475651131003,-32.186191143097574,1.7435387744681092,-2.5116867536842467,2,2/3_negative,-36.35086442114971,True,21,10,0.47619047619047616,36.974648525171105,186.83099806279904,-57.07772603732366,82.35759659221796,36.974648525171105,1,1/3_negative,-53.44314031694738,False
75,replication_2,eligible,,True,21,19,0.9047619047619048,-67.19920843942408,44.487314053975794,-74.54843756350843,-67.19920843942408,-37.53998504348035,3,3/3_negative,-63.64415878730364,True,21,17,0.8095238095238095,-64.81251563108634,56.07969049011588,-66.0969994424321,-68.00744591413363,-36.859809832086874,3,3/3_negative,-61.31356913693212,True
76,replication_2,eligible,,True,21,14,0.6666666666666666,-15.57440756455721,49.714558230885345,-27.216605066277808,-10.292868656310922,-30.190966981325257,3,3/3_negative,-15.57440756455721,True,21,14,0.6666666666666666,-12.364821179556719,69.68756020238138,-44.31217535321105,-7.307533197832844,-11.260397829806257,3,3/3_negative,-12.364821179556719,True
77,replication_2,eligible,,True,22,8,0.36363636363636365,23.993842048645675,94.03927927518455,52.41887663966896,25.246995869800656,14.369292209980035,0,0/3_negative,23.993842048645675,True,22,11,0.5,-3.960872756817003,101.43480945338914,-9.406670342974241,-22.964629326214027,51.761572485852184,2,2/3_negative,-3.9608727568170035,True
78,replication_2,eligible,,True,22,16,0.7272727272727273,-29.68622124309738,61.32435842782127,-23.724462340755792,12.166876737341061,-45.59835593929149,2,2/3_negative,-29.68622124309738,True,22,10,0.45454545454545453,7.909030403880057,125.72309098994396,13.727279294323537,13.808805172285949,-19.680408998606264,1,1/3_negative,7.909030403880057,True
79,replication_2,eligible,,True,21,14,0.6666666666666666,-3.8436817901296045,63.94148623528848,-8.74927086551162,-3.528370369300223,-3.8436817901296045,3,3/3_negative,-8.74927086551162,True,21,12,0.5714285714285714,-8.575731266262812,45.561645476111615,-8.575731266262812,8.019831016278681,-10.610878079660374,2,2/3_negative,-10.95624148408516,True
80,replication_2,eligible,,True,24,10,0.4166666666666667,12.742241979957853,88.77316352388975,8.657160828101247,37.07460285105981,-6.721421571079098,1,1/3_negative,6.50774204065533,True,24,16,0.6666666666666666,-33.3902192441629,80.29384644582252,-37.23015750954307,-23.528280303520077,-13.760877073022458,3,3/3_negative,-42.11073075176637,True
