subject,valid_run_peak_count,min_peak_hz,max_peak_hz,range_hz,mean_peak_hz,median_peak_hz,std_peak_hz,mad_peak_hz,pairwise_difference_count,median_pairwise_abs_difference_hz
39,3,7.75,13.25,5.5,9.75,8.25,3.0413812651491097,0.5,3,5.0
40,3,8.75,13.5,4.75,11.5,12.25,2.462214450449026,1.25,3,3.5
41,3,8.25,10.75,2.5,9.333333333333334,9.0,1.282900359861721,0.75,3,1.75
42,3,12.75,13.0,0.25,12.916666666666666,13.0,0.14433756729740646,0.0,3,0.25
43,3,11.5,11.75,0.25,11.583333333333334,11.5,0.14433756729740646,0.0,3,0.25
44,3,9.5,9.75,0.25,9.583333333333334,9.5,0.14433756729740646,0.0,3,0.25
45,3,9.0,12.0,3.0,10.833333333333334,11.5,1.6072751268321592,0.5,3,2.5
46,3,9.75,12.5,2.75,11.5,12.25,1.5206906325745548,0.25,3,2.5
47,3,9.0,9.75,0.75,9.416666666666666,9.5,0.38188130791298663,0.25,3,0.5
48,3,8.25,10.0,1.75,9.083333333333334,9.0,0.8779711460710616,0.75,3,1.0
49,3,7.75,10.0,2.25,8.5,7.75,1.299038105676658,0.0,3,2.25
50,3,9.75,11.75,2.0,10.833333333333334,11.0,1.0103629710818451,0.75,3,1.25
51,3,10.0,12.0,2.0,11.25,11.75,1.0897247358851685,0.25,3,1.75
52,3,10.75,11.5,0.75,11.166666666666666,11.25,0.38188130791298663,0.25,3,0.5
53,3,11.5,13.25,1.75,12.416666666666666,12.5,0.8779711460710616,0.75,3,1.0
54,3,9.75,10.75,1.0,10.333333333333334,10.5,0.5204164998665332,0.25,3,0.75
55,3,10.5,10.5,0.0,10.5,10.5,0.0,0.0,3,0.0
56,3,9.75,10.25,0.5,10.0,10.0,0.25,0.25,3,0.25
57,3,7.5,11.25,3.75,9.916666666666666,11.0,2.096624270901521,0.25,3,3.5
58,3,9.5,9.75,0.25,9.583333333333334,9.5,0.14433756729740646,0.0,3,0.25
59,3,11.25,11.75,0.5,11.5,11.5,0.25,0.25,3,0.25
60,3,11.75,12.25,0.5,11.916666666666666,11.75,0.2886751345948129,0.0,3,0.5
61,3,9.5,9.75,0.25,9.583333333333334,9.5,0.14433756729740646,0.0,3,0.25
62,3,11.25,11.75,0.5,11.5,11.5,0.25,0.25,3,0.25
63,3,8.75,11.5,2.75,10.416666666666666,11.0,1.4648663192705789,0.5,3,2.25
64,3,9.75,12.0,2.25,10.5,9.75,1.299038105676658,0.0,3,2.25
65,3,7.75,8.25,0.5,8.0,8.0,0.25,0.25,3,0.25
66,3,9.75,10.0,0.25,9.916666666666666,10.0,0.14433756729740646,0.0,3,0.25
67,3,10.5,12.25,1.75,11.5,11.75,0.9013878188659973,0.5,3,1.25
68,3,8.0,13.25,5.25,10.0,8.75,2.839454172900137,0.75,3,4.5
69,3,9.5,11.5,2.0,10.25,9.75,1.0897247358851685,0.25,3,1.75
70,3,10.5,11.0,0.5,10.666666666666666,10.5,0.2886751345948129,0.0,3,0.5
71,3,12.0,12.5,0.5,12.333333333333334,12.5,0.2886751345948129,0.0,3,0.5
72,3,11.0,11.25,0.25,11.083333333333334,11.0,0.14433756729740646,0.0,3,0.25
73,3,11.25,12.5,1.25,11.916666666666666,12.0,0.6291528696058958,0.5,3,0.75
74,3,8.25,8.75,0.5,8.5,8.5,0.25,0.25,3,0.25
75,3,7.75,11.5,3.75,9.166666666666666,8.25,2.0361319538117697,0.5,3,3.25
76,3,8.75,9.5,0.75,9.083333333333334,9.0,0.38188130791298663,0.25,3,0.5
77,3,8.25,9.0,0.75,8.666666666666666,8.75,0.38188130791298663,0.25,3,0.5
78,3,10.25,11.25,1.0,10.666666666666666,10.5,0.5204164998665332,0.25,3,0.75
79,3,8.5,8.75,0.25,8.583333333333334,8.5,0.14433756729740646,0.0,3,0.25
80,3,10.75,12.25,1.5,11.75,12.25,0.8660254037844386,0.0,3,1.5
81,3,10.75,11.25,0.5,11.0,11.0,0.25,0.25,3,0.25
82,3,9.75,10.25,0.5,10.0,10.0,0.25,0.25,3,0.25
83,3,9.25,10.0,0.75,9.75,10.0,0.4330127018922193,0.0,3,0.75
84,3,9.25,10.75,1.5,10.083333333333334,10.25,0.7637626158259733,0.5,3,1.0
85,3,11.75,12.25,0.5,11.916666666666666,11.75,0.2886751345948129,0.0,3,0.5
86,3,7.25,10.0,2.75,8.833333333333334,9.25,1.4215601757693317,0.75,3,2.0
87,3,8.75,13.25,4.5,10.75,10.25,2.29128784747792,1.5,3,3.0
89,3,8.5,12.25,3.75,9.75,8.5,2.165063509461097,0.0,3,3.75
90,3,10.75,11.25,0.5,11.0,11.0,0.25,0.25,3,0.25
91,3,10.0,11.25,1.25,10.583333333333334,10.5,0.6291528696058958,0.5,3,0.75
93,3,11.0,11.25,0.25,11.083333333333334,11.0,0.14433756729740646,0.0,3,0.25
94,3,12.25,12.75,0.5,12.5,12.5,0.25,0.25,3,0.25
95,3,12.25,12.5,0.25,12.416666666666666,12.5,0.14433756729740646,0.0,3,0.25
96,3,7.25,12.5,5.25,10.083333333333334,10.5,2.6496855159307744,2.0,3,3.25
97,3,9.5,11.25,1.75,10.583333333333334,11.0,0.9464847243000456,0.25,3,1.5
98,3,10.0,10.25,0.25,10.166666666666666,10.25,0.14433756729740646,0.0,3,0.25
99,3,9.0,9.75,0.75,9.333333333333334,9.25,0.38188130791298663,0.25,3,0.5
101,3,7.5,9.5,2.0,8.416666666666666,8.25,1.0103629710818451,0.75,3,1.25
102,3,8.25,11.75,3.5,10.083333333333334,10.25,1.7559422921421233,1.5,3,2.0
103,3,8.5,10.25,1.75,9.25,9.0,0.9013878188659973,0.5,3,1.25
104,3,9.75,12.5,2.75,11.333333333333334,11.75,1.4215601757693317,0.75,3,2.0
105,3,10.0,11.5,1.5,10.916666666666666,11.25,0.8036375634160796,0.25,3,1.25
106,3,8.5,9.25,0.75,8.916666666666666,9.0,0.38188130791298663,0.25,3,0.5
107,3,9.75,10.5,0.75,10.166666666666666,10.25,0.38188130791298663,0.25,3,0.5
108,3,10.5,11.25,0.75,10.916666666666666,11.0,0.38188130791298663,0.25,3,0.5
109,3,8.25,13.5,5.25,11.75,13.5,3.031088913245535,0.0,3,5.25
