trial_record_index,epoch_array_index,subject,run,run_trial_index,annotation_index,annotation,semantic_condition,event_code,event_sample,event_time_seconds,annotation_duration_seconds,previous_annotation,next_annotation,epoch_tmin_seconds,epoch_tmax_seconds,epoch_start_sample,epoch_stop_sample_inclusive,epoch_start_seconds,epoch_stop_seconds,n_samples,valid,exclusion_reason,source_file,source_sha256,quality_status,quality_evidence,confirmed_exclusion
10,10,1,6,10,21,T2,both_feet_imagery,3,13952,87.2,4.1,T0,T0,-2.0,4.0,13632,14592,85.2,91.2,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False
11,11,1,6,11,23,T1,both_fists_imagery,2,15280,95.5,4.1,T0,T0,-2.0,4.0,14960,15920,93.5,99.5,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False
12,12,1,6,12,25,T1,both_fists_imagery,2,16608,103.8,4.1,T0,T0,-2.0,4.0,16288,17248,101.8,107.8,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),False
13,13,1,6,13,27,T2,both_feet_imagery,3,17936,112.1,4.1,T0,T0,-2.0,4.0,17616,18576,110.1,116.1,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False
14,14,1,6,14,29,T2,both_feet_imagery,3,19264,120.4,4.1,T0,,-2.0,4.0,18944,19904,118.4,124.4,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3,not flagged,,False
15,15,1,10,0,1,T1,both_fists_imagery,2,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
16,16,1,10,1,3,T2,both_feet_imagery,3,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
17,17,1,10,2,5,T2,both_feet_imagery,3,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
18,18,1,10,3,7,T1,both_fists_imagery,2,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
19,19,1,10,4,9,T2,both_feet_imagery,3,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
20,20,1,10,5,11,T1,both_fists_imagery,2,7312,45.7,4.1,T0,T0,-2.0,4.0,6992,7952,43.7,49.7,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
21,21,1,10,6,13,T1,both_fists_imagery,2,8640,54.0,4.1,T0,T0,-2.0,4.0,8320,9280,52.0,58.0,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
22,22,1,10,7,15,T2,both_feet_imagery,3,9968,62.3,4.1,T0,T0,-2.0,4.0,9648,10608,60.3,66.3,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
23,23,1,10,8,17,T2,both_feet_imagery,3,11296,70.6,4.1,T0,T0,-2.0,4.0,10976,11936,68.6,74.6,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,False
24,24,1,10,9,19,T1,both_fists_imagery,2,12624,78.9,4.1,T0,T0,-2.0,4.0,12304,13264,76.9,82.9,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
25,25,1,10,10,21,T1,both_fists_imagery,2,13952,87.2,4.1,T0,T0,-2.0,4.0,13632,14592,85.2,91.2,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
26,26,1,10,11,23,T2,both_feet_imagery,3,15280,95.5,4.1,T0,T0,-2.0,4.0,14960,15920,93.5,99.5,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
27,27,1,10,12,25,T2,both_feet_imagery,3,16608,103.8,4.1,T0,T0,-2.0,4.0,16288,17248,101.8,107.8,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
28,28,1,10,13,27,T1,both_fists_imagery,2,17936,112.1,4.1,T0,T0,-2.0,4.0,17616,18576,110.1,116.1,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
29,29,1,10,14,29,T2,both_feet_imagery,3,19264,120.4,4.1,T0,,-2.0,4.0,18944,19904,118.4,124.4,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1,not flagged,,False
30,30,1,14,0,1,T2,both_feet_imagery,3,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
31,31,1,14,1,3,T1,both_fists_imagery,2,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
32,32,1,14,2,5,T2,both_feet_imagery,3,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
33,33,1,14,3,7,T1,both_fists_imagery,2,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
34,34,1,14,4,9,T1,both_fists_imagery,2,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
35,35,1,14,5,11,T2,both_feet_imagery,3,7312,45.7,4.1,T0,T0,-2.0,4.0,6992,7952,43.7,49.7,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
36,36,1,14,6,13,T1,both_fists_imagery,2,8640,54.0,4.1,T0,T0,-2.0,4.0,8320,9280,52.0,58.0,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
37,37,1,14,7,15,T2,both_feet_imagery,3,9968,62.3,4.1,T0,T0,-2.0,4.0,9648,10608,60.3,66.3,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
38,38,1,14,8,17,T1,both_fists_imagery,2,11296,70.6,4.1,T0,T0,-2.0,4.0,10976,11936,68.6,74.6,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
39,39,1,14,9,19,T2,both_feet_imagery,3,12624,78.9,4.1,T0,T0,-2.0,4.0,12304,13264,76.9,82.9,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,False
40,40,1,14,10,21,T2,both_feet_imagery,3,13952,87.2,4.1,T0,T0,-2.0,4.0,13632,14592,85.2,91.2,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
41,41,1,14,11,23,T1,both_fists_imagery,2,15280,95.5,4.1,T0,T0,-2.0,4.0,14960,15920,93.5,99.5,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
42,42,1,14,12,25,T2,both_feet_imagery,3,16608,103.8,4.1,T0,T0,-2.0,4.0,16288,17248,101.8,107.8,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
43,43,1,14,13,27,T1,both_fists_imagery,2,17936,112.1,4.1,T0,T0,-2.0,4.0,17616,18576,110.1,116.1,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
44,44,1,14,14,29,T2,both_feet_imagery,3,19264,120.4,4.1,T0,,-2.0,4.0,18944,19904,118.4,124.4,961,True,,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137,not flagged,,False
