analysis_set,semantic_condition,channel,frequency_band,time_seconds,trial_count,mean_change_percent,median_change_percent,q25_change_percent,q75_change_percent
all_trials,both_fists_imagery,C3,mu,-1.525,21,-46.74993284326901,-62.74547981006062,-79.67194861731156,-31.96646304470771
all_trials,both_fists_imagery,C3,mu,-1.5,21,-46.21381063790717,-68.23016770773788,-78.39429047326377,-29.85167652951116
all_trials,both_fists_imagery,C3,mu,-1.475,21,-43.09087096501331,-63.360797880827114,-78.31034356174641,-9.937214383871389
all_trials,both_fists_imagery,C3,mu,-1.45,21,-38.11106247437966,-58.93623980065051,-78.87093166540906,-4.371429454925365
all_trials,both_fists_imagery,C3,mu,-1.425,21,-32.294111983536155,-43.789933009231696,-79.71976617700685,-28.437198824916244
all_trials,both_fists_imagery,C3,mu,-1.4,21,-27.48068940795462,-45.572053236843765,-79.98370197418295,-29.4466955621458
all_trials,both_fists_imagery,C3,mu,-1.375,21,-25.653991926107704,-56.393825125169094,-77.22451342540218,-24.236257265246973
all_trials,both_fists_imagery,C3,mu,-1.35,21,-26.999711552857715,-59.722752652174336,-73.17870923400201,-25.349748191048736
all_trials,both_fists_imagery,C3,mu,-1.325,21,-28.760915966770693,-56.6646511458861,-75.87163990558534,-15.513781521960565
all_trials,both_fists_imagery,C3,mu,-1.3,21,-26.910541704221774,-46.82545230896564,-72.0795281846131,-13.983487461084744
all_trials,both_fists_imagery,C3,mu,-1.275,21,-19.56254228018754,-34.844257598662765,-64.54138031643026,-10.769313104612365
all_trials,both_fists_imagery,C3,mu,-1.25,21,-8.536662932920583,-16.126089500847907,-63.54851630696607,11.164353013463453
all_trials,both_fists_imagery,C3,mu,-1.225,21,2.7510145164340933,-21.35182149975071,-62.58371839534666,46.354852655197995
all_trials,both_fists_imagery,C3,mu,-1.2,21,12.689964914673705,-25.986341177756707,-64.65242374280264,77.74229733378529
all_trials,both_fists_imagery,C3,mu,-1.175,21,22.36543889388326,-27.671344049891896,-56.12840771527167,96.62642063360795
all_trials,both_fists_imagery,C3,mu,-1.15,21,33.204218497090515,-28.455088674291904,-45.955912751621554,127.59881562882765
all_trials,both_fists_imagery,C3,mu,-1.125,21,44.39361212912739,-19.542221204562367,-39.258235968810624,111.11720291483515
all_trials,both_fists_imagery,C3,mu,-1.1,21,53.1724246453375,1.449282684077013,-38.38991708238613,143.55519366337458
all_trials,both_fists_imagery,C3,mu,-1.075,21,57.59837676031579,30.39412049287017,-36.908039984776885,113.86127158039477
all_trials,both_fists_imagery,C3,mu,-1.05,21,58.6534970881814,21.4103896903556,-38.509761483089854,86.74684213430542
all_trials,both_fists_imagery,C3,mu,-1.025,21,59.69219463714204,26.769397080667108,-36.44061605643549,111.91154035047263
all_trials,both_fists_imagery,C3,mu,-1.0,21,64.18539696372454,28.46489219180151,-27.921893404458633,116.13613499869267
all_trials,both_fists_imagery,C3,mu,-0.975,21,73.63766667393797,18.01753698965058,-35.00260342617943,142.27330271556963
all_trials,both_fists_imagery,C3,mu,-0.95,21,86.45884770935616,53.20420570462912,-54.88853492196184,171.33797059156598
all_trials,both_fists_imagery,C3,mu,-0.925,21,98.12947340668705,43.78171782203886,-42.37291621735298,171.47097806855527
all_trials,both_fists_imagery,C3,mu,-0.9,21,103.26729709047677,43.20869109113976,-17.66202769534063,179.5048506298695
all_trials,both_fists_imagery,C3,mu,-0.875,21,98.96367701527738,59.081518784035055,-23.89427065785347,180.70283834523767
all_trials,both_fists_imagery,C3,mu,-0.85,21,86.8460625511769,60.537469304473206,-21.451268200372198,136.70666029360655
all_trials,both_fists_imagery,C3,mu,-0.825,21,72.06548631378871,57.292415963973355,-14.116572843589235,102.87584462053516
all_trials,both_fists_imagery,C3,mu,-0.8,21,60.35396400160929,27.424467373536384,-8.02062676137313,94.2503365013599
all_trials,both_fists_imagery,C3,mu,-0.775,21,55.49247233678629,35.557161067528924,-25.411334694918473,85.4651039926496
all_trials,both_fists_imagery,C3,mu,-0.75,21,58.042894537393856,-8.775907925632284,-36.873910628688755,89.79499352604203
all_trials,both_fists_imagery,C3,mu,-0.725,21,65.08213573523437,13.553876523957637,-46.495475940241334,101.66108744770162
all_trials,both_fists_imagery,C3,mu,-0.7,21,71.26774986461454,10.330662377466544,-40.63867253693635,106.11463929163408
all_trials,both_fists_imagery,C3,mu,-0.675,21,71.57210115889954,22.709643559711797,-39.68503403026415,93.64942710135192
all_trials,both_fists_imagery,C3,mu,-0.65,21,64.35151188081956,26.886331151222866,-25.165410779125654,76.79896887054228
all_trials,both_fists_imagery,C3,mu,-0.625,21,52.31772943407738,35.66622904543255,-49.807388093629335,75.59357710778106
all_trials,both_fists_imagery,C3,mu,-0.6,21,40.39590945911323,18.18028012125299,-42.563603546945664,100.55849943085417
all_trials,both_fists_imagery,C3,mu,-0.575,21,32.226780838313665,22.492932116799906,-52.80104980868586,120.48398989715042
all_trials,both_fists_imagery,C3,mu,-0.55,21,28.295904626830428,14.973049417333279,-55.202390668363066,114.97360910966833
all_trials,both_fists_imagery,C3,mu,-0.525,21,26.987300930322238,29.743828459342986,-37.16195537591966,96.14873999197646
all_trials,both_fists_imagery,C3,mu,-0.5,21,27.017821378645646,32.579589346397405,-52.57911890355807,108.39860578854577
all_trials,both_fists_imagery,C3,mu,-0.475,21,28.65583267609209,22.029162691537593,-52.18913749091238,104.87004600874722
all_trials,both_fists_imagery,C3,mu,-0.45,21,32.83074454680978,28.675633534143188,-47.09766220208625,109.35706156517628
all_trials,both_fists_imagery,C3,mu,-0.425,21,39.537923627487714,33.12215436286889,-35.775085503323986,109.39454736932609
all_trials,both_fists_imagery,C3,mu,-0.4,21,47.292311252034175,53.58084756513564,-48.532434112352064,122.17891425864241
all_trials,both_fists_imagery,C3,mu,-0.375,21,54.04928852247711,37.383859683006335,-63.45212447414581,111.97471464174687
all_trials,both_fists_imagery,C3,mu,-0.35,21,58.76591562216361,38.550314319304846,-55.23451312205965,100.13376822207917
all_trials,both_fists_imagery,C3,mu,-0.325,21,62.34003367385179,21.34474202759374,-51.988290614021146,80.56640147676896
all_trials,both_fists_imagery,C3,mu,-0.3,21,66.96330071777793,12.224370367433858,-50.04463356409345,78.985421335429
all_trials,both_fists_imagery,C3,mu,-0.275,21,73.92262856073239,-10.86593456576538,-41.70652988416644,16.908377955884568
all_trials,both_fists_imagery,C3,mu,-0.25,21,81.41472434199092,-25.13753313891119,-43.80078752112647,23.362536143080877
all_trials,both_fists_imagery,C3,mu,-0.225,21,84.87809978134544,-20.967871662785132,-51.310638454390066,17.71021103628444
all_trials,both_fists_imagery,C3,mu,-0.2,21,80.63591008770048,-32.848585515803556,-53.523051916736726,45.711677182357256
all_trials,both_fists_imagery,C3,mu,-0.175,21,69.70508130754834,-15.002265989026586,-49.971119432177275,97.67786278750187
all_trials,both_fists_imagery,C3,mu,-0.15,21,57.50362596630576,-23.46296862443792,-56.48770339065341,130.0727574996107
all_trials,both_fists_imagery,C3,mu,-0.125,21,49.667686395772456,-16.142107232503342,-60.976865848099855,141.32596115112858
all_trials,both_fists_imagery,C3,mu,-0.1,21,48.667778615153956,-9.453438979080582,-61.41082463588207,143.40890309671826
all_trials,both_fists_imagery,C3,mu,-0.075,21,54.0703057369888,-11.111325250026455,-50.77046605859686,123.82720841183581
all_trials,both_fists_imagery,C3,mu,-0.05,21,64.44918629662332,-15.175391543086073,-49.10864524449219,171.07227216669057
all_trials,both_fists_imagery,C3,mu,-0.025,21,78.37272890000422,0.5828885533905068,-47.12225857445551,168.58573767164586
all_trials,both_fists_imagery,C3,mu,0.0,21,94.52786396122593,-5.654139366415317,-39.25565436258553,226.00718382796026
all_trials,both_fists_imagery,C3,mu,0.025,21,111.55646313521099,-2.230958844294528,-45.225038446589004,279.75730995087224
all_trials,both_fists_imagery,C3,mu,0.05,21,127.25006756942122,12.989367059115581,-57.60900142250123,209.41335531042535
all_trials,both_fists_imagery,C3,mu,0.075,21,137.8439134163575,39.06067756742346,-66.02326193861435,138.32676974503204
all_trials,both_fists_imagery,C3,mu,0.1,21,139.4993148844232,45.51900387856744,-59.71627298636199,110.27145073720067
all_trials,both_fists_imagery,C3,mu,0.125,21,131.75662116956568,31.367351026274275,-51.931658797097185,80.57936591117553
all_trials,both_fists_imagery,C3,mu,0.15,21,119.17086373521533,11.644590974612807,-42.20675592331973,120.76968111280371
all_trials,both_fists_imagery,C3,mu,0.175,21,108.38210723190464,35.684193704375,-35.91487072649554,172.2100482422659
all_trials,both_fists_imagery,C3,mu,0.2,21,102.83911184591709,51.58901522625795,-50.25825457416771,171.85661486347456
all_trials,both_fists_imagery,C3,mu,0.225,21,100.08007631665362,15.948710204046172,-53.90610417859522,165.50013769708937
all_trials,both_fists_imagery,C3,mu,0.25,21,94.02372597585142,-3.8294166859029866,-48.00337277846414,171.52714226845245
all_trials,both_fists_imagery,C3,mu,0.275,21,80.01559980862112,2.565976633266654,-51.696124280661664,120.03818283809754
all_trials,both_fists_imagery,C3,mu,0.3,21,58.23794734292987,-3.3368763068674228,-63.16557149184217,64.82102412305953
all_trials,both_fists_imagery,C3,mu,0.325,21,33.276938215344636,-12.502976931899314,-68.42076384711989,65.34727992764634
all_trials,both_fists_imagery,C3,mu,0.35,21,11.092532144912221,-31.94287049872428,-73.32023551714971,57.23770175200759
all_trials,both_fists_imagery,C3,mu,0.375,21,-4.015784071721619,-36.382172758299625,-78.27404438705996,22.13096425428457
all_trials,both_fists_imagery,C3,mu,0.4,21,-10.688584202875097,-40.56250777124816,-83.05558305790507,1.0518600759561147
all_trials,both_fists_imagery,C3,mu,0.425,21,-9.87442701946457,-46.73152764030333,-81.62107248134579,24.95061777781355
all_trials,both_fists_imagery,C3,mu,0.45,21,-3.4786078043560216,-43.23344060139004,-81.44418730204322,26.773816380754905
all_trials,both_fists_imagery,C3,mu,0.475,21,6.292701092955895,-41.05210577441189,-78.38008934568397,47.659143698954914
all_trials,both_fists_imagery,C3,mu,0.5,21,16.740758523353673,-41.90549346107081,-75.44942882601215,17.813606812441424
all_trials,both_fists_imagery,C3,mu,0.525,21,24.786667053369413,-34.46465741647474,-61.91323596309023,-3.744554278176198
all_trials,both_fists_imagery,C3,mu,0.55,21,27.971416541683073,-31.449853661862274,-75.93036330504493,-18.824993215744147
all_trials,both_fists_imagery,C3,mu,0.575,21,25.473239564660823,-51.290781770541514,-82.27526345388205,11.666174010542447
all_trials,both_fists_imagery,C3,mu,0.6,21,18.267091477463826,-58.61729176413075,-83.299383149598,31.313498011138456
all_trials,both_fists_imagery,C3,mu,0.625,21,8.52509949319907,-57.211000712641095,-81.7936253028509,55.74406489582324
all_trials,both_fists_imagery,C3,mu,0.65,21,-1.3748479854476003,-43.41160638954192,-79.72599952005295,58.19391406502562
all_trials,both_fists_imagery,C3,mu,0.675,21,-9.884340219504772,-60.11741167589052,-83.1475357208573,30.70833283716078
all_trials,both_fists_imagery,C3,mu,0.7,21,-16.642348881944685,-71.5317159582705,-81.11675613242551,-1.4486444573135187
all_trials,both_fists_imagery,C3,mu,0.725,21,-21.94872297368307,-71.35395006655108,-77.43152489766112,-3.3775812899368076
all_trials,both_fists_imagery,C3,mu,0.75,21,-26.323718367201657,-66.8283322947647,-75.83967378186138,-19.804793618533825
all_trials,both_fists_imagery,C3,mu,0.775,21,-30.590043969394483,-61.6048642127855,-84.51831847697025,-42.77468720786933
all_trials,both_fists_imagery,C3,mu,0.8,21,-35.52287783859571,-56.228356136021084,-86.01433489478468,-29.6540663542228
all_trials,both_fists_imagery,C3,mu,0.825,21,-40.8130420589664,-52.155468000694285,-88.30115027226591,-22.765151220694126
all_trials,both_fists_imagery,C3,mu,0.85,21,-44.75463324618819,-51.704146482992165,-85.47812344360027,-27.180997844994913
all_trials,both_fists_imagery,C3,mu,0.875,21,-45.49720652193465,-62.570179881471915,-78.87962469372076,-19.654394201353675
all_trials,both_fists_imagery,C3,mu,0.9,21,-42.62094283703304,-61.0875063483835,-76.55757583107888,-26.24440058741791
all_trials,both_fists_imagery,C3,mu,0.925,21,-37.37488923140472,-58.738126245150966,-77.11359349074883,-14.170100149297129
all_trials,both_fists_imagery,C3,mu,0.95,21,-31.570037556855205,-61.31400446687122,-77.99533050585374,4.459010333880719
all_trials,both_fists_imagery,C3,mu,0.975,21,-26.45560376891578,-56.73017222752722,-77.54658845074223,12.865335843673476
all_trials,both_fists_imagery,C3,mu,1.0,21,-22.51514392549461,-49.202180388145614,-81.2619220854777,24.367612461654335
all_trials,both_fists_imagery,C3,mu,1.025,21,-19.939561699777943,-42.31837404957389,-81.06252001459484,22.28709612625296
all_trials,both_fists_imagery,C3,mu,1.05,21,-19.009198201721453,-44.33952273476161,-85.57924373655581,3.85547643800935
all_trials,both_fists_imagery,C3,mu,1.075,21,-19.98629909079934,-46.9876200542788,-87.31565762350307,-18.91887244630117
all_trials,both_fists_imagery,C3,mu,1.1,21,-22.662190068102205,-50.002113817495,-89.93915951842796,-37.95117951560719
all_trials,both_fists_imagery,C3,mu,1.125,21,-25.96967427332257,-54.72288681305424,-90.5818416709853,-38.193332866715465
all_trials,both_fists_imagery,C3,mu,1.15,21,-28.11860985846011,-49.09924129078941,-87.20627601161374,-32.50439165501941
all_trials,both_fists_imagery,C3,mu,1.175,21,-27.502772712649204,-57.31205170139799,-74.11260550134071,-18.574741728984304
all_trials,both_fists_imagery,C3,mu,1.2,21,-23.94498929066013,-50.895696077082505,-69.21339129273711,7.152541493639354
all_trials,both_fists_imagery,C3,mu,1.225,21,-19.096429849134957,-19.800242551518636,-71.1021931951978,22.83086650151555
all_trials,both_fists_imagery,C3,mu,1.25,21,-15.286512253683716,-9.377702804410731,-62.247329999198215,17.935330341062684
all_trials,both_fists_imagery,C3,mu,1.275,21,-13.79406248114399,-22.272306635174356,-57.08397653938883,17.37831633841594
all_trials,both_fists_imagery,C3,mu,1.3,21,-14.18355975021195,-36.9730768782546,-55.934852993665515,16.50170511721916
all_trials,both_fists_imagery,C3,mu,1.325,21,-15.123979527736687,-40.72058119674169,-67.79638890029484,17.13421322152275
all_trials,both_fists_imagery,C3,mu,1.35,21,-15.636054029813495,-43.739308621780545,-69.60005667047177,9.113777275086761
all_trials,both_fists_imagery,C3,mu,1.375,21,-15.585963803168065,-44.283739320062814,-64.45967239227333,14.699849101077884
all_trials,both_fists_imagery,C3,mu,1.4,21,-15.291974971977035,-44.38978213877546,-65.70642553845398,-8.289922294494378
all_trials,both_fists_imagery,C3,mu,1.425,21,-14.973780491785082,-47.852104697039515,-63.20503200980195,-12.954375021250394
all_trials,both_fists_imagery,C3,mu,1.45,21,-14.735681666981247,-52.231848481805095,-67.841909157546,-18.71645568503936
all_trials,both_fists_imagery,C3,mu,1.475,21,-15.095978013514546,-61.547867883844,-77.1307172152877,-31.50131267253515
all_trials,both_fists_imagery,C3,mu,1.5,21,-17.241430498344254,-69.52246932272774,-82.68933261444161,-34.93334579685147
all_trials,both_fists_imagery,C3,mu,1.525,21,-22.232837359574752,-75.39482240363452,-86.2913652625665,-25.977776099890114
all_trials,both_fists_imagery,C3,mu,1.55,21,-29.724871137268888,-69.71296895804795,-85.25505927521317,-28.769561347727553
all_trials,both_fists_imagery,C3,mu,1.575,21,-37.63927514108762,-74.65770202207159,-82.91082286345181,-22.677530624023113
all_trials,both_fists_imagery,C3,mu,1.6,21,-43.224916652770055,-69.19803757380225,-79.97951661574251,-34.370918764061315
all_trials,both_fists_imagery,C3,mu,1.625,21,-44.46487590060373,-63.608990836283795,-73.92799112384273,-26.763957421431957
all_trials,both_fists_imagery,C3,mu,1.65,21,-40.83538022777397,-45.820590232481614,-62.73765817912057,-30.538600577357798
all_trials,both_fists_imagery,C3,mu,1.675,21,-33.47731640697164,-39.069837304568495,-59.84241042878535,-19.25097846679869
all_trials,both_fists_imagery,C3,mu,1.7,21,-25.1144769370966,-37.0372168137095,-58.295487606639014,-6.955132994559854
all_trials,both_fists_imagery,C3,mu,1.725,21,-19.442269047543142,-39.28147148641292,-57.27948563424687,2.382863101693698
all_trials,both_fists_imagery,C3,mu,1.75,21,-19.577835520869037,-36.971815420483594,-66.82888552323887,9.153173068879545
all_trials,both_fists_imagery,C3,mu,1.775,21,-26.172023021606687,-35.46384708051129,-67.43113815891145,-0.5477293347939478
all_trials,both_fists_imagery,C3,mu,1.8,21,-36.747247987192445,-44.742708743207274,-76.08401133177388,-9.294246107426279
all_trials,both_fists_imagery,C3,mu,1.825,21,-47.10327247752726,-54.98873095688109,-73.70183637868152,-31.030947982952984
all_trials,both_fists_imagery,C3,mu,1.85,21,-53.79285079576399,-57.18387650073598,-74.92651846227295,-37.66430021991138
all_trials,both_fists_imagery,C3,mu,1.875,21,-55.77293420695863,-64.20822655340525,-80.39499367965513,-37.039797212898414
all_trials,both_fists_imagery,C3,mu,1.9,21,-54.17056710372002,-71.74641016486108,-83.62797978031433,-19.602250633846385
all_trials,both_fists_imagery,C3,mu,1.925,21,-50.734596438589584,-65.41538537691638,-83.22128387277907,-10.026276156426034
all_trials,both_fists_imagery,C3,mu,1.95,21,-46.56911744299832,-67.49601753995135,-80.9238976526264,-20.274151075816416
all_trials,both_fists_imagery,C3,mu,1.975,21,-42.19646993612955,-60.01258547659477,-70.89807319906069,-16.985731389265336
all_trials,both_fists_imagery,C3,mu,2.0,21,-38.3437747936208,-51.80309671106757,-69.15024700768241,-3.0211290240448005
all_trials,both_fists_imagery,C3,mu,2.025,21,-36.139098155008135,-48.036060824230205,-75.83658379816335,-16.749288508825256
all_trials,both_fists_imagery,C3,mu,2.05,21,-36.40163810910582,-48.90015015628838,-72.9096997509639,-9.980341868529319
all_trials,both_fists_imagery,C3,mu,2.075,21,-38.79823481478101,-53.8169662047652,-67.89127562704826,-19.175674791811844
all_trials,both_fists_imagery,C3,mu,2.1,21,-41.72121633053353,-53.32389849591891,-65.1795047649225,-28.6086182363539
all_trials,both_fists_imagery,C3,mu,2.125,21,-43.20194173762538,-51.32838362432795,-74.71267235286972,-23.697625939708733
all_trials,both_fists_imagery,C3,mu,2.15,21,-42.344191390841985,-54.34424373950333,-80.18626244132695,-20.400024432775297
all_trials,both_fists_imagery,C3,mu,2.175,21,-39.99050481720648,-54.92503622424472,-84.16160968987802,3.245289295965385
all_trials,both_fists_imagery,C3,mu,2.2,21,-37.818659839823624,-53.02856977739736,-83.0419379224925,17.60174522077212
all_trials,both_fists_imagery,C3,mu,2.225,21,-36.80048780361674,-59.31828270919627,-79.3279001291553,-11.967090894717591
all_trials,both_fists_imagery,C3,mu,2.25,21,-36.60729349027749,-56.599701684716436,-80.42883707803246,-18.840941609677085
all_trials,both_fists_imagery,C3,mu,2.275,21,-36.217579972075136,-44.75812200460316,-76.31324906282127,-17.18286068888765
all_trials,both_fists_imagery,C3,mu,2.3,21,-34.812796376163774,-44.376970970574945,-73.8899318185919,-5.384875336270791
all_trials,both_fists_imagery,C3,mu,2.325,21,-32.366649280891075,-50.639752175363874,-76.04608056378177,-10.298768731592748
all_trials,both_fists_imagery,C3,mu,2.35,21,-29.87221575851908,-43.271217246822445,-80.00205709095431,-20.414456382824657
all_trials,both_fists_imagery,C3,mu,2.375,21,-29.00496195151374,-50.26071415290374,-81.16211283693593,-7.154981259779667
all_trials,both_fists_imagery,C3,mu,2.4,21,-31.108468099116266,-62.01743205615088,-80.16492959754132,0.018068163734765424
all_trials,both_fists_imagery,C3,mu,2.425,21,-36.1821238444171,-74.16720924449392,-81.03959277482363,-5.3688945651781115
all_trials,both_fists_imagery,C3,mu,2.45,21,-42.815437237199646,-67.24953080227914,-83.77171476900816,-23.952036475332797
all_trials,both_fists_imagery,C3,mu,2.475,21,-49.02875952175112,-60.661974561153194,-81.92808100546792,-30.29994252019974
all_trials,both_fists_imagery,C3,mu,2.5,21,-53.1569627341866,-61.16941117872048,-78.56905333698958,-40.313307125456646
all_trials,both_fists_imagery,C3,mu,2.525,21,-54.37760583875322,-66.75491821470371,-75.9035205551526,-37.32886015196694
all_trials,both_fists_imagery,C3,mu,2.55,21,-53.08794435549434,-65.44456320479505,-76.52457057951331,-48.76830994360758
all_trials,both_fists_imagery,C3,mu,2.575,21,-50.89289885036413,-62.621349541183776,-80.2177432168808,-38.40497023025681
all_trials,both_fists_imagery,C3,mu,2.6,21,-49.552294392269395,-63.042363122927064,-81.6108658962763,-38.65409421527529
all_trials,both_fists_imagery,C3,mu,2.625,21,-49.37099080842548,-63.501016026213215,-79.65139460210295,-36.096766938567406
all_trials,both_fists_imagery,C3,mu,2.65,21,-48.844322697676596,-65.67106342297835,-77.27179464458095,-46.25846954573341
all_trials,both_fists_imagery,C3,mu,2.675,21,-46.25463656160622,-69.0365538392026,-74.39759177600479,-45.18060839057601
all_trials,both_fists_imagery,C3,mu,2.7,21,-41.45582483795277,-60.18372574432578,-78.91111472962935,-23.798495863035043
all_trials,both_fists_imagery,C3,mu,2.725,21,-35.992881039778325,-51.19268479640228,-79.4394103890798,0.08329350733631388
all_trials,both_fists_imagery,C3,mu,2.75,21,-31.945016033589614,-42.11347047373573,-71.82361375019295,-11.215564901504173
all_trials,both_fists_imagery,C3,mu,2.775,21,-30.781683295064123,-46.41645123729425,-66.24417039546012,-1.902005138585159
all_trials,both_fists_imagery,C3,mu,2.8,21,-32.49609881993477,-28.419014162287386,-70.14016663337691,0.00442830521155537
all_trials,both_fists_imagery,C3,mu,2.825,21,-35.218704680115245,-41.47229920121193,-71.98752580081296,-10.884212551428737
all_trials,both_fists_imagery,C3,mu,2.85,21,-36.17325839763525,-48.753404924994754,-77.26013665175809,-10.86586973554288
all_trials,both_fists_imagery,C3,mu,2.875,21,-33.587120855150054,-51.47665595173988,-69.85193330356589,-12.721404859471182
all_trials,both_fists_imagery,C3,mu,2.9,21,-27.620004738748733,-46.17535200941989,-75.92630374060893,-18.810268179941154
all_trials,both_fists_imagery,C3,mu,2.925,21,-19.5896739470163,-52.59349271919758,-81.77527292986686,2.127342878578737
all_trials,both_fists_imagery,C3,mu,2.95,21,-10.882433862561246,-56.40052900077151,-83.14249730845451,56.019435843515346
all_trials,both_fists_imagery,C3,mu,2.975,21,-2.7579000927839585,-63.36042369059949,-80.09029330862371,84.4246730377561
all_trials,both_fists_imagery,C3,mu,3.0,21,3.3759358948987543,-66.35218914637123,-79.98626035400346,95.46307455419907
all_trials,both_fists_imagery,C3,mu,3.025,21,6.17500192965659,-55.82893905745771,-84.28105583533853,84.94181660703266
all_trials,both_fists_imagery,C3,mu,3.05,21,5.0848991574733855,-42.693135444224964,-82.57686171474347,51.379022248636005
all_trials,both_fists_imagery,C3,mu,3.075,21,0.7782998202377537,-25.702254450116715,-68.29023367065813,61.43995828344039
all_trials,both_fists_imagery,C3,mu,3.1,21,-5.229733964719134,-28.21011123735058,-53.53301940480206,45.10953737737412
all_trials,both_fists_imagery,C3,mu,3.125,21,-11.464010770678712,-28.595405452985254,-62.41734627663438,37.2406647364315
all_trials,both_fists_imagery,C3,mu,3.15,21,-17.016654342061173,-12.910889055446736,-63.381563201953036,17.48716703476247
all_trials,both_fists_imagery,C3,mu,3.175,21,-21.317141786860752,-24.98108863943141,-73.21235314023282,5.177184521274045
all_trials,both_fists_imagery,C3,mu,3.2,21,-23.82152439828555,-34.810361347665975,-73.85371104130078,6.102132909838454
all_trials,both_fists_imagery,C3,mu,3.225,21,-24.43052610736006,-41.69046145978145,-61.58583022507902,-5.793407400152861
all_trials,both_fists_imagery,C3,mu,3.25,21,-24.18850605462172,-46.419914011521584,-68.09033212133426,1.7704361455834534
all_trials,both_fists_imagery,C3,mu,3.275,21,-25.00209692793666,-42.56794426846581,-69.83632213595085,6.90054346874401
all_trials,both_fists_imagery,C3,mu,3.3,21,-28.20260831404378,-39.21622853511673,-72.13666758285214,-2.0127953858104246
all_trials,both_fists_imagery,C3,mu,3.325,21,-33.42829131238557,-39.74329042348889,-71.1172715505876,-22.506344877527088
all_trials,both_fists_imagery,C3,mu,3.35,21,-39.0893683890103,-46.39481046786592,-75.30589985455073,-30.228863834374735
all_trials,both_fists_imagery,C3,mu,3.375,21,-43.787509239514485,-59.959421892428246,-81.53269488994258,-24.338735595453127
all_trials,both_fists_imagery,C3,mu,3.4,21,-47.12896948036016,-55.73437490278964,-73.35456227844197,-21.383338372426003
all_trials,both_fists_imagery,C3,mu,3.425,21,-49.4587543889316,-56.206592948425154,-73.86354343923426,-20.605320081384928
all_trials,both_fists_imagery,C3,mu,3.45,21,-51.267851962411754,-54.57663307182111,-80.61764821797475,-34.77494630914192
all_trials,both_fists_imagery,C3,mu,3.475,21,-52.84050197396579,-61.2321283922719,-79.78636178649342,-41.77601901740995
all_trials,both_fists_imagery,C3,mu,3.5,21,-54.04069670328417,-64.94277025244793,-80.72724083353556,-46.743702380987195
all_trials,both_fists_imagery,C3,mu,3.525,21,-54.15449045965068,-68.23716774644558,-82.57497193851884,-49.461642995233184
all_trials,both_fists_imagery,C3,mu,3.55,21,-52.04973975344801,-75.04163368072143,-79.30314321115995,-36.868597585504176
all_trials,both_fists_imagery,C3,mu,3.575,21,-46.88778481238655,-74.11097645939351,-78.76311003340646,-35.07649288969185
all_trials,both_fists_imagery,C3,mu,3.6,21,-39.115599246097126,-63.469373051234285,-80.08848872509158,-27.08086718017535
all_trials,both_fists_imagery,C3,mu,3.625,21,-30.8428586856475,-53.92345463836132,-76.84018124520391,-8.151341559372023
