subject,run,run_trial_index,semantic_condition,task_event_time_seconds,quality_status,channel,frequency_band,reference_mean_wavelet_power_v2,task_mean_wavelet_power_v2,change_percent,change_db,reference_log_power_robust_z,task_log_power_robust_z,spectral_extreme_driver,primary_retained
1,6,10,both_feet_imagery,87.2,not flagged,Cz,mu,1.0845823287158352e-09,1.0426917909916177e-09,-3.862365872567433,-0.1710656972602833,0.42781358224734717,0.27324670220944025,neither_robust_outlier,True
1,6,10,both_feet_imagery,87.2,not flagged,C4,mu,1.3342907447739947e-09,1.7197999374514953e-09,28.892442984216245,1.1022745523963826,0.22783855595397579,0.7823629833485614,neither_robust_outlier,True
1,6,11,both_fists_imagery,95.5,not flagged,C3,mu,1.349426714519226e-09,6.484960219850327e-10,-51.94284987784024,-3.182419872341147,-0.0771504909098816,-0.7861913146200318,neither_robust_outlier,True
1,6,11,both_fists_imagery,95.5,not flagged,Cz,mu,1.0143206343901244e-09,7.629852368090866e-10,-24.778693152797484,-1.2365912569162378,0.17231182777405787,-0.9175243098517762,neither_robust_outlier,True
1,6,11,both_fists_imagery,95.5,not flagged,C4,mu,1.1093242585688043e-09,5.183255153117923e-10,-53.27556291065785,-3.3045592206181333,-0.19524049198315602,-1.165208288759564,neither_robust_outlier,True
1,6,12,both_fists_imagery,103.8,statistical candidate,C3,mu,1.9710094087543577e-09,5.172821680144169e-10,-73.75546936930505,-5.809611899494497,0.6086749585176277,-1.0946311424511954,neither_robust_outlier,True
1,6,12,both_fists_imagery,103.8,statistical candidate,Cz,mu,9.093830506216247e-10,6.625381646413904e-10,-27.144214510210983,-1.3753595512906864,-0.24429802719957563,-1.4557180076436578,neither_robust_outlier,True
1,6,12,both_fists_imagery,103.8,statistical candidate,C4,mu,1.598658426107807e-09,8.01543649597982e-10,-49.861481570552264,-2.9982850339379654,0.6420185690157589,-0.45731697024956475,neither_robust_outlier,True
1,6,13,both_feet_imagery,112.1,not flagged,C3,mu,2.28820331768128e-09,1.5176493033240987e-09,-33.67506761322292,-1.783231840755931,0.8787959535210528,0.3738818200017768,neither_robust_outlier,True
1,6,13,both_feet_imagery,112.1,not flagged,Cz,mu,8.128992900105896e-10,1.0120156956031705e-09,24.49459706010902,0.9515050389844492,-0.6721663550794617,0.15939547828230463,neither_robust_outlier,True
1,6,13,both_feet_imagery,112.1,not flagged,C4,mu,2.868960760975263e-09,1.6763483940210542e-09,-41.56949035959617,-2.333603256861405,1.981915080408854,0.740808668557467,neither_robust_outlier,True
1,6,14,both_feet_imagery,120.4,not flagged,C3,mu,2.182822326507901e-09,4.030417245961368e-09,84.64247854791121,2.663316212658036,0.7934479099879251,1.7064732167904941,neither_robust_outlier,True
1,6,14,both_feet_imagery,120.4,not flagged,Cz,mu,1.3765521576874039e-09,8.47131501709356e-10,-38.45990528012176,-2.1084183964057877,1.3372196576300692,-0.5186567767953837,neither_robust_outlier,True
1,6,14,both_feet_imagery,120.4,not flagged,C4,mu,1.585990425762733e-09,2.0062877804931425e-09,26.5006237051072,1.0209266678471127,0.6237899493746543,1.0325616475167159,neither_robust_outlier,True
1,10,0,both_fists_imagery,4.2,not flagged,C3,mu,5.041791105536017e-10,7.967048740792275e-10,58.02020698644673,1.9871262633151092,-1.8593047719425957,-0.5053648884143006,neither_robust_outlier,True
1,10,0,both_fists_imagery,4.2,not flagged,Cz,mu,6.064928036776068e-10,7.512860978825457e-10,23.8738684658667,0.9297970041947001,-1.789585222501689,-0.9764377244927119,neither_robust_outlier,True
1,10,0,both_fists_imagery,4.2,not flagged,C4,mu,5.594415486032146e-10,7.913654781738812e-10,41.456329110650174,1.5062238365117855,-1.7637643226160924,-0.47806890245964195,neither_robust_outlier,True
1,10,1,both_feet_imagery,12.5,not flagged,C3,mu,2.2266415615932173e-09,1.6683458301141023e-09,-25.073444289777854,-1.2536423097356617,0.8294270939968725,0.5030468360481058,neither_robust_outlier,True
1,10,1,both_feet_imagery,12.5,not flagged,Cz,mu,1.1456275098289037e-09,1.275546317810291e-09,11.340405748530802,0.4665279963686977,0.6367044632670734,1.0417557351531588,neither_robust_outlier,True
1,10,1,both_feet_imagery,12.5,not flagged,C4,mu,1.9110776984531516e-09,1.1657911020865822e-09,-38.998236281539626,-2.1465760823313893,1.0510148479655872,0.15099998405227907,neither_robust_outlier,True
1,10,2,both_feet_imagery,20.8,not flagged,C3,mu,7.260456192078072e-10,2.622233653961572e-09,261.1665141403521,5.577074775268045,-1.1991565329091287,1.120007195339052,neither_robust_outlier,True
1,10,2,both_feet_imagery,20.8,not flagged,Cz,mu,9.682578094148014e-10,8.209243946123329e-10,-15.21634149189195,-0.7168784707893139,-0.004986107874462772,-0.6384685728435459,neither_robust_outlier,True
1,10,2,both_feet_imagery,20.8,not flagged,C4,mu,8.999489926320097e-10,1.9553394759991236e-09,117.27225565090046,3.3700427309000824,-0.6745,0.9907926609208237,neither_robust_outlier,True
1,10,3,both_fists_imagery,29.1,not flagged,C3,mu,6.440177981108072e-10,8.926805118289247e-10,38.61115553755761,1.4179818405242912,-1.4161757779412552,-0.35017524629399144,neither_robust_outlier,True
1,10,3,both_fists_imagery,29.1,not flagged,Cz,mu,8.085259170380701e-10,9.643264285743465e-10,19.269699121956574,0.7653012367370962,-0.6927454360261442,-0.024638574082748756,neither_robust_outlier,True
1,10,3,both_fists_imagery,29.1,not flagged,C4,mu,6.988309680534262e-10,1.3804539207604367e-09,97.5375997726105,2.956497724666876,-1.2540273574191954,0.42544957895892105,neither_robust_outlier,True
1,10,4,both_feet_imagery,37.4,not flagged,C3,mu,1.9600451109152613e-09,1.5699767350749105e-09,-19.900989710293185,-0.9637285006275963,0.5985770625002803,0.4201315163544078,neither_robust_outlier,True
1,10,4,both_feet_imagery,37.4,not flagged,Cz,mu,6.728180444805299e-10,9.207623962977299e-10,36.85162041226661,1.3624994410594835,-1.3936741578164789,-0.20088849905384293,neither_robust_outlier,True
1,10,4,both_feet_imagery,37.4,not flagged,C4,mu,1.582827095172819e-09,1.0389891376157688e-09,-34.35864594532177,-1.8282246886803566,0.6192153562460958,-0.035988157100247595,neither_robust_outlier,True
1,10,5,both_fists_imagery,45.7,not flagged,C3,mu,2.180607279380689e-09,6.772366966543825e-10,-68.94274805655407,-5.078369748340182,0.7916100473681841,-0.7270253960531963,neither_robust_outlier,True
1,10,5,both_fists_imagery,45.7,not flagged,Cz,mu,8.528174428191898e-10,7.041191336177449e-10,-17.436124278824245,-0.8320992854616572,-0.48928990914323556,-1.2236451231387349,neither_robust_outlier,True
1,10,5,both_fists_imagery,45.7,not flagged,C4,mu,8.089860219195e-10,7.24303345925856e-10,-10.46775515264348,-0.4802052627892688,-0.9186488701373581,-0.6218595223903309,neither_robust_outlier,True
1,10,6,both_fists_imagery,54.0,not flagged,C3,mu,1.4367124832746672e-09,7.118683027245522e-10,-50.451582274693784,-3.0497020967800585,0.03630898831767548,-0.6589813487801202,neither_robust_outlier,True
1,10,6,both_fists_imagery,54.0,not flagged,Cz,mu,1.2820885155298013e-09,9.003448751637242e-10,-29.77513921558903,-1.5350911308219835,1.066017447507839,-0.2863835627724337,neither_robust_outlier,True
1,10,6,both_fists_imagery,54.0,not flagged,C4,mu,1.755339249287336e-09,5.30952398495649e-10,-69.752149123811,-5.193054767394074,0.8562456051980906,-1.126124157268593,neither_robust_outlier,True
1,10,7,both_feet_imagery,62.3,not flagged,C3,mu,1.531841358085702e-09,1.948091902504906e-09,27.173214916940253,1.0439565031626021,0.1523667439951336,0.7145486315100901,neither_robust_outlier,True
1,10,7,both_feet_imagery,62.3,not flagged,Cz,mu,2.135806005645745e-09,1.197377002611962e-09,-43.93793259093566,-2.51330890739255,3.012930664633099,0.8006399043078389,neither_robust_outlier,True
1,10,7,both_feet_imagery,62.3,not flagged,C4,mu,1.608583289546079e-09,1.623784957657165e-09,0.9450345661228234,0.040849610848108404,0.6561993194079301,0.6890762408761081,neither_robust_outlier,True
1,10,8,both_feet_imagery,70.6,statistical candidate,C3,mu,1.4154520123969413e-09,6.450696478038994e-10,-54.42659714676362,-3.412885425123818,0.009321382115487572,-0.7934191774152571,neither_robust_outlier,True
1,10,8,both_feet_imagery,70.6,statistical candidate,Cz,mu,9.070227043460425e-10,1.5025786993991116e-09,65.6605388376095,2.1921906963802127,-0.2542124725262038,1.6662967758938476,neither_robust_outlier,True
1,10,8,both_feet_imagery,70.6,statistical candidate,C4,mu,1.0320030873730686e-09,7.960419703850359e-10,-22.864380918536234,-1.1274503053057163,-0.3607828735516076,-0.4685012161657367,neither_robust_outlier,True
1,10,9,both_fists_imagery,78.9,not flagged,C3,mu,7.030150495847959e-10,7.076550362216301e-10,0.6600124193037732,0.028569796438224784,-1.2575077107181873,-0.6670805137498247,neither_robust_outlier,True
1,10,9,both_fists_imagery,78.9,not flagged,Cz,mu,1.3355122036389968e-09,1.0188255875712632e-09,-23.712745956557157,-1.1754801723522277,1.2217559888490037,0.18496491871684542,neither_robust_outlier,True
1,10,9,both_fists_imagery,78.9,not flagged,C4,mu,8.675368033457164e-10,3.366353319946242e-10,-61.19642063640799,-4.111282118759306,-0.7585438815187161,-1.8660638743844156,neither_robust_outlier,True
1,10,10,both_fists_imagery,87.2,not flagged,C3,mu,8.829125183945459e-10,8.769532484111166e-10,-0.6749558828620312,-0.029412333722690656,-0.8450561996280399,-0.37442703506717107,neither_robust_outlier,True
1,10,10,both_fists_imagery,87.2,not flagged,Cz,mu,9.933866626764519e-10,9.456962177923115e-10,-4.800793756949533,-0.21366672683805893,0.09275594469120702,-0.09901723965433326,neither_robust_outlier,True
1,10,10,both_fists_imagery,87.2,not flagged,C4,mu,7.976449312832114e-10,1.3668356384266005e-09,71.35890730574863,2.3390668415656664,-0.9509971270537076,0.4093507115151763,neither_robust_outlier,True
1,10,11,both_feet_imagery,95.5,not flagged,C3,mu,2.548327917522837e-09,1.5274382893090365e-09,-40.06115622694982,-2.2229163889833696,1.0737017332338028,0.38265388800096223,neither_robust_outlier,True
1,10,11,both_feet_imagery,95.5,not flagged,Cz,mu,1.3337670979258923e-09,1.2361083300777403e-09,-7.322025562035436,-0.3302346668210405,1.2167679123044077,0.9220139090883345,neither_robust_outlier,True
1,10,11,both_feet_imagery,95.5,not flagged,C4,mu,1.6980004167379522e-09,1.609274455677243e-09,-5.225320334794829,-0.23307674797796463,0.7801508993453261,0.6745,neither_robust_outlier,True
1,10,12,both_feet_imagery,103.8,not flagged,C3,mu,8.108764694441189e-10,1.643304182870515e-09,102.6577715341834,3.067632627517607,-0.9991235595843334,0.4824125562621491,neither_robust_outlier,True
1,10,12,both_feet_imagery,103.8,not flagged,Cz,mu,1.2027020418454137e-09,1.1553581312564815e-09,-3.9364621445464683,-0.174414230811073,0.8221746786021442,0.6644412290903875,neither_robust_outlier,True
1,10,12,both_feet_imagery,103.8,not flagged,C4,mu,8.910828394856913e-10,2.0752750940858443e-09,132.89362134766688,3.6715759393851854,-0.6971850870550234,1.0874598309403478,neither_robust_outlier,True
1,10,13,both_fists_imagery,112.1,not flagged,C3,mu,1.1043881770094384e-09,9.423293918228792e-10,-14.674078241709955,-0.6891901143049259,-0.43989469820885185,-0.27632709478163076,neither_robust_outlier,True
1,10,13,both_fists_imagery,112.1,not flagged,Cz,mu,5.799862197254513e-10,9.73536960107535e-10,67.8551881057414,2.2493476906257754,-1.9600643801041413,0.011604094132176376,neither_robust_outlier,True
1,10,13,both_fists_imagery,112.1,not flagged,C4,mu,1.207994934730071e-09,6.677265248791957e-10,-44.72439364752795,-2.574664846770938,0.0,-0.7539292136010153,neither_robust_outlier,True
1,10,14,both_feet_imagery,120.4,not flagged,C3,mu,1.2749662514040618e-09,1.4996348667712668e-09,17.621534304911037,0.7048684022339337,-0.17989803606550814,0.3575899023738521,neither_robust_outlier,True
1,10,14,both_feet_imagery,120.4,not flagged,Cz,mu,6.287096011311273e-10,1.1584103046369994e-09,84.25204618362345,2.6541231955047713,-1.6523405508800593,0.6745,neither_robust_outlier,True
1,10,14,both_feet_imagery,120.4,not flagged,C4,mu,1.4751759735638317e-09,1.2580426423050774e-09,-14.719147759313662,-0.6914846824271477,0.45782963107824026,0.2746671768098676,neither_robust_outlier,True
1,14,0,both_feet_imagery,4.2,not flagged,C3,mu,9.919716504586096e-10,1.0487819459094016e-09,5.727007966863511,0.24185942016125447,-0.6342243846485347,-0.1302986619439342,neither_robust_outlier,True
1,14,0,both_feet_imagery,4.2,not flagged,Cz,mu,5.169641677267671e-10,8.788135572603733e-10,69.99506196430539,2.3043630612650308,-2.3988873935466235,-0.3786688674185495,neither_robust_outlier,True
1,14,0,both_feet_imagery,4.2,not flagged,C4,mu,7.750010377764707e-10,1.0918495503064257e-09,40.88362429023507,1.4886051551035415,-1.0169836328388249,0.04459475501014254,neither_robust_outlier,True
1,14,1,both_fists_imagery,12.5,not flagged,C3,mu,9.70144801758737e-10,6.412288032552896e-10,-33.90380465958985,-1.7982353885355697,-0.6745,-0.8015671367124124,neither_robust_outlier,True
1,14,1,both_fists_imagery,12.5,not flagged,Cz,mu,6.522233239153422e-10,8.637419042460023e-10,32.43039194932485,1.2198766441802908,-1.5122692638189985,-0.4446227648444094,neither_robust_outlier,True
1,14,1,both_fists_imagery,12.5,not flagged,C4,mu,6.691834243005008e-10,4.654877825255497e-10,-30.439433252231957,-1.5763688822157373,-1.3533552078429563,-1.3397999288545719,neither_robust_outlier,True
1,14,2,both_feet_imagery,20.8,not flagged,C3,mu,1.4422355114510605e-09,1.9976181173180615e-09,38.50845451088775,1.4147628340308347,0.04325446379886251,0.7488013746816952,neither_robust_outlier,True
1,14,2,both_feet_imagery,20.8,not flagged,Cz,mu,1.0624753552951946e-09,1.3879374488471707e-09,30.63243697182517,1.1605102876717428,0.34925271834814237,1.3637108362679782,neither_robust_outlier,True
1,14,2,both_feet_imagery,20.8,not flagged,C4,mu,7.331140246675045e-10,1.0622726299500023e-09,44.898691636922905,1.6106446402583263,-1.1442933652640355,0.0,neither_robust_outlier,True
1,14,3,both_fists_imagery,29.1,not flagged,C3,mu,1.5175071723012198e-09,6.074770274482666e-10,-59.96875411619574,-3.9760089323136167,0.13534801302532765,-0.8753413966529574,neither_robust_outlier,True
1,14,3,both_fists_imagery,29.1,not flagged,Cz,mu,7.902263921056259e-10,7.726104793752202e-10,-2.229223537253242,-0.09790935780240957,-0.7800793499537838,-0.8697278384379966,neither_robust_outlier,True
1,14,3,both_fists_imagery,29.1,not flagged,C4,mu,9.747473610467979e-10,4.6015884260774173e-10,-52.7919888786804,-3.259842960574328,-0.49156500940675074,-1.3584970296334948,neither_robust_outlier,True
1,14,4,both_fists_imagery,37.4,not flagged,C3,mu,9.997319844454214e-10,4.765129371195611e-10,-52.33593157631184,-3.2180889068138,-0.6201179940447046,-1.2066373394694971,neither_robust_outlier,True
1,14,4,both_fists_imagery,37.4,not flagged,Cz,mu,1.1021527299770084e-09,6.038422581480387e-10,-45.21246994863995,-2.6131827812422648,0.4891191874835661,-1.8093978154352852,neither_robust_outlier,True
1,14,4,both_fists_imagery,37.4,not flagged,C4,mu,1.117486847641732e-09,4.6167482580328534e-10,-58.686330243834874,-3.8390622637256966,-0.17844272785716012,-1.353156109520466,neither_robust_outlier,True
1,14,5,both_feet_imagery,45.7,not flagged,C3,mu,2.6353417649490043e-09,2.230426017376265e-09,-15.3648286897079,-0.7244912240146955,1.1344802167008177,0.8992056805658208,neither_robust_outlier,True
1,14,5,both_feet_imagery,45.7,not flagged,Cz,mu,1.1570342562911453e-09,1.082253253031731e-09,-6.463162421752633,-0.29017317403071996,0.6745,0.415227683321708,neither_robust_outlier,True
1,14,5,both_feet_imagery,45.7,not flagged,C4,mu,1.7075249313102203e-09,1.102639226783271e-09,-35.42470703855596,-1.899336148681574,0.7929672636710163,0.06056282499844712,neither_robust_outlier,True
1,14,6,both_fists_imagery,54.0,not flagged,C3,mu,1.2531176153474873e-09,9.491387249118746e-10,-24.257810018201678,-1.206621420028805,-0.21118775607791157,-0.2665035097984594,neither_robust_outlier,True
1,14,6,both_fists_imagery,54.0,not flagged,Cz,mu,9.492399879877422e-10,8.483586608819629e-10,-10.627589269562254,-0.48796527252650945,-0.08065989311367067,-0.5131377683766433,neither_robust_outlier,True
1,14,6,both_fists_imagery,54.0,not flagged,C4,mu,2.097061442683231e-09,7.909038947771604e-10,-62.28513487114696,-4.234874410144463,1.2638038414612185,-0.47901632483770407,neither_robust_outlier,True
1,14,7,both_feet_imagery,62.3,not flagged,C3,mu,2.3370766341303916e-09,1.6504152318793157e-09,-29.381210364399426,-1.510797302603819,0.9170526936695895,0.4883038452020577,neither_robust_outlier,True
1,14,7,both_feet_imagery,62.3,not flagged,Cz,mu,1.0127063110375343e-09,8.242526780235125e-10,-18.608912668960063,-0.8942314959324267,0.16623556670552295,-0.6230422078952177,neither_robust_outlier,True
1,14,7,both_feet_imagery,62.3,not flagged,C4,mu,1.9498120860390137e-09,2.5504834740140916e-09,30.80662963759366,1.1662975577769394,1.0969905997860325,1.4222786236871439,neither_robust_outlier,True
1,14,8,both_fists_imagery,70.6,not flagged,C3,mu,2.0703757052817624e-09,8.124938713594706e-10,-60.75621109315054,-4.062290690316474,0.6977086570002784,-0.47859038786807967,neither_robust_outlier,True
1,14,8,both_fists_imagery,70.6,not flagged,Cz,mu,1.0396006755465888e-09,6.905605243283249e-10,-33.57444444086666,-1.7766480462175704,0.26622385896135964,-1.297777806253795,neither_robust_outlier,True
1,14,8,both_fists_imagery,70.6,not flagged,C4,mu,2.9697638777512047e-09,4.579915900342966e-10,-84.57818167075621,-8.11864417218894,2.0610383272312798,-1.3661630569059975,neither_robust_outlier,True
1,14,9,both_feet_imagery,78.9,statistical candidate,C3,mu,3.8683281023772516e-09,1.651124435223189e-09,-57.31684615354879,-3.6974349816261043,1.8292545424396747,0.4888900060925091,neither_robust_outlier,True
1,14,9,both_feet_imagery,78.9,statistical candidate,Cz,mu,2.345969249017468e-09,6.82040072969852e-10,-70.92715203937553,-5.3651242289069545,3.3709699211309787,-1.345112476217419,neither_robust_outlier,True
1,14,9,both_feet_imagery,78.9,statistical candidate,C4,mu,1.3614116322516497e-09,8.196594045504498e-10,-39.7934184538435,-2.2035603078633113,0.273943934017508,-0.4210249645509754,neither_robust_outlier,True
1,14,10,both_feet_imagery,87.2,not flagged,C3,mu,5.364017525440046e-10,2.1740452896198396e-09,305.3016753410939,6.077783989301673,-1.7471591835196467,0.8642737014589233,neither_robust_outlier,True
1,14,10,both_feet_imagery,87.2,not flagged,Cz,mu,7.275479897368335e-10,1.935574028683274e-09,166.0407362795964,4.249481410931135,-1.0953351515990575,2.6317369745263295,neither_robust_outlier,True
1,14,10,both_feet_imagery,87.2,not flagged,C4,mu,1.3318950301477488e-09,1.6634593971807038e-09,24.894181562955005,0.9654220639686052,0.22372090269201064,0.72827513093448,neither_robust_outlier,True
1,14,11,both_fists_imagery,95.5,not flagged,C3,mu,1.3037007915559025e-09,6.866812173043468e-10,-47.3283116991264,-2.7842276085265736,-0.13955347741492516,-0.7081297735045906,neither_robust_outlier,True
1,14,11,both_fists_imagery,95.5,not flagged,Cz,mu,5.4634080653335e-10,8.509820592755957e-10,55.7602963387011,1.9245676477122176,-2.1880439416657618,-0.5013660602321207,neither_robust_outlier,True
1,14,11,both_fists_imagery,95.5,not flagged,C4,mu,9.700827223428941e-10,5.02325400362845e-10,-48.21829223494937,-2.8582363059663685,-0.5025561347132863,-1.21612441118621,neither_robust_outlier,True
1,14,12,both_feet_imagery,103.8,not flagged,C3,mu,1.2271824506661197e-09,2.58364140955963e-09,110.53441630926343,3.2332310060611675,-0.24904583958909499,1.0997780829308508,neither_robust_outlier,True
1,14,12,both_feet_imagery,103.8,not flagged,Cz,mu,8.500788438875729e-10,6.896298107861006e-10,-18.87460607391525,-0.9084318135324432,-0.5015599479501924,-1.3029198110109879,neither_robust_outlier,True
1,14,12,both_feet_imagery,103.8,not flagged,C4,mu,2.0002209298897027e-09,1.1744229003057639e-09,-41.285340896291665,-2.312534562813712,1.1554742630344759,0.16297901107780788,neither_robust_outlier,True
1,14,13,both_fists_imagery,112.1,not flagged,C3,mu,1.1409363625575441e-09,4.83072598102241e-10,-57.65998753695812,-3.732490184793484,-0.3809583707793734,-1.1879835511805257,neither_robust_outlier,True
1,14,13,both_fists_imagery,112.1,not flagged,Cz,mu,9.071507326664828e-10,1.2476061081758714e-09,37.53018801061346,1.3839803669312858,-0.2536740384083875,0.9573135851674008,neither_robust_outlier,True
1,14,13,both_fists_imagery,112.1,not flagged,C4,mu,1.4629462276966676e-09,8.718586716476118e-10,-40.403915390635525,-2.247822719444022,0.4387550475437521,-0.3207714633971172,neither_robust_outlier,True
1,14,14,both_feet_imagery,120.4,not flagged,C3,mu,1.7865845791556936e-09,1.821067758414154e-09,1.9301173681212769,0.08302524283600288,0.43084020468234874,0.6225526584835215,neither_robust_outlier,True
1,14,14,both_feet_imagery,120.4,not flagged,Cz,mu,1.3370016737358422e-09,1.4486855337152054e-09,8.353307417132614,0.3484217242637041,1.2260082231897518,1.5270358628039813,neither_robust_outlier,True
1,14,14,both_feet_imagery,120.4,not flagged,C4,mu,1.086637506516319e-09,1.4441170806811807e-09,32.89777612323683,1.2351771363281854,-0.2425848226292756,0.4986617224447374,neither_robust_outlier,True
