subject,cohort,requested_runs,compatible_runs,compatible_run_count,technical_eligibility,primary_analysis_included,partial_run_analysis_used,outcome_used_for_eligibility,failure_reason
69,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
70,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
71,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
72,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
73,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
74,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
75,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
76,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
77,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
78,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
79,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
80,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
81,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
82,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
83,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
84,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
85,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
86,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
87,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
88,replication_2,6/10/14,,0,technically_incompatible,False,False,False,run6:unexpected_sampling_frequency;unexpected_annotation_counts;run10:unexpected_sampling_frequency;unexpected_annotation_counts;run14:unexpected_sampling_frequency;unexpected_annotation_counts
89,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
90,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
91,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
92,replication_2,6/10/14,,0,technically_incompatible,False,False,False,run6:unexpected_sampling_frequency;unexpected_annotation_counts;run10:unexpected_sampling_frequency;unexpected_annotation_counts;run14:unexpected_sampling_frequency;unexpected_annotation_counts
93,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
94,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
95,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
96,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
97,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
98,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
99,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
100,replication_2,6/10/14,,0,technically_incompatible,False,False,False,run6:unexpected_sampling_frequency;unexpected_annotation_counts;run10:unexpected_sampling_frequency;unexpected_annotation_counts;run14:unexpected_sampling_frequency;unexpected_annotation_counts
101,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
102,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
103,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
104,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
105,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
106,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
107,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
108,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
109,replication_2,6/10/14,6/10/14,3,eligible,True,False,False,
