development_fold,target_subject,model,training_subjects,training_subject_count,training_trial_count,training_trial_counts_by_subject,target_subject_absent_from_training,csp_fit_subjects,scaler_fit_subjects,lda_fit_subjects,target_centering_used,target_scaling_fit_used,target_covariance_alignment_used,target_CSP_adaptation_used,target_transductive_normalization_used,target_unlabeled_adaptation_used,feature_names
6,6,csp_4_empirical,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
7,7,spectral_baseline_6,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
7,7,csp_4_empirical,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
8,8,spectral_baseline_6,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
8,8,csp_4_empirical,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
9,9,spectral_baseline_6,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
9,9,csp_4_empirical,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
10,10,spectral_baseline_6,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
10,10,csp_4_empirical,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/11/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
11,11,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
11,11,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/12/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
12,12,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
12,12,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/13/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
13,13,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
13,13,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/14/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
14,14,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
14,14,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/15/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
15,15,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
15,15,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S016:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/16/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
16,16,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S017:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
16,16,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S017:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/17/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
17,17,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S018:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
17,17,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S018:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/18/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
18,18,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S019:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
18,18,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S019:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/19/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
19,19,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S020:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
19,19,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S020:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/20,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
20,20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45,True,not_applicable,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False,False,False,False,False,False,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db
20,20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,19,855,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45,True,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19,False,False,False,False,False,False,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power
