subject,held_out_run,training_runs,frequency_hz,mean_log_psd_db,task_outcome_used
3,10,6/14,8.75,-112.82031457274877,False
3,10,6/14,9.0,-113.36678469419797,False
3,10,6/14,9.25,-114.61216721947264,False
3,10,6/14,9.5,-113.50810104462008,False
3,10,6/14,9.75,-115.03560979024688,False
3,10,6/14,10.0,-114.7315895709044,False
3,10,6/14,10.25,-113.93298934445569,False
3,10,6/14,10.5,-115.75098849657545,False
3,10,6/14,10.75,-115.20537890425985,False
3,10,6/14,11.0,-114.7753064258455,False
3,10,6/14,11.25,-115.86394348910159,False
3,10,6/14,11.5,-115.5928701170711,False
3,10,6/14,11.75,-116.69356689710051,False
3,10,6/14,12.0,-118.35681551907399,False
3,10,6/14,12.25,-119.30506437482316,False
3,10,6/14,12.5,-118.58632728328749,False
3,10,6/14,12.75,-118.16630419604684,False
3,10,6/14,13.0,-118.89621172760212,False
3,10,6/14,13.25,-119.3953181850275,False
3,10,6/14,13.5,-118.7008077366475,False
3,10,6/14,13.75,-118.21886346390367,False
3,10,6/14,14.0,-119.83025126970378,False
3,10,6/14,14.25,-119.48862011002764,False
3,10,6/14,14.5,-119.87614499931385,False
3,10,6/14,14.75,-119.71713371258421,False
3,10,6/14,15.0,-120.21714861605693,False
3,14,6/10,6.0,-109.0971860113071,False
3,14,6/10,6.25,-109.99293693558329,False
3,14,6/10,6.5,-109.03318967704503,False
3,14,6/10,6.75,-109.9047528165721,False
3,14,6/10,7.0,-110.24709461541893,False
3,14,6/10,7.25,-110.52504040839223,False
3,14,6/10,7.5,-112.40889130174804,False
3,14,6/10,7.75,-111.61615672150991,False
3,14,6/10,8.0,-112.06439671392715,False
3,14,6/10,8.25,-112.78886277899126,False
3,14,6/10,8.5,-113.90807311501887,False
3,14,6/10,8.75,-114.44952001064853,False
3,14,6/10,9.0,-114.8020018885762,False
3,14,6/10,9.25,-114.91923384671635,False
3,14,6/10,9.5,-113.95983594405453,False
3,14,6/10,9.75,-114.61769437121707,False
3,14,6/10,10.0,-114.47990807476373,False
3,14,6/10,10.25,-114.3513936551442,False
3,14,6/10,10.5,-114.3309059481366,False
3,14,6/10,10.75,-114.06430443397684,False
3,14,6/10,11.0,-114.90301878048817,False
3,14,6/10,11.25,-117.27077286639101,False
3,14,6/10,11.5,-116.30999514449759,False
3,14,6/10,11.75,-116.78295210381359,False
3,14,6/10,12.0,-118.87618503915135,False
3,14,6/10,12.25,-118.52929307476604,False
3,14,6/10,12.5,-118.02351189661174,False
3,14,6/10,12.75,-117.69765848396449,False
3,14,6/10,13.0,-118.3162613654364,False
3,14,6/10,13.25,-118.70957802475219,False
3,14,6/10,13.5,-118.94005514224322,False
3,14,6/10,13.75,-118.90218628108815,False
3,14,6/10,14.0,-120.69738457177777,False
3,14,6/10,14.25,-120.74936737501437,False
3,14,6/10,14.5,-119.5266508932517,False
3,14,6/10,14.75,-119.12506747297859,False
3,14,6/10,15.0,-119.73486708913309,False
5,6,10/14,6.0,-119.04240802120928,False
5,6,10/14,6.25,-118.99500192616549,False
5,6,10/14,6.5,-118.84135006815713,False
5,6,10/14,6.75,-118.81552257338905,False
5,6,10/14,7.0,-118.8825635090119,False
5,6,10/14,7.25,-119.5996995033986,False
5,6,10/14,7.5,-119.14528717699388,False
5,6,10/14,7.75,-120.18233913686461,False
5,6,10/14,8.0,-121.07826276411058,False
5,6,10/14,8.25,-120.94589786287656,False
5,6,10/14,8.5,-119.89985095087856,False
5,6,10/14,8.75,-120.82648593371604,False
5,6,10/14,9.0,-119.72890066954076,False
5,6,10/14,9.25,-120.3075677744561,False
5,6,10/14,9.5,-119.9761765439244,False
5,6,10/14,9.75,-120.11583902877393,False
5,6,10/14,10.0,-120.94597241250143,False
5,6,10/14,10.25,-120.77540348648854,False
5,6,10/14,10.5,-120.6677272108443,False
5,6,10/14,10.75,-120.5593041610639,False
5,6,10/14,11.0,-121.04616180976537,False
5,6,10/14,11.25,-121.46287468720803,False
5,6,10/14,11.5,-121.50410394189275,False
5,6,10/14,11.75,-121.63630613380786,False
5,6,10/14,12.0,-121.82960554308939,False
5,6,10/14,12.25,-122.22197375219027,False
5,6,10/14,12.5,-122.7980281519638,False
5,6,10/14,12.75,-121.33843200980859,False
5,6,10/14,13.0,-121.79959023885891,False
5,6,10/14,13.25,-121.97542222365479,False
5,6,10/14,13.5,-122.42974559172775,False
5,6,10/14,13.75,-122.24792191665088,False
5,6,10/14,14.0,-121.81076603261431,False
5,6,10/14,14.25,-122.39006672849506,False
5,6,10/14,14.5,-121.65763115899907,False
5,6,10/14,14.75,-122.22469937587765,False
5,6,10/14,15.0,-122.31216309602743,False
5,10,6/14,6.0,-118.69837573186572,False
5,10,6/14,6.25,-119.99008737582149,False
5,10,6/14,6.5,-119.50313973177137,False
5,10,6/14,6.75,-119.65374529669324,False
5,10,6/14,7.0,-119.88621477544463,False
5,10,6/14,7.25,-119.56087315010767,False
5,10,6/14,7.5,-119.75484856117183,False
5,10,6/14,7.75,-118.94779013243677,False
5,10,6/14,8.0,-120.0387092292928,False
5,10,6/14,8.25,-120.60726529828044,False
5,10,6/14,8.5,-120.0634193098787,False
5,10,6/14,8.75,-121.34568931228479,False
5,10,6/14,9.0,-120.86863475675085,False
5,10,6/14,9.25,-120.84587897525901,False
5,10,6/14,9.5,-121.36282583830709,False
5,10,6/14,9.75,-121.23557570148888,False
5,10,6/14,10.0,-122.07683487882649,False
5,10,6/14,10.25,-121.91197273280454,False
5,10,6/14,10.5,-122.02944105929275,False
5,10,6/14,10.75,-121.46734417500653,False
5,10,6/14,11.0,-121.93749118319425,False
5,10,6/14,11.25,-122.60871117323767,False
5,10,6/14,11.5,-122.24378542334426,False
5,10,6/14,11.75,-122.38480359014859,False
5,10,6/14,12.0,-122.45393655081874,False
5,10,6/14,12.25,-122.98762769095572,False
5,10,6/14,12.5,-122.5219011391156,False
5,10,6/14,12.75,-122.72229955607251,False
5,10,6/14,13.0,-123.18297545044842,False
5,10,6/14,13.25,-122.94130287159848,False
5,10,6/14,13.5,-122.67814486051233,False
5,10,6/14,13.75,-122.20459557329627,False
5,10,6/14,14.0,-122.83372853032196,False
5,10,6/14,14.25,-121.84721342266987,False
5,10,6/14,14.5,-122.03469590897451,False
5,10,6/14,14.75,-123.27722820471968,False
5,10,6/14,15.0,-123.07417786976096,False
5,14,6/10,6.0,-119.22467609181048,False
5,14,6/10,6.25,-119.4514546647037,False
5,14,6/10,6.5,-119.50132717386155,False
5,14,6/10,6.75,-119.57867249052833,False
5,14,6/10,7.0,-119.54763808550676,False
5,14,6/10,7.25,-120.32109647017634,False
5,14,6/10,7.5,-120.45585973175822,False
5,14,6/10,7.75,-120.50033729380061,False
5,14,6/10,8.0,-120.79855162348835,False
5,14,6/10,8.25,-120.71595604154453,False
5,14,6/10,8.5,-120.199332999085,False
5,14,6/10,8.75,-121.0233489931879,False
5,14,6/10,9.0,-120.90930734857457,False
5,14,6/10,9.25,-120.71299241476324,False
5,14,6/10,9.5,-121.57095991722618,False
5,14,6/10,9.75,-121.51452421360328,False
5,14,6/10,10.0,-122.22865465643066,False
5,14,6/10,10.25,-121.36033786788086,False
5,14,6/10,10.5,-120.84054847319331,False
5,14,6/10,10.75,-121.10640186470938,False
5,14,6/10,11.0,-120.80067764896998,False
5,14,6/10,11.25,-121.85624035670594,False
5,14,6/10,11.5,-121.48392515762632,False
5,14,6/10,11.75,-122.19795953245026,False
5,14,6/10,12.0,-123.86639808799947,False
5,14,6/10,12.25,-124.30774949263335,False
5,14,6/10,12.5,-123.956713521293,False
5,14,6/10,12.75,-123.45066934950236,False
5,14,6/10,13.0,-123.22757541098062,False
5,14,6/10,13.25,-123.07581398703668,False
5,14,6/10,13.5,-122.56575503952573,False
5,14,6/10,13.75,-122.81876111947795,False
5,14,6/10,14.0,-123.20392114009836,False
5,14,6/10,14.25,-122.97563010958935,False
5,14,6/10,14.5,-123.46808055801111,False
5,14,6/10,14.75,-122.52803621851247,False
5,14,6/10,15.0,-123.09391889667849,False
7,6,10/14,6.0,-113.70553225609633,False
7,6,10/14,6.25,-114.09097965099336,False
7,6,10/14,6.5,-113.39704027876202,False
7,6,10/14,6.75,-115.47407161248258,False
7,6,10/14,7.0,-114.57541073799881,False
7,6,10/14,7.25,-115.16374032583596,False
7,6,10/14,7.5,-114.55227353871095,False
7,6,10/14,7.75,-114.23316585361057,False
7,6,10/14,8.0,-113.11083991216837,False
7,6,10/14,8.25,-113.95691269576066,False
7,6,10/14,8.5,-113.67378709092307,False
7,6,10/14,8.75,-113.44538874035632,False
7,6,10/14,9.0,-113.79187622415554,False
7,6,10/14,9.25,-113.28112498283282,False
7,6,10/14,9.5,-111.89403170280409,False
7,6,10/14,9.75,-111.054094114739,False
7,6,10/14,10.0,-111.42557217216593,False
7,6,10/14,10.25,-113.0203982148597,False
7,6,10/14,10.5,-113.85714011183761,False
7,6,10/14,10.75,-111.88002344258067,False
7,6,10/14,11.0,-111.1738968749168,False
7,6,10/14,11.25,-110.66179141398536,False
7,6,10/14,11.5,-110.40985935848121,False
7,6,10/14,11.75,-110.37582585397396,False
7,6,10/14,12.0,-111.07145793627527,False
7,6,10/14,12.25,-110.03985230503368,False
7,6,10/14,12.5,-111.20830327889523,False
7,6,10/14,12.75,-113.23540839684823,False
7,6,10/14,13.0,-114.04320674726516,False
7,6,10/14,13.25,-116.42387202259377,False
7,6,10/14,13.5,-117.64430410471702,False
7,6,10/14,13.75,-117.31695642041025,False
7,6,10/14,14.0,-118.89902071470668,False
7,6,10/14,14.25,-120.0754205175001,False
7,6,10/14,14.5,-120.68862325668063,False
7,6,10/14,14.75,-120.44220045198826,False
7,6,10/14,15.0,-120.27557046519809,False
7,10,6/14,6.0,-114.07899940541421,False
7,10,6/14,6.25,-115.16106742136708,False
7,10,6/14,6.5,-113.1896574390674,False
7,10,6/14,6.75,-114.97142314041777,False
7,10,6/14,7.0,-114.3111965889062,False
7,10,6/14,7.25,-114.9492125482652,False
7,10,6/14,7.5,-114.43599226369052,False
7,10,6/14,7.75,-114.147588178294,False
7,10,6/14,8.0,-113.84959002915586,False
7,10,6/14,8.25,-114.28708949068209,False
7,10,6/14,8.5,-113.7044962821088,False
7,10,6/14,8.75,-112.8896657994406,False
7,10,6/14,9.0,-112.29566032140525,False
7,10,6/14,9.25,-111.85617952264921,False
7,10,6/14,9.5,-110.69645655340868,False
7,10,6/14,9.75,-109.70515512975315,False
7,10,6/14,10.0,-110.55093510190116,False
7,10,6/14,10.25,-112.364401480419,False
7,10,6/14,10.5,-112.20287653792028,False
7,10,6/14,10.75,-111.27326816858832,False
7,10,6/14,11.0,-111.1332781894502,False
7,10,6/14,11.25,-109.68145613271741,False
7,10,6/14,11.5,-109.79240247367655,False
7,10,6/14,11.75,-110.8648123961855,False
7,10,6/14,12.0,-111.5811173226313,False
7,10,6/14,12.25,-110.62377903321159,False
7,10,6/14,12.5,-111.49154830334905,False
7,10,6/14,12.75,-112.43804468297165,False
7,10,6/14,13.0,-114.3098592051219,False
7,10,6/14,13.25,-115.86070327543213,False
7,10,6/14,13.5,-115.74752791924602,False
7,10,6/14,13.75,-117.33149118946538,False
7,10,6/14,14.0,-118.51015931899421,False
7,10,6/14,14.25,-118.70401292961338,False
7,10,6/14,14.5,-120.51475909352288,False
7,10,6/14,14.75,-120.52376788933681,False
7,10,6/14,15.0,-119.88362066045877,False
7,14,6/10,6.0,-114.9968772306326,False
7,14,6/10,6.25,-115.15656491946187,False
7,14,6/10,6.5,-113.62896868440083,False
7,14,6/10,6.75,-114.9588802891386,False
7,14,6/10,7.0,-115.10598935692764,False
7,14,6/10,7.25,-114.44696518596601,False
7,14,6/10,7.5,-114.53593654762697,False
7,14,6/10,7.75,-114.36076789686774,False
7,14,6/10,8.0,-114.2956265601698,False
7,14,6/10,8.25,-114.42237552535133,False
7,14,6/10,8.5,-114.53071184025495,False
7,14,6/10,8.75,-114.62858479988718,False
7,14,6/10,9.0,-113.91288796025881,False
7,14,6/10,9.25,-112.87223475187979,False
7,14,6/10,9.5,-111.26941102210617,False
7,14,6/10,9.75,-110.48440528605893,False
7,14,6/10,10.0,-111.60247294516968,False
7,14,6/10,10.25,-113.02433165103537,False
7,14,6/10,10.5,-113.51462917473778,False
7,14,6/10,10.75,-112.31179867186424,False
7,14,6/10,11.0,-111.7682157642378,False
7,14,6/10,11.25,-111.08251937422378,False
7,14,6/10,11.5,-110.72966046735847,False
7,14,6/10,11.75,-111.6932489459203,False
7,14,6/10,12.0,-111.05261059723394,False
7,14,6/10,12.25,-111.09416900021476,False
7,14,6/10,12.5,-112.81982347273993,False
7,14,6/10,12.75,-113.60104574822199,False
7,14,6/10,13.0,-114.21917069690183,False
7,14,6/10,13.25,-116.66429461991873,False
7,14,6/10,13.5,-117.06029567724248,False
7,14,6/10,13.75,-116.86921447315864,False
7,14,6/10,14.0,-119.03181171851665,False
7,14,6/10,14.25,-120.21842222062006,False
7,14,6/10,14.5,-120.69521892852634,False
7,14,6/10,14.75,-120.28761820274288,False
7,14,6/10,15.0,-119.80718789821545,False
9,6,10/14,6.0,-111.78018678754407,False
9,6,10/14,6.25,-112.36984272990306,False
9,6,10/14,6.5,-111.81402278962712,False
9,6,10/14,6.75,-113.70783761710409,False
9,6,10/14,7.0,-112.88527180698982,False
9,6,10/14,7.25,-112.62416877217171,False
9,6,10/14,7.5,-112.88028883945195,False
9,6,10/14,7.75,-113.77842149670022,False
9,6,10/14,8.0,-113.65217061768864,False
9,6,10/14,8.25,-113.20063500430032,False
9,6,10/14,8.5,-112.7590737012135,False
9,6,10/14,8.75,-114.01343459990662,False
9,6,10/14,9.0,-114.0824554179133,False
9,6,10/14,9.25,-112.61291474042379,False
9,6,10/14,9.5,-113.30072110455953,False
9,6,10/14,9.75,-113.25020380746115,False
9,6,10/14,10.0,-113.78716406408458,False
9,6,10/14,10.25,-114.26972527168725,False
9,6,10/14,10.5,-115.31288551367719,False
9,6,10/14,10.75,-115.11412989383547,False
9,6,10/14,11.0,-115.31700300475912,False
9,6,10/14,11.25,-115.49109142789146,False
9,6,10/14,11.5,-115.23079981055947,False
9,6,10/14,11.75,-117.32295481584448,False
9,6,10/14,12.0,-117.73768593719774,False
9,6,10/14,12.25,-117.37469442490223,False
9,6,10/14,12.5,-116.63842123856506,False
9,6,10/14,12.75,-115.89679753665668,False
9,6,10/14,13.0,-116.00693458849548,False
9,6,10/14,13.25,-116.81368162538087,False
9,6,10/14,13.5,-116.59872994424812,False
9,6,10/14,13.75,-116.73547746880894,False
9,6,10/14,14.0,-117.22636992187329,False
9,6,10/14,14.25,-115.69187704869009,False
9,6,10/14,14.5,-115.95905764839029,False
9,6,10/14,14.75,-116.09306808508977,False
9,6,10/14,15.0,-116.4768101389978,False
9,10,6/14,6.0,-112.42346436098481,False
9,10,6/14,6.25,-113.05983896358573,False
9,10,6/14,6.5,-112.68218335151283,False
9,10,6/14,6.75,-113.4682830618116,False
9,10,6/14,7.0,-112.95396510776207,False
9,10,6/14,7.25,-112.10047297599297,False
9,10,6/14,7.5,-112.2859651719628,False
9,10,6/14,7.75,-113.51509179152411,False
9,10,6/14,8.0,-113.49584644383091,False
9,10,6/14,8.25,-114.11627810453263,False
9,10,6/14,8.5,-114.61587829191485,False
9,10,6/14,8.75,-113.58513839910506,False
9,10,6/14,9.0,-113.9768231301115,False
9,10,6/14,9.25,-112.67220875441637,False
9,10,6/14,9.5,-112.67585164205637,False
9,10,6/14,9.75,-113.96446989385014,False
9,10,6/14,10.0,-114.48421784348575,False
9,10,6/14,10.25,-115.35081524655605,False
9,10,6/14,10.5,-115.70777885457386,False
9,10,6/14,10.75,-114.85290613027031,False
9,10,6/14,11.0,-114.72533044043021,False
9,10,6/14,11.25,-115.09006463411146,False
9,10,6/14,11.5,-115.5111886842159,False
9,10,6/14,11.75,-116.14593781718898,False
9,10,6/14,12.0,-116.1590903598135,False
9,10,6/14,12.25,-116.16716983769355,False
9,10,6/14,12.5,-115.63485480506174,False
9,10,6/14,12.75,-115.83365404887532,False
9,10,6/14,13.0,-115.95657211353759,False
9,10,6/14,13.25,-116.15482534852272,False
9,10,6/14,13.5,-115.40434739848004,False
9,10,6/14,13.75,-115.20236592172134,False
9,10,6/14,14.0,-115.49992087156964,False
9,10,6/14,14.25,-114.91088286676332,False
9,10,6/14,14.5,-114.27105057821076,False
9,10,6/14,14.75,-114.54053453943266,False
9,10,6/14,15.0,-114.58249135722691,False
9,14,6/10,6.0,-112.55696284943666,False
9,14,6/10,6.25,-113.42646564531941,False
9,14,6/10,6.5,-112.98901870174421,False
9,14,6/10,6.75,-113.75686398244143,False
9,14,6/10,7.0,-112.21429950317992,False
9,14,6/10,7.25,-113.18769300056164,False
9,14,6/10,7.5,-112.4181781126313,False
9,14,6/10,7.75,-111.77921188388983,False
9,14,6/10,8.0,-112.95689566884845,False
9,14,6/10,8.25,-113.46033774930048,False
9,14,6/10,8.5,-113.14289259067777,False
9,14,6/10,8.75,-113.58532071892027,False
9,14,6/10,9.0,-112.48931185462507,False
9,14,6/10,9.25,-111.36137699639484,False
9,14,6/10,9.5,-112.29977600547369,False
9,14,6/10,9.75,-113.12362994851634,False
9,14,6/10,10.0,-113.95069312102082,False
9,14,6/10,10.25,-114.9249705987089,False
9,14,6/10,10.5,-115.95911608575179,False
9,14,6/10,10.75,-115.50687620298127,False
9,14,6/10,11.0,-115.0494245375399,False
9,14,6/10,11.25,-116.03416601303593,False
9,14,6/10,11.5,-116.80547158686075,False
9,14,6/10,11.75,-115.93620830900645,False
9,14,6/10,12.0,-116.62479454079704,False
9,14,6/10,12.25,-116.1277053776261,False
9,14,6/10,12.5,-116.08960967204453,False
9,14,6/10,12.75,-115.70468695926955,False
9,14,6/10,13.0,-115.21532096485363,False
9,14,6/10,13.25,-116.2114946247623,False
9,14,6/10,13.5,-116.01425450415958,False
9,14,6/10,13.75,-115.42059107527622,False
9,14,6/10,14.0,-115.4224459533112,False
9,14,6/10,14.25,-114.532238589276,False
9,14,6/10,14.5,-115.34160224085957,False
9,14,6/10,14.75,-115.83925155303884,False
9,14,6/10,15.0,-115.40881788647312,False
11,6,10/14,6.0,-121.62328202458829,False
11,6,10/14,6.25,-121.7706366988402,False
11,6,10/14,6.5,-122.78863369755283,False
11,6,10/14,6.75,-121.7108914519622,False
11,6,10/14,7.0,-122.6118517728618,False
11,6,10/14,7.25,-123.39118889860089,False
11,6,10/14,7.5,-123.55390256460797,False
11,6,10/14,7.75,-122.96771850637019,False
11,6,10/14,8.0,-124.21179993041245,False
11,6,10/14,8.25,-124.58413842289055,False
11,6,10/14,8.5,-123.50227810654948,False
11,6,10/14,8.75,-123.7223551239617,False
11,6,10/14,9.0,-123.92765294014383,False
11,6,10/14,9.25,-123.81301300725498,False
11,6,10/14,9.5,-122.57122298698137,False
11,6,10/14,9.75,-122.56440657892927,False
11,6,10/14,10.0,-122.55623473336371,False
11,6,10/14,10.25,-122.65650569794573,False
11,6,10/14,10.5,-122.62526628833196,False
11,6,10/14,10.75,-121.9780950579723,False
11,6,10/14,11.0,-122.2404940186446,False
11,6,10/14,11.25,-123.57307928558538,False
11,6,10/14,11.5,-124.0412619528923,False
11,6,10/14,11.75,-124.5821456728148,False
11,6,10/14,12.0,-125.95301359567557,False
11,6,10/14,12.25,-125.43140800735674,False
11,6,10/14,12.5,-125.75178056758475,False
11,6,10/14,12.75,-125.78553722207107,False
11,6,10/14,13.0,-126.23885654224316,False
11,6,10/14,13.25,-126.8433716405865,False
11,6,10/14,13.5,-127.4251437634719,False
11,6,10/14,13.75,-126.1738314536342,False
11,6,10/14,14.0,-125.57988413238114,False
11,6,10/14,14.25,-125.9572986284375,False
11,6,10/14,14.5,-126.24274599933003,False
11,6,10/14,14.75,-127.10835542964908,False
11,6,10/14,15.0,-125.27260117907856,False
11,10,6/14,6.0,-121.36043527939192,False
11,10,6/14,6.25,-121.72023644468473,False
11,10,6/14,6.5,-122.75020334188947,False
11,10,6/14,6.75,-121.30373153596405,False
11,10,6/14,7.0,-122.47021402952318,False
11,10,6/14,7.25,-123.46093807910682,False
11,10,6/14,7.5,-123.42193360617951,False
11,10,6/14,7.75,-122.94207582460547,False
11,10,6/14,8.0,-123.88613199851952,False
11,10,6/14,8.25,-124.44893278367228,False
11,10,6/14,8.5,-124.44033648015309,False
11,10,6/14,8.75,-124.77388228791966,False
11,10,6/14,9.0,-125.09096412114108,False
11,10,6/14,9.25,-123.97335237484947,False
11,10,6/14,9.5,-122.38271046352996,False
11,10,6/14,9.75,-121.50700885637289,False
11,10,6/14,10.0,-121.81446497777927,False
11,10,6/14,10.25,-122.45068452120731,False
11,10,6/14,10.5,-122.73816230156362,False
11,10,6/14,10.75,-122.57758726076563,False
11,10,6/14,11.0,-123.43202237267069,False
11,10,6/14,11.25,-122.8843047352493,False
11,10,6/14,11.5,-123.61986985726041,False
11,10,6/14,11.75,-124.78304321125641,False
11,10,6/14,12.0,-124.21744777405452,False
11,10,6/14,12.25,-123.7335735110565,False
11,10,6/14,12.5,-125.47558877330687,False
11,10,6/14,12.75,-125.58790143843434,False
11,10,6/14,13.0,-125.97484275604486,False
11,10,6/14,13.25,-126.0817697390245,False
11,10,6/14,13.5,-127.50524372704221,False
11,10,6/14,13.75,-125.65212814485666,False
11,10,6/14,14.0,-125.11696931824086,False
11,10,6/14,14.25,-127.01491615325368,False
11,10,6/14,14.5,-127.10750229403673,False
11,10,6/14,14.75,-127.3590811701403,False
11,10,6/14,15.0,-125.7671317248704,False
11,14,6/10,6.0,-121.51741881160854,False
11,14,6/10,6.25,-122.25444578322683,False
11,14,6/10,6.5,-122.77733996475725,False
11,14,6/10,6.75,-121.60457977576623,False
11,14,6/10,7.0,-122.18522403662656,False
11,14,6/10,7.25,-122.69978513412153,False
11,14,6/10,7.5,-123.3264251228224,False
11,14,6/10,7.75,-123.44419442970484,False
11,14,6/10,8.0,-124.43765688264347,False
11,14,6/10,8.25,-123.74438801739004,False
11,14,6/10,8.5,-124.08620089884448,False
11,14,6/10,8.75,-123.19774138128705,False
11,14,6/10,9.0,-124.17769742354066,False
11,14,6/10,9.25,-124.39741807787668,False
11,14,6/10,9.5,-123.26797526012525,False
11,14,6/10,9.75,-122.40648519982196,False
11,14,6/10,10.0,-122.7747414237061,False
11,14,6/10,10.25,-122.8213943903906,False
11,14,6/10,10.5,-122.19541658218469,False
11,14,6/10,10.75,-122.32805719817989,False
11,14,6/10,11.0,-123.09727130836569,False
11,14,6/10,11.25,-122.51296713344723,False
11,14,6/10,11.5,-123.34857696213848,False
11,14,6/10,11.75,-124.98966833891077,False
11,14,6/10,12.0,-124.4820431614573,False
11,14,6/10,12.25,-123.7444180929626,False
11,14,6/10,12.5,-125.74218957559123,False
11,14,6/10,12.75,-125.6626871816394,False
11,14,6/10,13.0,-125.49507076825844,False
11,14,6/10,13.25,-126.3512247494568,False
11,14,6/10,13.5,-126.98963445315641,False
11,14,6/10,13.75,-125.91157609122038,False
11,14,6/10,14.0,-125.93193402291485,False
11,14,6/10,14.25,-125.92403495272512,False
11,14,6/10,14.5,-126.24706079710292,False
11,14,6/10,14.75,-127.32632011592375,False
11,14,6/10,15.0,-125.73590446817823,False
13,6,10/14,6.0,-111.84963044913982,False
13,6,10/14,6.25,-112.53349202033563,False
13,6,10/14,6.5,-111.41420244818012,False
13,6,10/14,6.75,-111.25389847498066,False
13,6,10/14,7.0,-109.9051206242836,False
13,6,10/14,7.25,-110.7415510234164,False
13,6,10/14,7.5,-111.38126687206329,False
13,6,10/14,7.75,-111.71396726745144,False
13,6,10/14,8.0,-110.85063479727756,False
13,6,10/14,8.25,-111.52569480801681,False
13,6,10/14,8.5,-109.88367794700828,False
13,6,10/14,8.75,-109.45122690455577,False
13,6,10/14,9.0,-110.31359807712178,False
13,6,10/14,9.25,-112.05062277943411,False
13,6,10/14,9.5,-111.169241200512,False
13,6,10/14,9.75,-111.3398928655889,False
13,6,10/14,10.0,-110.38897359803144,False
13,6,10/14,10.25,-111.95726146077075,False
13,6,10/14,10.5,-112.96795328562514,False
13,6,10/14,10.75,-113.95378836130241,False
13,6,10/14,11.0,-113.99806821531308,False
13,6,10/14,11.25,-113.38457850991375,False
13,6,10/14,11.5,-112.52594842640663,False
13,6,10/14,11.75,-111.65812287823127,False
13,6,10/14,12.0,-112.77292404466678,False
13,6,10/14,12.25,-113.32424461340523,False
13,6,10/14,12.5,-112.74282387018042,False
13,6,10/14,12.75,-113.1637877550836,False
13,6,10/14,13.0,-112.01415970488043,False
13,6,10/14,13.25,-112.84695153217673,False
13,6,10/14,13.5,-112.76876534738844,False
13,6,10/14,13.75,-113.12863808703631,False
13,6,10/14,14.0,-112.94398109485073,False
13,6,10/14,14.25,-112.25663198787913,False
13,6,10/14,14.5,-111.82049176787606,False
13,6,10/14,14.75,-112.59670069656853,False
13,6,10/14,15.0,-112.31525620778856,False
13,10,6/14,6.0,-111.48212348551455,False
13,10,6/14,6.25,-110.7690928680077,False
13,10,6/14,6.5,-110.13571337957752,False
13,10,6/14,6.75,-111.86153307599399,False
13,10,6/14,7.0,-111.83571317062253,False
13,10,6/14,7.25,-111.45008082089906,False
13,10,6/14,7.5,-111.37914157004394,False
13,10,6/14,7.75,-111.50771474632167,False
13,10,6/14,8.0,-112.42837389524288,False
13,10,6/14,8.25,-111.82377596501372,False
13,10,6/14,8.5,-110.58450309456146,False
13,10,6/14,8.75,-111.08636988491962,False
13,10,6/14,9.0,-111.8212291053628,False
