subject,subject_role,runs_available,run_count,task_trials,fists_trials,feet_trials,qc_task_candidates,qc_rest_candidates,channel_candidate_run_records,unique_channel_candidate_count,unique_channel_candidate_names,confirmed_channel_failures,deterministic_invalid_task_epochs,deterministic_invalid_rest_epochs,permanent_artifact_trial_exclusions,processing_status,outcome_used_for_inclusion,rest_pairs,invalid_tail_runs,trailing_zero_samples_total
11,replication_1,6/10/14,3,45,22,23,0,2,19,11,AF7/AF8/CP2/Fp1/Fp2/Fpz/O2/P2/P7/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
12,replication_1,6/10/14,3,45,22,23,2,2,52,21,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/FC5/FT7/Fp1/Fp2/Fpz/Iz/O2/Oz/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
13,replication_1,6/10/14,3,45,22,23,0,0,51,19,AF3/AF4/AF7/AF8/AFz/C5/F1/F3/F4/F5/F6/F7/F8/FC5/FC6/Fp1/Fp2/Fpz/O1,0,0,0,0,processed_frozen_pipeline,False,45,0,0
14,replication_1,6/10/14,3,45,24,21,11,2,55,23,AF3/AF4/AF7/AF8/AFz/C5/F5/F6/F7/F8/FC5/FC6/FT7/Fp1/Fp2/Fpz/PO8/T10/T7/T8/T9/TP7/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
15,replication_1,6/10/14,3,45,22,23,13,3,28,16,AF3/AF4/AF7/AF8/AFz/CP2/CP6/F5/F7/Fp1/Fp2/Fpz/P7/T10/T8/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
16,replication_1,6/10/14,3,45,24,21,0,0,40,19,AF3/AF4/AF7/AF8/AFz/CP5/F2/F3/F4/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/T10/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
17,replication_1,6/10/14,3,45,24,21,0,0,38,17,AF3/AF4/AF7/AF8/AFz/C6/F5/F7/FC5/FC6/FT7/FT8/Fp1/Fp2/Fpz/T10/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
18,replication_1,6/10/14,3,45,22,23,0,3,49,25,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F5/F6/F7/FC6/FT7/Fp1/Fp2/Fpz/T10/T7/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
19,replication_1,6/10/14,3,45,22,23,0,5,39,14,AF3/AF4/AF7/AF8/AFz/F3/F4/F5/F6/F7/F8/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
20,replication_1,6/10/14,3,45,23,22,7,3,28,15,AF3/AF4/AF7/AF8/AFz/CP4/F7/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
21,replication_2,6/10/14,3,45,24,21,0,4,39,15,AF3/AF4/AF7/AF8/AFz/C5/F1/F3/F5/F7/Fp1/Fp2/Fpz/Iz/PO8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
22,replication_2,6/10/14,3,45,21,24,2,5,48,19,AF3/AF4/AF7/AF8/AFz/C5/F2/F3/F4/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/P2/T7,0,0,0,0,processed_frozen_pipeline,False,45,3,240
23,replication_2,6/10/14,3,45,23,22,2,3,33,15,AF3/AF4/AF7/AF8/F5/F7/F8/FC5/FT7/FT8/Fp1/Fp2/Fpz/Iz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
24,replication_2,6/10/14,3,45,22,23,0,0,48,17,AF3/AF4/AF7/AF8/AFz/F2/F4/F5/F6/F8/FC3/FC4/FC5/Fp1/Fp2/Fpz/PO8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
25,replication_2,6/10/14,3,45,24,21,6,0,16,8,AF3/C6/F5/F6/Fp1/Fp2/Fpz/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
26,replication_2,6/10/14,3,45,21,24,2,0,45,22,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F5/F6/F7/F8/Fp1/Fp2/Fpz/O2,0,0,0,0,processed_frozen_pipeline,False,45,0,0
27,replication_2,6/10/14,3,45,22,23,6,2,39,21,AF3/AF4/AF7/AF8/AFz/C4/CP4/F5/F6/F8/FC4/FC5/Fp1/Fp2/Fpz/Iz/O1/O2/P6/P8/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
28,replication_2,6/10/14,3,45,23,22,6,2,40,21,AF3/AF4/AF7/AF8/AFz/CP3/CP5/F7/F8/FC6/Fp1/Fp2/Fpz/Oz/P5/P7/PO7/T7/T8/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
29,replication_2,6/10/14,3,45,22,23,0,0,23,12,AF3/AF4/AF7/AF8/F1/F5/F6/Fp1/Fp2/Fpz/PO4/PO8,0,0,0,0,processed_frozen_pipeline,False,45,3,432
30,replication_2,6/10/14,3,45,24,21,4,4,46,24,AF3/AF4/AF7/AF8/AFz/C3/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F8/FC3/FC6/Fp1/Fp2/Fpz/Iz/O1/O2,0,0,0,0,processed_frozen_pipeline,False,45,3,432
31,replication_2,6/10/14,3,45,23,22,3,0,24,11,AF3/AF4/AF7/AF8/Fp1/Fp2/Fpz/Iz/PO8/T10/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
32,replication_2,6/10/14,3,45,22,23,11,13,46,19,AF3/AF4/AF7/AF8/C6/F6/F8/FC6/FT8/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/T10/T7/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
33,replication_2,6/10/14,3,45,22,23,10,2,45,18,AF3/AF4/AF7/AF8/AFz/C6/F5/F6/F7/F8/FC6/FT8/Fp1/Fp2/Fpz/PO8/T7/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
34,replication_2,6/10/14,3,42,21,21,4,3,46,21,AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F7/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/T10/T8,0,3,0,0,processed_frozen_pipeline,False,42,0,0
35,replication_2,6/10/14,3,45,24,21,2,4,48,17,AF4/AF7/AF8/FC1/FC2/FC3/FC5/FCz/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/PO4/PO8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
36,replication_2,6/10/14,3,45,22,23,4,4,30,14,AF3/AF4/AF7/AF8/AFz/C5/F5/F7/Fp1/Fp2/Fpz/T7/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
37,replication_2,6/10/14,3,42,21,21,11,3,52,23,AF4/AF7/AF8/C4/C5/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F8/FC6/FT8/Fp1/Fp2/Fpz/P7/PO7/T7/TP7,0,3,0,0,processed_frozen_pipeline,False,42,0,0
38,replication_2,6/10/14,3,45,23,22,6,6,28,20,AF3/AF4/AF7/AF8/C4/CP2/CP4/CP6/CPz/F8/FT8/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/P7/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
39,replication_2,6/10/14,3,45,23,22,1,0,31,16,AF3/AF4/AF7/AF8/CP5/F3/F4/F5/F6/F7/F8/FC5/FT7/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
40,replication_2,6/10/14,3,45,22,23,11,15,25,14,AF3/AF7/AF8/C4/CPz/Cz/F7/FC5/Fp1/Fp2/Fpz/P1/PO7/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
41,replication_2,6/10/14,3,42,21,21,0,2,50,21,AF3/AF4/AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F7/F8/FC5/Fp1/Fp2/Fpz/T10/T7,0,3,0,0,processed_frozen_pipeline,False,42,2,288
42,replication_2,6/10/14,3,45,24,21,5,2,54,22,AF3/AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F5/F7/F8/FC6/Fp1/Fp2/Fpz/Iz/T10/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
43,replication_2,6/10/14,3,45,23,22,3,2,27,14,AF3/AF4/AF7/AF8/AFz/F4/F5/F6/F8/Fp1/Fp2/Fpz/Iz/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
44,replication_2,6/10/14,3,45,23,22,1,1,48,23,AF3/AF4/AF7/AF8/AFz/C6/F1/F2/F3/F4/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/Fz/P7/T10/T7/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
45,replication_2,6/10/14,3,45,24,21,10,0,33,17,AF3/AF4/AF7/AF8/AFz/C5/C6/CP6/F5/Fp1/Fp2/Fpz/P4/P6/P8/T10/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
46,replication_2,6/10/14,3,45,22,23,29,0,38,18,AF3/AF4/AF7/AF8/AFz/F1/F3/F5/F6/F7/F8/Fp1/Fp2/Fpz/Fz/T10/T7/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
47,replication_2,6/10/14,3,45,23,22,14,1,35,17,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP5/CPz/F7/Fp1/Fp2/Fpz/PO4,0,0,0,0,processed_frozen_pipeline,False,45,0,0
48,replication_2,6/10/14,3,45,24,21,2,0,34,15,AF3/AF4/AF7/AF8/AFz/F2/F3/F5/F6/F7/FT8/Fp1/Fp2/Fpz/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
49,replication_2,6/10/14,3,45,21,24,6,5,26,14,AF3/AF7/AF8/F5/F6/F8/FC5/FC6/FT7/FT8/Fp1/Fp2/Fpz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
50,replication_2,6/10/14,3,45,24,21,4,1,39,15,AF3/AF7/AF8/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/Iz/T10/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
51,replication_2,6/10/14,3,42,21,21,15,4,43,24,AF3/AF4/AF7/AF8/AFz/C1/C3/C4/C5/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/FC1/FC3/FC5/Fp1/Fp2/Fpz/T9,0,3,0,0,processed_frozen_pipeline,False,42,3,432
52,replication_2,6/10/14,3,45,22,23,7,3,20,13,AF7/AF8/F3/F4/F5/F6/F7/FC6/FT8/Fp1/Fp2/Fpz/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
53,replication_2,6/10/14,3,45,23,22,5,3,41,19,AF3/AF4/AF7/AF8/AFz/C6/CPz/F5/F6/F7/F8/FC3/FC5/FT8/Fp1/Fp2/Fpz/Iz/Pz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
54,replication_2,6/10/14,3,45,23,22,6,1,31,14,AF3/AF4/AF7/AF8/AFz/F3/F5/F6/F7/F8/Fp1/Fp2/Fpz/Iz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
55,replication_2,6/10/14,3,45,23,22,0,2,49,23,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP4/CP5/CP6/CPz/F5/F6/F7/F8/FT8/Fp1/Fp2/Fpz/Iz/O2,0,0,0,0,processed_frozen_pipeline,False,45,0,0
56,replication_2,6/10/14,3,45,23,22,4,2,36,17,AF3/AF4/AF7/AF8/AFz/F6/F8/FC6/Fp1/Fp2/Fpz/O2/Pz/T10/T7/T8/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
57,replication_2,6/10/14,3,45,22,23,1,1,37,18,AF3/AF4/AF7/AF8/C6/F4/F5/F6/F8/FC5/FC6/FCz/FT7/FT8/Fp1/Fp2/Fpz/Iz,0,0,0,0,processed_frozen_pipeline,False,45,3,240
58,replication_2,6/10/14,3,45,23,22,1,1,42,15,AF3/AF4/AF7/AF8/F2/F4/F5/F6/F8/FC4/FT8/Fp1/Fp2/Fpz/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
59,replication_2,6/10/14,3,45,22,23,8,15,33,18,AF3/AF4/AF7/AF8/F3/F5/F7/F8/FC1/FC3/FC5/FT7/FT8/Fp1/Fp2/Fpz/Oz/P1,0,0,0,0,processed_frozen_pipeline,False,45,0,0
60,replication_2,6/10/14,3,45,21,24,1,2,37,13,AF3/AF4/AF7/AF8/F5/F6/F7/F8/FT7/Fp1/Fp2/Fpz/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
61,replication_2,6/10/14,3,45,24,21,0,1,63,25,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/FC2/FC4/FC6/FT8/Fp1/Fp2/Fpz/Fz/O1/O2/Oz/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
62,replication_2,6/10/14,3,45,23,22,8,1,42,20,AF3/AF4/AF7/AF8/AFz/C6/F5/F6/F7/F8/FC5/FT7/FT8/Fp1/Fp2/Fpz/Iz/P4/PO4/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
63,replication_2,6/10/14,3,45,22,23,3,3,40,20,AF3/AF4/AF7/AF8/C3/C5/C6/F5/F7/F8/FC5/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/PO8/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
64,replication_2,6/10/14,3,42,21,21,2,1,45,21,AF3/AF4/AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F2/F6/F7/F8/FT7/Fp1/Fp2/Fpz,0,3,0,0,processed_frozen_pipeline,False,42,1,144
65,replication_2,6/10/14,3,45,22,23,14,4,26,14,AF3/AF4/AF7/AF8/AFz/C1/F5/F6/F7/FT8/Fp1/Fp2/Fpz/T7,0,0,0,0,processed_frozen_pipeline,False,45,3,240
66,replication_2,6/10/14,3,45,22,23,0,1,50,21,AF3/AF4/AF7/AF8/F2/F4/F6/F7/F8/Fp1/Fp2/Fpz/Iz/O1/O2/Oz/PO4/PO7/PO8/POz/T10,0,0,0,0,processed_frozen_pipeline,False,45,3,240
67,replication_2,6/10/14,3,45,23,22,3,4,37,18,AF3/AF4/AF7/AF8/AFz/C5/F5/F6/F7/F8/FC3/FC5/FC6/FT7/FT8/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
68,replication_2,6/10/14,3,45,22,23,10,2,27,14,AF3/AF7/AF8/CP1/F8/FT8/Fp1/Fp2/Fpz/P7/PO3/T9/TP7/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
69,replication_2,6/10/14,3,45,22,23,5,0,50,21,AF3/AF4/AF7/AF8/AFz/C4/F4/F5/F6/F7/FC4/FC6/Fp1/Fp2/Fpz/Iz/O2/Oz/PO8/T7/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
70,replication_2,6/10/14,3,45,23,22,16,4,24,14,AF3/AF4/AF7/AF8/F7/FT7/Fp1/Fp2/Fpz/Iz/P2/POz/T10/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
71,replication_2,6/10/14,3,45,23,22,2,1,21,9,AF3/AF4/AF7/AF8/CPz/F6/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,3,240
72,replication_2,6/10/14,3,42,21,21,22,4,59,27,AF3/AF4/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F3/F5/F7/Fp1/Fp2/Fpz/Iz/P5/P7/P8/PO7/T10/TP7,0,3,0,0,processed_frozen_pipeline,False,42,0,0
73,replication_2,6/10/14,3,42,21,21,6,1,50,23,AF3/AF7/AF8/AFz/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F8/FC4/FC6/FT8/Fp1/Fp2/Fpz/Iz/T10/T9,0,3,0,0,processed_frozen_pipeline,False,42,0,0
74,replication_2,6/10/14,3,42,21,21,12,7,33,20,AF7/C4/C5/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F5/F7/FC5/Fp1/Fp2/Fpz/P4/T9/TP7,0,3,0,0,processed_frozen_pipeline,False,42,0,0
75,replication_2,6/10/14,3,45,21,24,8,5,38,17,AF3/AF4/AF7/AF8/AFz/F5/F6/F7/F8/Fp1/Fp2/Fpz/Iz/P8/T10/T8/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
76,replication_2,6/10/14,3,42,21,21,0,1,53,21,AF3/AF4/AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F7/F8/FC5/FC6/FT8/Fp1/Fp2/Fpz,0,3,0,0,processed_frozen_pipeline,False,42,0,0
77,replication_2,6/10/14,3,45,22,23,1,1,43,20,AF3/AF4/AF7/AF8/AFz/C6/CP3/F4/F5/F6/F7/F8/FC5/FC6/FT7/Fp1/Fp2/Fpz/O2/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
78,replication_2,6/10/14,3,45,22,23,2,3,48,25,AF3/AF4/AF7/AF8/C3/C4/C5/F3/F5/F6/F7/F8/FC3/FC5/FT7/Fp1/Fp2/Fpz/Iz/O1/Oz/PO8/T10/T7/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
79,replication_2,6/10/14,3,45,21,24,16,19,30,16,AF3/AF4/AF7/AF8/F5/F6/F7/F8/FC3/FC5/FC6/FT7/Fp1/Fp2/Fpz/P1,0,0,0,0,processed_frozen_pipeline,False,45,3,240
80,replication_2,6/10/14,3,45,24,21,6,1,40,21,AF3/AF4/AF7/AF8/C3/C5/C6/CP4/CPz/F5/F7/F8/FC3/FC5/FT7/FT8/Fp1/Fp2/Fpz/T10/T7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
81,replication_2,6/10/14,3,45,22,23,2,1,33,14,AF3/AF4/AF7/AF8/AFz/F5/F7/F8/FT7/Fp1/Fp2/Fpz/O1/P5,0,0,0,0,processed_frozen_pipeline,False,45,0,0
82,replication_2,6/10/14,3,45,24,21,3,3,31,18,AF3/AF7/AF8/AFz/C5/C6/F5/F6/F8/FC5/FC6/Fp1/Fp2/Fpz/P6/PO3/PO7/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
83,replication_2,6/10/14,3,45,22,23,4,2,30,12,AF3/AF4/AF7/AF8/AFz/C6/F5/Fp1/Fp2/Fpz/T10/TP8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
84,replication_2,6/10/14,3,45,22,23,4,5,17,14,AF7/AF8/C1/C5/Fp1/Fp2/Fpz/O1/P5/PO3/PO4/PO7/Pz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
85,replication_2,6/10/14,3,45,23,22,3,3,46,19,AF3/AF4/AF7/AF8/AFz/F5/F7/FC2/FC5/Fp1/Fp2/Fpz/O1/P4/PO8/T7/T8/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
86,replication_2,6/10/14,3,45,21,24,9,0,47,19,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/Fp1/Fp2/Fpz/Fz/T10/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
87,replication_2,6/10/14,3,45,23,22,7,4,22,12,AF4/AF7/AF8/F4/F6/F7/FC6/Fp1/Fp2/Fpz/T10/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
89,replication_2,6/10/14,3,45,24,21,5,2,37,18,AF3/AF4/AF7/AF8/AFz/C4/C6/CP5/F6/F7/F8/Fp1/Fp2/Fpz/O1/PO7/T10/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
90,replication_2,6/10/14,3,45,22,23,1,4,31,14,AF3/AF4/AF7/AF8/AFz/CP4/CP5/F5/FT7/Fp1/Fp2/Fpz/T7/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
91,replication_2,6/10/14,3,45,22,23,2,3,40,19,AF3/AF4/AF7/AF8/AFz/C5/C6/CPz/F5/F7/F8/FC4/FC5/FC6/Fp1/Fp2/Fpz/Iz/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
93,replication_2,6/10/14,3,45,23,22,13,11,21,14,AF3/AF4/AF7/AF8/C5/F5/F6/F8/FC3/FC5/FC6/Fp1/Fp2/Fpz,0,0,0,0,processed_frozen_pipeline,False,45,0,0
94,replication_2,6/10/14,3,45,22,23,2,5,52,23,AF3/AF4/AF7/AF8/AFz/C5/CP5/F1/F6/F7/F8/FC1/FC5/Fp1/Fp2/Fpz/P5/P7/PO7/T7/T8/T9/TP7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
95,replication_2,6/10/14,3,45,22,23,18,10,26,20,AF3/AF4/AF7/C2/C5/Cz/F4/F5/F6/FC4/FC6/Fp1/Fp2/Iz/O1/O2/Oz/P7/T10/T8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
96,replication_2,6/10/14,3,45,21,24,10,8,55,20,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/FC3/Fp1/Fp2/Fpz/Fz/T10/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
97,replication_2,6/10/14,3,45,23,22,1,4,36,15,AF3/AF4/AF7/AF8/AFz/F2/F5/F7/FC1/Fp1/Fp2/Fpz/Iz/O1/PO7,0,0,0,0,processed_frozen_pipeline,False,45,0,0
98,replication_2,6/10/14,3,45,21,24,1,0,51,21,AF7/AF8/C4/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/FC2/FT7/Fp1/Fp2/Fpz/T10/T7/T8/T9/TP8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
99,replication_2,6/10/14,3,45,21,24,1,1,26,11,AF4/AF7/AF8/F7/F8/Fp1/Fp2/Fpz/PO7/T10/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
101,replication_2,6/10/14,3,45,24,21,5,20,29,12,AF3/AF4/AF7/AF8/AFz/F5/F6/FT8/Fp1/Fp2/Fpz/T7,0,0,0,0,processed_frozen_pipeline,False,45,3,240
102,replication_2,6/10/14,3,42,21,21,7,2,48,23,AF3/AF4/AF7/AF8/C4/C5/C6/CP1/CP2/CP3/CP4/CP5/CP6/CPz/F1/FC5/FC6/FT8/Fp1/Fp2/Fpz/T10/T7,0,3,0,0,processed_frozen_pipeline,False,42,1,144
103,replication_2,6/10/14,3,45,22,23,15,8,26,19,AF4/AF7/AF8/C3/C5/CP1/CP3/CP5/FC3/Fp1/Fp2/Fpz/Iz/O1/P2/T10/T8/T9/TP8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
104,replication_2,6/10/14,3,45,22,23,2,3,24,12,AF7/AF8/C3/C6/F5/F7/F8/FC6/Fp1/Fp2/Fpz/O2,0,0,0,0,processed_frozen_pipeline,False,45,0,0
105,replication_2,6/10/14,3,45,24,21,1,5,30,15,AF4/AF7/AF8/AFz/C5/F3/F5/F7/FC1/FC5/FT8/Fp1/Fp2/Fpz/T10,0,0,0,0,processed_frozen_pipeline,False,45,0,0
106,replication_2,6/10/14,3,45,23,22,8,3,26,11,AF3/AF4/AF7/AF8/AFz/F5/Fp1/Fp2/Fpz/T7/T8,0,0,0,0,processed_frozen_pipeline,False,45,3,240
107,replication_2,6/10/14,3,45,22,23,5,2,42,22,AF3/AF4/AF7/AF8/CP4/CP6/F4/F6/F7/F8/FC6/FT8/Fp1/Fp2/Fpz/Iz/O1/Oz/P7/PO3/PO7/T9,0,0,0,0,processed_frozen_pipeline,False,45,3,240
108,replication_2,6/10/14,3,45,22,23,11,5,52,21,AF3/AF4/AF7/AF8/AFz/F1/F2/F3/F4/F5/F6/F7/F8/FT7/FT8/Fp1/Fp2/Fpz/Fz/Iz/T8,0,0,0,0,processed_frozen_pipeline,False,45,0,0
109,replication_2,6/10/14,3,45,23,22,4,4,36,19,AF3/AF7/AF8/C1/C4/F2/F5/F6/FC1/FC4/FC5/Fp1/Fp2/Fpz/Iz/P2/P6/P7/T9,0,0,0,0,processed_frozen_pipeline,False,45,0,0
