annotation,band_lower_hz,band_upper_hz,change_db,change_percent,channel,confirmed_exclusion,frequency_band,frequency_center_count,low_reference_power_candidate,primary_retained,quality_evidence,quality_status,reference_log_power_robust_z,reference_mean_wavelet_power_v2,rest_annotation_index,rest_epoch_array_index,rest_event_sample,rest_event_time_seconds,rest_interval_start_seconds,rest_interval_stop_seconds,run,run_trial_index,semantic_condition,source_file,source_sha256,subject,subject_role,task_annotation_index,task_epoch_array_index,task_event_sample,task_event_time_seconds,task_interval_start_seconds,task_interval_stop_seconds,task_log_power_robust_z,task_mean_wavelet_power_v2
T1,8.0,13.0,-0.8357814829257081,-17.506096995858535,Cz,False,mu,6,False,True,,not flagged,0.408858233026486,2.2715940155723545e-10,12,6,7968,49.8,1.1,3.1,6,6,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,13,6,8640,54.0,1.0,3.0,-0.03983247035077454,1.8739265638541402e-10
T1,8.0,13.0,-7.147648058458636,-80.71430944211207,C4,False,mu,6,False,True,,not flagged,2.696955325131747,8.75797139377766e-10,12,6,7968,49.8,1.1,3.1,6,6,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,13,6,8640,54.0,1.0,3.0,-0.7826290644501918,1.6890352621523042e-10
T2,8.0,13.0,-6.683706781976317,-78.54001955920695,C3,False,mu,6,False,True,,not flagged,2.8352640972912333,9.202735458432342e-10,14,7,9296,58.1,1.1,3.1,6,7,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,15,7,9968,62.3,1.0,3.0,-0.0014626242252718802,1.9749052293975063e-10
T2,8.0,13.0,-2.017672389791158,-37.16049417981062,Cz,False,mu,6,False,True,,not flagged,1.5073323576112085,3.565649300712055e-10,14,7,9296,58.1,1.1,3.1,6,7,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,15,7,9968,62.3,1.0,3.0,0.4500712535160159,2.240636399848494e-10
T2,8.0,13.0,-2.2148254985432816,-39.94938629732084,C4,False,mu,6,False,True,,not flagged,1.974794212550028,6.302861780287897e-10,14,7,9296,58.1,1.1,3.1,6,7,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,15,7,9968,62.3,1.0,3.0,0.808368045712465,3.784907179894491e-10
T2,8.0,13.0,-3.0650929758395558,-50.626865190027424,C3,False,mu,6,False,True,,not flagged,0.8529243948785532,3.048105481453993e-10,16,8,10624,66.4,1.1,3.1,6,8,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,17,8,11296,70.6,1.0,3.0,-0.5272327216903966,1.5049452285084436e-10
T2,8.0,13.0,-2.2190789289789956,-40.008170389961485,Cz,False,mu,6,False,True,,not flagged,0.2159523284950879,2.0986710821551486e-10,16,8,10624,66.4,1.1,3.1,6,8,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,17,8,11296,70.6,1.0,3.0,-1.1299579386879333,1.259031179681668e-10
T2,8.0,13.0,-1.5003704753287483,-29.21146044238469,C4,False,mu,6,False,True,,not flagged,-0.3006462909571258,2.2355556158697684e-10,16,8,10624,66.4,1.1,3.1,6,8,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,17,8,11296,70.6,1.0,3.0,-0.9110755275877832,1.5825171714724616e-10
T1,8.0,13.0,-3.1727724464385347,-51.835976973029,C3,False,mu,6,False,True,,not flagged,0.6131930640646096,2.6668314692418894e-10,18,9,11952,74.7,1.1,3.1,6,9,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,19,9,12624,78.9,1.0,3.0,-0.8337275684446346,1.2844533229361727e-10
T1,8.0,13.0,-0.23284384725786744,-5.220237681449612,Cz,False,mu,6,False,True,,not flagged,0.0,1.9206574404857167e-10,18,9,11952,74.7,1.1,3.1,6,9,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,19,9,12624,78.9,1.0,3.0,-0.11927760324336698,1.8203945570459157e-10
T1,8.0,13.0,-0.05776246284305775,-1.3212240448610137,C4,False,mu,6,False,True,,not flagged,-0.06691281814735768,2.4867101542734886e-10,18,9,11952,74.7,1.1,3.1,6,9,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,19,9,12624,78.9,1.0,3.0,-0.0461456085903636,2.453855141789227e-10
T2,8.0,13.0,1.9860011055936742,57.979272865987895,C3,False,mu,6,False,True,,not flagged,-0.3608548590076787,1.5495193115009694e-10,20,10,13280,83.0,1.1,3.1,6,10,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,21,10,13952,87.2,1.0,3.0,0.41394318322139834,2.4479193412272934e-10
T2,8.0,13.0,0.9278216169003735,23.817537281868205,Cz,False,mu,6,False,True,,not flagged,-0.0852913235370195,1.854583340940078e-10,20,10,13280,83.0,1.1,3.1,6,10,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,21,10,13952,87.2,1.0,3.0,0.5173354463198672,2.296299419591798e-10
T2,8.0,13.0,2.1805663861368356,65.21772532518469,C4,False,mu,6,False,True,,not flagged,-0.8982733640027614,1.7027716591969988e-10,20,10,13280,83.0,1.1,3.1,6,10,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,21,10,13952,87.2,1.0,3.0,0.2233855214674605,2.813280602807187e-10
T1,8.0,13.0,-0.39433097555097446,-8.67978980618094,C3,False,mu,6,False,True,,not flagged,-0.4382360060913842,1.4841044972881511e-10,22,11,14608,91.3,1.1,3.1,6,11,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,23,11,15280,95.5,1.0,3.0,-0.7298745753787585,1.3552873464194613e-10
T1,8.0,13.0,-0.24750991311438017,-5.539767827465137,Cz,False,mu,6,False,True,,not flagged,-1.24971038559956,1.1499619356145693e-10,22,11,14608,91.3,1.1,3.1,6,11,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,23,11,15280,95.5,1.0,3.0,-1.534560768859783,1.086256714277298e-10
T1,8.0,13.0,-3.855046269407387,-58.83810380780502,C4,False,mu,6,False,True,,not flagged,0.20416036924976144,2.8135316432535935e-10,22,11,14608,91.3,1.1,3.1,6,11,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,23,11,15280,95.5,1.0,3.0,-1.5267462879601412,1.1581029743306017e-10
T2,8.0,13.0,-1.9484501355353334,-36.15086964021114,C3,False,mu,6,False,True,,not flagged,1.506020705436826,4.386642635892646e-10,24,12,15936,99.6,1.1,3.1,6,12,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,25,12,16608,103.8,1.0,3.0,0.6745,2.8008331750091737e-10
T2,8.0,13.0,0.6740507719892674,16.789843693972056,Cz,False,mu,6,False,True,,not flagged,1.1300517181500123,3.0541240288868636e-10,24,12,15936,99.6,1.1,3.1,6,12,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,25,12,16608,103.8,1.0,3.0,1.7245242429686944,3.56690667955701e-10
T2,8.0,13.0,-1.2318126908359113,-24.695881184109915,C4,False,mu,6,False,True,,not flagged,2.304135201355591,7.323043055025493e-10,24,12,15936,99.6,1.1,3.1,6,12,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,25,12,16608,103.8,1.0,3.0,1.550503633789991,5.514553043095185e-10
T1,8.0,13.0,2.623923849722927,82.97526506750333,C3,False,mu,6,False,True,,not flagged,-0.18096349374088203,1.7129523811885678e-10,26,13,17264,107.9,1.1,3.1,6,13,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,27,13,17936,112.1,1.0,3.0,0.8921146914672095,3.134279159959892e-10
T1,8.0,13.0,2.8428183455297273,92.43401205459193,Cz,False,mu,6,False,True,,not flagged,-0.4813274067978355,1.5763445764216643e-10,26,13,17264,107.9,1.1,3.1,6,13,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,27,13,17936,112.1,1.0,3.0,1.280443584359221,3.0334231122131714e-10
T1,8.0,13.0,1.077880363838299,28.170487563050678,C4,False,mu,6,False,True,,not flagged,1.9736331932789875,6.299529265722383e-10,26,13,17264,107.9,1.1,3.1,6,13,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,27,13,17936,112.1,1.0,3.0,2.3023133850068276,8.074137374053444e-10
T1,8.0,13.0,0.5582610008870028,13.717184904150523,C3,False,mu,6,False,True,,not flagged,0.042572070505435634,1.9402559414301082e-10,28,14,18592,116.2,1.1,3.1,6,14,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,29,14,19264,120.4,1.0,3.0,0.21298222278093526,2.2064044365298426e-10
T1,8.0,13.0,-1.3628724810801476,-26.934434167632926,Cz,False,mu,6,False,True,,not flagged,0.7472668339043136,2.6100784306542155e-10,28,14,18592,116.2,1.1,3.1,6,14,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,29,14,19264,120.4,1.0,3.0,0.008222893019827364,1.9070685740260692e-10
T1,8.0,13.0,-1.9748820493473176,-36.53828635961848,C4,False,mu,6,False,True,,not flagged,0.6629410704017026,3.467470501425766e-10,28,14,18592,116.2,1.1,3.1,6,14,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R06.edf,6b27c8a6782a213bc37bd0ef13c156699a8087107b6bb8893f24c526cba684c2,21,replication_2,29,14,19264,120.4,1.0,3.0,-0.26101249559452017,2.2005162001795205e-10
T2,8.0,13.0,3.050004401102136,101.83684090773434,C3,False,mu,6,False,True,,not flagged,-1.173767472756151,9.849319498745479e-11,0,15,0,0.0,1.1,3.1,10,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,1,15,672,4.2,1.0,3.0,0.01127966510777449,1.987955532717737e-10
T2,8.0,13.0,3.128486683893172,105.51743376644308,Cz,False,mu,6,False,True,,not flagged,-2.598825666538159,6.609942043921945e-11,0,15,0,0.0,1.1,3.1,10,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,1,15,672,4.2,1.0,3.0,-0.9216110327212625,1.3584583262117557e-10
T2,8.0,13.0,1.1806158844203036,31.238599873135943,C4,False,mu,6,False,True,,not flagged,-1.3924526315191317,1.3595416407762752e-10,0,15,0,0.0,1.1,3.1,10,0,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,1,15,672,4.2,1.0,3.0,-0.6745,1.784243414047043e-10
T1,8.0,13.0,-0.11173871032569102,-2.540062403413386,C3,False,mu,6,False,True,,not flagged,-0.08991130396900864,1.8021349236557045e-10,2,16,1328,8.3,1.1,3.1,10,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,3,16,2000,12.5,1.0,3.0,-0.2283537877685966,1.7563595720011434e-10
T1,8.0,13.0,-1.3433042893344114,-26.60447673719736,Cz,False,mu,6,False,True,,not flagged,-0.3240903746489852,1.6814321953676598e-10,2,16,1328,8.3,1.1,3.1,10,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,3,16,2000,12.5,1.0,3.0,-1.1847908496937434,1.234095958099324e-10
T1,8.0,13.0,2.6275576828920055,83.12842838437783,C4,False,mu,6,False,True,,not flagged,-0.10391298522762774,2.4451493648084477e-10,2,16,1328,8.3,1.1,3.1,10,1,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,3,16,2000,12.5,1.0,3.0,1.1398370708738945,4.4777636034243075e-10
T1,8.0,13.0,1.1510622480930102,30.34855611652366,C3,False,mu,6,False,True,,not flagged,-0.6868922512455562,1.2920208064387518e-10,4,17,2656,16.6,1.1,3.1,10,2,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,5,17,3328,20.8,1.0,3.0,-0.3095975171967691,1.684130465917978e-10
T1,8.0,13.0,-0.9144076858743723,-18.98615748270592,Cz,False,mu,6,False,True,,not flagged,0.4883712668357529,2.3469523306073973e-10,4,17,2656,16.6,1.1,3.1,10,2,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,5,17,3328,20.8,1.0,3.0,0.0,1.90135626507424e-10
T1,8.0,13.0,-0.581494217812143,-12.53172167285028,C4,False,mu,6,False,True,,not flagged,-0.20145240517649587,2.338886183266506e-10,4,17,2656,16.6,1.1,3.1,10,2,both_fists_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,5,17,3328,20.8,1.0,3.0,-0.40478074771283684,2.0457834765347965e-10
T2,8.0,13.0,-0.44950758889938147,-9.832663479890197,C3,False,mu,6,False,True,,not flagged,-0.5057550016078459,1.4292868874731434e-10,6,18,3984,24.9,1.1,3.1,10,3,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,7,18,4656,29.1,1.0,3.0,-0.8272667906432751,1.2887499176657124e-10
T2,8.0,13.0,-1.2412175754231751,-24.858779926202434,Cz,False,mu,6,False,True,,not flagged,-0.9467544370156883,1.3022270541690386e-10,6,18,3984,24.9,1.1,3.1,10,3,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,7,18,4656,29.1,1.0,3.0,-1.8209051897116535,9.785092966336883e-11
T2,8.0,13.0,-0.07142990048694021,-1.6312823372664007,C4,False,mu,6,False,True,,not flagged,-1.9938913544125476,1.033735394654029e-10,6,18,3984,24.9,1.1,3.1,10,3,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,7,18,4656,29.1,1.0,3.0,-1.7831861364118191,1.0168722517469668e-10
T2,8.0,13.0,-0.43704140517592555,-9.573471289878619,C3,False,mu,6,False,True,,not flagged,-0.1446268540252423,1.748001106601668e-10,8,19,5312,33.2,1.1,3.1,10,4,both_feet_imagery,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S021/S021R10.edf,6e5ea8c53bba188385f86ae619dfe3282679deba4e651ca46ee1c91c06b2c9b1,21,replication_2,9,19,5984,37.4,1.0,3.0,-0.43227217720704286,1.5806567225143968e-10
