csp_fit_subjects,feature_names,lda_fit_subjects,model,scaler_fit_subjects,target_CSP_adaptation_used,target_centering_used,target_covariance_alignment_used,target_scaling_fit_used,target_subject,target_subject_absent_from_training,target_transductive_normalization_used,target_unlabeled_adaptation_used,training_subject_count,training_subjects,training_trial_count,training_trial_counts_by_subject
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,26,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,26,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,27,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,27,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,28,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,28,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,29,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,29,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,30,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,30,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,31,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,31,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,32,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,32,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,33,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,33,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,34,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,34,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,35,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,35,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,36,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,36,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,37,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,37,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,38,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,38,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,39,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,CSP1_log_average_power/CSP2_log_average_power/CSP3_log_average_power/CSP4_log_average_power,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,csp_4_empirical,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,39,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
not_applicable,C3_mu_mean_log_psd_db/C3_beta_mean_log_psd_db/Cz_mu_mean_log_psd_db/Cz_beta_mean_log_psd_db/C4_mu_mean_log_psd_db/C4_beta_mean_log_psd_db,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,spectral_baseline_6,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,False,False,False,False,40,True,False,False,20,1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20,900,S001:45/S002:45/S003:45/S004:45/S005:45/S006:45/S007:45/S008:45/S009:45/S010:45/S011:45/S012:45/S013:45/S014:45/S015:45/S016:45/S017:45/S018:45/S019:45/S020:45
