subject,run,annotation_index,description,semantic_condition,onset_seconds,duration_seconds,end_seconds,event_code,event_sample,manual_event_sample,previous_annotation,next_annotation,gap_to_next_seconds,overlaps_next,inside_valid_duration,source_file,source_sha256
1,6,11,T2,both_feet_imagery,45.7,4.1,49.800000000000004,3,7312,7312,T0,T0,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,12,T0,rest,49.8,4.2,54.0,1,7968,7968,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,13,T2,both_feet_imagery,54.0,4.1,58.1,3,8640,8640,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,14,T0,rest,58.1,4.2,62.300000000000004,1,9296,9296,T2,T1,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,15,T1,both_fists_imagery,62.3,4.1,66.39999999999999,2,9968,9968,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,16,T0,rest,66.4,4.2,70.60000000000001,1,10624,10624,T1,T1,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,17,T1,both_fists_imagery,70.6,4.1,74.69999999999999,2,11296,11296,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,18,T0,rest,74.7,4.2,78.9,1,11952,11952,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,19,T2,both_feet_imagery,78.9,4.1,83.0,3,12624,12624,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,20,T0,rest,83.0,4.2,87.2,1,13280,13280,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,21,T2,both_feet_imagery,87.2,4.1,91.3,3,13952,13952,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,22,T0,rest,91.3,4.2,95.5,1,14608,14608,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,23,T1,both_fists_imagery,95.5,4.1,99.6,2,15280,15280,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,24,T0,rest,99.6,4.2,103.8,1,15936,15936,T1,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,25,T1,both_fists_imagery,103.8,4.1,107.89999999999999,2,16608,16608,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,26,T0,rest,107.9,4.2,112.10000000000001,1,17264,17264,T1,T2,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,27,T2,both_feet_imagery,112.1,4.1,116.19999999999999,3,17936,17936,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,28,T0,rest,116.2,4.2,120.4,1,18592,18592,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,29,T2,both_feet_imagery,120.4,4.1,124.5,3,19264,19264,T0,,,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,10,0,T0,rest,0.0,4.2,4.2,1,0,0,,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,1,T1,both_fists_imagery,4.2,4.1,8.3,2,672,672,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,2,T0,rest,8.3,4.2,12.5,1,1328,1328,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,3,T2,both_feet_imagery,12.5,4.1,16.6,3,2000,2000,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,4,T0,rest,16.6,4.2,20.8,1,2656,2656,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,5,T2,both_feet_imagery,20.8,4.1,24.9,3,3328,3328,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,6,T0,rest,24.9,4.2,29.099999999999998,1,3984,3984,T2,T1,3.552713678800501e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,7,T1,both_fists_imagery,29.1,4.1,33.2,2,4656,4656,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,8,T0,rest,33.2,4.2,37.400000000000006,1,5312,5312,T1,T2,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,9,T2,both_feet_imagery,37.4,4.1,41.5,3,5984,5984,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,10,T0,rest,41.5,4.2,45.7,1,6640,6640,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,11,T1,both_fists_imagery,45.7,4.1,49.800000000000004,2,7312,7312,T0,T0,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,12,T0,rest,49.8,4.2,54.0,1,7968,7968,T1,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,13,T1,both_fists_imagery,54.0,4.1,58.1,2,8640,8640,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,14,T0,rest,58.1,4.2,62.300000000000004,1,9296,9296,T1,T2,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,15,T2,both_feet_imagery,62.3,4.1,66.39999999999999,3,9968,9968,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,16,T0,rest,66.4,4.2,70.60000000000001,1,10624,10624,T2,T2,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,17,T2,both_feet_imagery,70.6,4.1,74.69999999999999,3,11296,11296,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,18,T0,rest,74.7,4.2,78.9,1,11952,11952,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,19,T1,both_fists_imagery,78.9,4.1,83.0,2,12624,12624,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,20,T0,rest,83.0,4.2,87.2,1,13280,13280,T1,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,21,T1,both_fists_imagery,87.2,4.1,91.3,2,13952,13952,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,22,T0,rest,91.3,4.2,95.5,1,14608,14608,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,23,T2,both_feet_imagery,95.5,4.1,99.6,3,15280,15280,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,24,T0,rest,99.6,4.2,103.8,1,15936,15936,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,25,T2,both_feet_imagery,103.8,4.1,107.89999999999999,3,16608,16608,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,26,T0,rest,107.9,4.2,112.10000000000001,1,17264,17264,T2,T1,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,27,T1,both_fists_imagery,112.1,4.1,116.19999999999999,2,17936,17936,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,28,T0,rest,116.2,4.2,120.4,1,18592,18592,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,29,T2,both_feet_imagery,120.4,4.1,124.5,3,19264,19264,T0,,,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,14,0,T0,rest,0.0,4.2,4.2,1,0,0,,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,1,T2,both_feet_imagery,4.2,4.1,8.3,3,672,672,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,2,T0,rest,8.3,4.2,12.5,1,1328,1328,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,3,T1,both_fists_imagery,12.5,4.1,16.6,2,2000,2000,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,4,T0,rest,16.6,4.2,20.8,1,2656,2656,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,5,T2,both_feet_imagery,20.8,4.1,24.9,3,3328,3328,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,6,T0,rest,24.9,4.2,29.099999999999998,1,3984,3984,T2,T1,3.552713678800501e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,7,T1,both_fists_imagery,29.1,4.1,33.2,2,4656,4656,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,8,T0,rest,33.2,4.2,37.400000000000006,1,5312,5312,T1,T1,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,9,T1,both_fists_imagery,37.4,4.1,41.5,2,5984,5984,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,10,T0,rest,41.5,4.2,45.7,1,6640,6640,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,11,T2,both_feet_imagery,45.7,4.1,49.800000000000004,3,7312,7312,T0,T0,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,12,T0,rest,49.8,4.2,54.0,1,7968,7968,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,13,T1,both_fists_imagery,54.0,4.1,58.1,2,8640,8640,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,14,T0,rest,58.1,4.2,62.300000000000004,1,9296,9296,T1,T2,-7.105427357601002e-15,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,15,T2,both_feet_imagery,62.3,4.1,66.39999999999999,3,9968,9968,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,16,T0,rest,66.4,4.2,70.60000000000001,1,10624,10624,T2,T1,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,17,T1,both_fists_imagery,70.6,4.1,74.69999999999999,2,11296,11296,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,18,T0,rest,74.7,4.2,78.9,1,11952,11952,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,19,T2,both_feet_imagery,78.9,4.1,83.0,3,12624,12624,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,20,T0,rest,83.0,4.2,87.2,1,13280,13280,T2,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,21,T2,both_feet_imagery,87.2,4.1,91.3,3,13952,13952,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,22,T0,rest,91.3,4.2,95.5,1,14608,14608,T2,T1,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,23,T1,both_fists_imagery,95.5,4.1,99.6,2,15280,15280,T0,T0,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,24,T0,rest,99.6,4.2,103.8,1,15936,15936,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,25,T2,both_feet_imagery,103.8,4.1,107.89999999999999,3,16608,16608,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,26,T0,rest,107.9,4.2,112.10000000000001,1,17264,17264,T2,T1,-1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,27,T1,both_fists_imagery,112.1,4.1,116.19999999999999,2,17936,17936,T0,T0,1.4210854715202004e-14,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,28,T0,rest,116.2,4.2,120.4,1,18592,18592,T1,T2,0.0,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
1,14,29,T2,both_feet_imagery,120.4,4.1,124.5,3,19264,19264,T0,,,False,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R14.edf,2110c48e3106898e3dbca47e39b330637afd3d3b8bc2da3ba1e44f4ac1118137
