subject,run,run_trial_index,annotation_index,annotation,semantic_condition,event_code,event_sample,event_time_seconds,annotation_duration_seconds,previous_annotation,next_annotation,epoch_tmin_seconds,epoch_tmax_seconds,epoch_start_sample,epoch_stop_sample_inclusive,epoch_start_seconds,epoch_stop_seconds,n_samples,valid,exclusion_reason,max_full_epoch_p2p_uV,max_task_p2p_uV,median_task_p2p_uV,max_precontext_p2p_uV,frontal_max_task_p2p_uV,max_task_abs_step_uV,minimum_task_channel_std_uV,median_task_channel_std_uV,max_full_epoch_p2p_uV_robust_z,max_task_p2p_uV_robust_z,median_task_p2p_uV_robust_z,max_precontext_p2p_uV_robust_z,frontal_max_task_p2p_uV_robust_z,max_task_abs_step_uV_robust_z,minimum_task_channel_std_uV_robust_z,median_task_channel_std_uV_robust_z,channel_specific_p2p_candidate_count,channel_specific_p2p_candidate_channels,quality_status,quality_evidence,confirmed_exclusion,pair_task_annotation,pair_task_event_sample,pair_task_event_time_seconds,pair_rest_annotation,pair_rest_event_sample,pair_rest_event_time_seconds,pair_task_quality_status,pair_task_quality_evidence,pair_strong_task_review_candidate,pair_paired_task_metric_status,pair_paired_task_metric_evidence,pair_paired_rest_quality_status,pair_paired_rest_quality_evidence,pair_pair_quality_driver,pair_task_max_p2p_uV,pair_task_median_channel_p2p_uV,pair_task_frontal_max_p2p_uV,pair_task_max_abs_step_uV,pair_task_minimum_channel_std_uV,pair_task_median_channel_std_uV,pair_task_max_p2p_uV_robust_z,pair_task_median_channel_p2p_uV_robust_z,pair_task_frontal_max_p2p_uV_robust_z,pair_task_max_abs_step_uV_robust_z,pair_task_minimum_channel_std_uV_robust_z,pair_task_median_channel_std_uV_robust_z,pair_rest_max_p2p_uV,pair_rest_median_channel_p2p_uV,pair_rest_frontal_max_p2p_uV,pair_rest_max_abs_step_uV,pair_rest_minimum_channel_std_uV,pair_rest_median_channel_std_uV,pair_rest_max_p2p_uV_robust_z,pair_rest_median_channel_p2p_uV_robust_z,pair_rest_frontal_max_p2p_uV_robust_z,pair_rest_max_abs_step_uV_robust_z,pair_rest_minimum_channel_std_uV_robust_z,pair_rest_median_channel_std_uV_robust_z,pair_primary_retained,pair_source_file,pair_source_sha256
1,6,10,21,T2,both_feet_imagery,3,13952,87.2,4.1,T0,T0,-2.0,4.0,13632,14592,85.2,91.2,961,True,,221.906748375225,221.906748375225,123.21768913436084,184.86511030935077,167.2602265746727,79.53364558920318,14.356060689248011,21.921739423828853,-0.9924627631970265,-0.6120743795876702,-0.755316146451767,-0.6647590721679323,-0.8900409737797607,0.07821548576257382,0.246256527329863,0.150335743959117,0,,not flagged,,False,T2,13952,87.2,T0,13280,83.0,not flagged,,False,not flagged,,not flagged,,neither,221.906748375225,123.21768913436084,167.2602265746727,79.53364558920318,14.356060689248011,21.921739423828853,-0.6120743795876702,-0.755316146451767,-0.8900409737797607,0.07821548576257382,0.246256527329863,0.150335743959117,288.6365798711527,124.06926702575754,288.6365798711527,91.27423578854477,15.767677033876966,20.40653875532096,-0.21219849253307424,-0.4193402440708702,-0.19371827634556985,0.6826416583971473,0.6261445401102783,-0.29742000227862125,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,11,23,T1,both_fists_imagery,2,15280,95.5,4.1,T0,T0,-2.0,4.0,14960,15920,93.5,99.5,961,True,,363.2154755246355,363.2154755246355,153.5973770796101,173.64995067907046,363.2154755246355,86.95649056023683,15.4387718218531,24.795513659720747,0.08125691524187252,0.6401910649607849,1.4408626439577399,-0.7619234438106927,0.7525660494240287,0.5648178394231669,1.107923016100315,2.1278651865542537,1,O1,not flagged,,False,T1,15280,95.5,T0,14608,91.3,not flagged,,False,not flagged,,not flagged,,neither,363.2154755246355,153.5973770796101,363.2154755246355,86.95649056023683,15.4387718218531,24.795513659720747,0.6401910649607849,1.4408626439577399,0.7525660494240287,0.5648178394231669,1.107923016100315,2.1278651865542537,235.87102671507336,121.33163793468694,235.87102671507336,76.42372215357801,13.211085480320902,19.742714244211328,-0.6092339586391531,-0.5822111755710416,-0.582017055876803,-0.195021741692527,-1.1624638927877835,-0.6222265583160713,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,12,25,T1,both_fists_imagery,2,16608,103.8,4.1,T0,T0,-2.0,4.0,16288,17248,101.8,107.8,961,True,,688.745297460591,181.83376902194868,113.215755727014,688.745297460591,181.83376902194868,55.83463838009182,12.697321901943866,18.965917186970223,2.5547614381562895,-0.9671975790992792,-1.4783661676333848,3.7006894262733736,-0.7678773506814747,-1.4753657532872135,-1.073836693846093,-1.883653366062692,0,,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),False,T1,16608,103.8,T0,15936,99.6,statistical candidate,high max_precontext_p2p_uV (robust_z=3.70),False,not flagged,,statistical candidate,high median_channel_std_uV,both,181.83376902194868,113.215755727014,181.83376902194868,55.83463838009182,12.697321901943866,18.965917186970223,-0.9671975790992792,-1.4783661676333848,-0.7678773506814747,-1.4753657532872135,-1.073836693846093,-1.883653366062692,688.745297460591,178.105831593924,688.745297460591,53.69731440212025,15.518198442786026,29.25857825907521,2.7984276011862788,2.795480067049011,2.750659588134105,-1.5381494468517565,0.45160766063411895,4.033845892552184,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,13,27,T2,both_feet_imagery,3,17936,112.1,4.1,T0,T0,-2.0,4.0,17616,18576,110.1,116.1,961,True,,201.15198794349644,201.15198794349644,119.66256926390162,199.45262475695716,164.15810156318472,64.51288722976659,13.234179517347012,20.176060401357933,-1.1501656535023754,-0.7960012312608484,-1.0123194070164265,-0.5383777524313412,-0.9160447290148526,-0.9064657786301876,-0.6465831056049958,-1.0509178622364133,0,,not flagged,,False,T2,17936,112.1,T0,17264,107.9,not flagged,,False,not flagged,,not flagged,,neither,201.15198794349644,119.66256926390162,164.15810156318472,64.51288722976659,13.234179517347012,20.176060401357933,-0.7960012312608484,-1.0123194070164265,-0.9160447290148526,-0.9064657786301876,-0.6465831056049958,-1.0509178622364133,199.45262475695716,117.71323109677148,199.45262475695716,67.03656973581442,15.051163842097258,20.901969997968656,-0.8832649567319545,-0.7974825920533273,-0.8500180562829764,-0.7498012133422858,0.1248671517385157,-0.055007567991185086,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,6,14,29,T2,both_feet_imagery,3,19264,120.4,4.1,T0,,-2.0,4.0,18944,19904,118.4,124.4,961,True,,352.52151927563494,352.52151927563494,136.22436485893505,190.9482236268254,352.52151927563494,65.87834625982786,15.375256411840217,21.02968085008857,0.0,0.5454221703122828,0.1849497776592483,-0.6120570239930408,0.662923298160306,-0.8169535255186423,1.057374814756034,-0.4635162671204321,0,,not flagged,,False,T2,19264,120.4,T0,18592,116.2,not flagged,,False,not flagged,,not flagged,,neither,352.52151927563494,136.22436485893505,352.52151927563494,65.87834625982786,15.375256411840217,21.02968085008857,0.5454221703122828,0.1849497776592483,0.662923298160306,-0.8169535255186423,1.057374814756034,-0.4635162671204321,399.6707599271542,144.72448416020845,399.6707599271542,107.42062853039435,14.43978044604735,23.212650111860345,0.62328042875938,0.8095093710940218,0.6233760972216892,1.636891343042931,-0.30286073322132295,1.07559854452314,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R06.edf,5369364f2c4e81ca141679d6dd2ba6ece61c7eb53d7fae31241b308876e1b6b3
1,10,0,1,T1,both_fists_imagery,2,672,4.2,4.1,T0,T0,-2.0,4.0,352,1312,2.2,8.2,961,True,,196.97889417723673,196.97889417723673,108.50194222396972,161.44655427073798,172.33253612157802,84.89741245490332,12.198547823206155,19.436091906609306,-1.181874472817308,-0.8329828192049686,-1.8191325789273056,-0.8676495665777484,-0.8475220245285578,0.42983559793271087,-1.4707818218430337,-1.5601121707809982,0,,not flagged,,False,T1,672,4.2,T0,0,0.0,not flagged,,False,not flagged,,not flagged,,neither,196.97889417723673,108.50194222396972,172.33253612157802,84.89741245490332,12.198547823206155,19.436091906609306,-0.8329828192049686,-1.8191325789273056,-0.8475220245285578,0.42983559793271087,-1.4707818218430337,-1.5601121707809982,164.2980195805328,112.09376369910979,150.6149183447154,67.18378327063029,13.459894336190619,18.04052913707071,-1.1477864905195463,-1.1318039552275034,-1.209412029447328,-0.7411009128219397,-0.9883955645210739,-1.4550986097930518,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,1,3,T2,both_feet_imagery,3,2000,12.5,4.1,T0,T0,-2.0,4.0,1680,2640,10.5,16.5,961,True,,403.2954902710196,348.9420730380467,122.23663338224158,303.9412541243589,192.97324531822545,67.06145047877177,14.192976722357336,20.797978037329827,0.38580074217629695,0.5137014342730195,-0.8262376726668017,0.3668765953432087,-0.6745,-0.7393954868137445,0.11646753293083784,-0.6229578573608427,2,Cz/Iz,not flagged,,False,T2,2000,12.5,T0,1328,8.3,not flagged,,False,not flagged,,statistical candidate,high max_abs_step_uV,rest_candidate,348.9420730380467,122.23663338224158,192.97324531822545,67.06145047877177,14.192976722357336,20.797978037329827,0.5137014342730195,-0.8262376726668017,-0.6745,-0.7393954868137445,0.11646753293083784,-0.6229578573608427,406.6179386250935,157.69248431362752,406.6179386250935,168.48714994872248,17.932153480895465,24.761799621812003,0.6755546146150577,1.5810201179555512,0.6745,5.245914716716885,2.1404266398698732,1.8335909185519468,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,2,5,T2,both_feet_imagery,3,3328,20.8,4.1,T0,T0,-2.0,4.0,3008,3968,18.8,24.8,961,True,,285.3223834715974,284.2672500335332,124.33561692824708,261.5946664624151,284.2672500335332,74.63491515091847,15.257238112586224,20.907768694353532,-0.5106056500713735,-0.05944112821858278,-0.6745,0.0,0.0907776545937623,-0.24291930427011924,0.9634509504246783,-0.5474076439604298,1,F6,not flagged,,False,T2,3328,20.8,T0,2656,16.6,not flagged,,False,not flagged,,not flagged,,neither,284.2672500335332,124.33561692824708,284.2672500335332,74.63491515091847,15.257238112586224,20.907768694353532,-0.05944112821858278,-0.6745,0.0907776545937623,-0.24291930427011924,0.9634509504246783,-0.5474076439604298,307.3234245057417,123.52337635502847,307.3234245057417,79.53688603992794,13.363678843288998,20.649312654343415,-0.07158895419279264,-0.4518171498463441,-0.05620282296943744,-0.011034165997043384,-1.0557085624615987,-0.17863174918224714,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,3,7,T1,both_fists_imagery,2,4656,29.1,4.1,T0,T0,-2.0,4.0,4336,5296,27.1,33.1,961,True,,269.40220507216844,269.40220507216844,132.8837414100247,186.5940540019538,235.31696836763751,83.18341753324304,12.32527554862498,20.76448175418625,-0.6315734712141604,-0.19117384220088285,-0.05654731666455476,-0.6497800854182548,-0.3195511163019619,0.31747518002059455,-1.3699266344314411,-0.6460076450952539,0,,not flagged,,False,T1,4656,29.1,T0,3984,24.9,not flagged,,False,not flagged,,not flagged,,neither,269.40220507216844,132.8837414100247,235.31696836763751,83.18341753324304,12.32527554862498,20.76448175418625,-0.19117384220088285,-0.05654731666455476,-0.3195511163019619,0.31747518002059455,-1.3699266344314411,-0.6460076450952539,227.19724548215817,124.50278125682492,180.42463443535473,97.95014031838292,13.211545669807021,19.635880218774197,-0.6745,-0.3935489976004025,-0.990043981851409,1.0771867369280235,-1.1621419411665088,-0.6745,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
1,10,4,9,T2,both_feet_imagery,3,5984,37.4,4.1,T0,T0,-2.0,4.0,5664,6624,35.4,41.4,961,True,,428.1173944121009,410.9864616350062,156.6693407401337,381.5286659894208,410.9864616350062,73.96702558231966,14.838150564212647,24.40992012122124,0.5744074012995029,1.0635333196452366,1.6629380467172883,1.0390678409232204,1.1530093022113153,-0.28670260263264474,0.6299236730006358,1.8625268152466825,0,,not flagged,,False,T2,5984,37.4,T0,5312,33.2,not flagged,,False,not flagged,,not flagged,,neither,410.9864616350062,156.6693407401337,410.9864616350062,73.96702558231966,14.838150564212647,24.40992012122124,1.0635333196452366,1.6629380467172883,1.1530093022113153,-0.28670260263264474,0.6299236730006358,1.8625268152466825,381.5286659894208,136.20591385905453,381.5286659894208,82.87014669491181,15.111956102425522,21.84491793684819,0.48676987799529003,0.30271044624184074,0.4898694340142508,0.18596109973908548,0.16739782087368668,0.40637291348291926,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S001/S001R10.edf,20de1c7746c2349d16bda5e9f1b0ac7b7ad1581102a2e30dd2ac422696f62fb1
