l_freq,h_freq,l_trans_bandwidth,h_trans_bandwidth,filter_length,candidate,filter_length_samples,filter_length_seconds,method,phase,fir_window,fir_design,frequency_hz,amplitude_gain,gain_db,notch_center_hz,notch_width_hz,total_transition_bandwidth_hz
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,0.1,0.017732878944750827,-35.02441501350992,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,0.25,0.11976800191116854,-18.433183914326975,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,0.5,0.49664265706573724,-6.079119625043278,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,1.0,0.9956831263418929,-0.03757705435541865,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,8.0,0.9987792781594508,-0.010609532147889704,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,12.0,0.9997538021730161,-0.0021387104380487564,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,30.0,1.0004520950878217,0.003925960651821884,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,40.0,0.9947770345965293,-0.04548498800841728,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,45.0,0.49907815015518137,-6.036628866141953,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,50.0,0.0036741799692606714,-48.696791496572764,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,60.0,0.0007807254263792474,-62.15003352923282,,,
1.0,40.0,1.0,10.0,529,bandpass_1_40,529,3.30625,fir,zero,hamming,firwin,65.0,0.0005371903440187231,-65.39743604728443,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,0.1,0.01773422131414952,-35.023757521221526,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,0.25,0.11977631987525202,-18.43258069470121,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,0.5,0.4966748391987349,-6.078556803072087,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,1.0,0.9957964311857861,-0.03658869033545568,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,8.0,0.9998632809339186,-0.0011876079055739947,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,12.0,0.998672690220603,-0.01153652422491084,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,30.0,0.9972972501484845,-0.023507568797922766,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,40.0,0.9999070205491456,-0.0008076467965889279,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,45.0,0.9942902490509026,-0.04973639332375532,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,50.0,0.5956116693984546,-4.500736040233724,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,60.0,0.0011006348645737352,-59.1671346850826,,,
1.0,45.0,1.0,11.25,529,bandpass_1_45,529,3.30625,fir,zero,hamming,firwin,65.0,0.00023795145069482881,-72.47023286274776,,,
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,0.1,1.0001289478430329,0.0011199545273413653,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,0.25,1.0000465567870869,0.00040437770134922136,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,0.5,1.0001371887266632,0.001191524409393969,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,1.0,1.0001151183844363,0.000999848033185395,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,8.0,1.0001664742089909,0.0014458562613288931,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,12.0,1.000142236959325,0.0012353666758329607,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,30.0,1.000000392598954,3.410070517183615e-06,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,40.0,1.000001146538814,9.958703894185774e-06,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,45.0,1.000171412495047,0.0014887424236812428,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,50.0,1.0000051348551844,4.4600670930123375e-05,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,60.0,0.0014737862544570435,-56.631309966459895,60.0,0.3,1.0
60.65,59.35,0.5,0.5,1057,notch_60,1057,6.60625,fir,zero,hamming,firwin,65.0,1.000065859289229,0.0005720276814237471,60.0,0.3,1.0
