subject,subject_role,central_channels,peak_frequency_hz,peak_category,peak_prominence_db_over_8_13_band_median,well_defined_peak,power_at_8_hz_v2_per_hz,power_at_9_hz_v2_per_hz,power_at_10_hz_v2_per_hz,power_at_11_hz_v2_per_hz,power_at_12_hz_v2_per_hz,power_at_13_hz_v2_per_hz,primary_replication_band_redefined
15,replication_1,C3/Cz/C4,12,12,1.4203676342829763,True,1.084546326513987e-11,1.1432487912340817e-11,1.507743945921881e-11,1.3834879455942824e-11,1.8047341198318308e-11,1.2191062765748399e-11,False
16,replication_1,C3/Cz/C4,8,8,2.635458537807482,True,3.7471282039844125e-12,2.2625614030910924e-12,1.801290985871826e-12,1.8223504939659566e-12,2.3333245956275873e-12,1.4642271930932258e-12,False
17,replication_1,C3/Cz/C4,11,11,1.9166372624841146,True,6.9027063114845264e-12,7.851607963573266e-12,8.830147762777452e-12,1.352149998905032e-11,1.2581348592845881e-11,8.563518847211171e-12,False
18,replication_1,C3/Cz/C4,,poorly_defined,0.4509227324576368,False,2.7377689284752e-13,2.1354404221916667e-13,2.0936897002761684e-13,2.3139569151673007e-13,2.621581229135693e-13,2.6442430752420293e-13,False
19,replication_1,C3/Cz/C4,,poorly_defined,0.9165456554061285,False,4.650608122911434e-12,6.822385333047334e-12,5.86847645064539e-12,5.720009773801319e-12,5.328702783508998e-12,3.86757800228457e-12,False
20,replication_1,C3/Cz/C4,8,8,2.1442104136432034,True,6.756853070725036e-13,5.640722572443115e-13,4.463490950529011e-13,3.784599777634102e-13,3.333241971206344e-13,2.953307877258606e-13,False
21,replication_2,C3/Cz/C4,,poorly_defined,0.6325035227112441,False,2.088002018568636e-12,2.125281148465506e-12,2.0938220708196473e-12,1.8780238608785955e-12,2.418722901153441e-12,1.84918130596191e-12,False
22,replication_2,C3/Cz/C4,8,8,2.0873450041468775,True,1.070092543142574e-11,7.18941045214835e-12,6.6216736702598985e-12,6.6131095750201815e-12,5.361020217817634e-12,4.485075650840304e-12,False
23,replication_2,C3/Cz/C4,10,10,2.9401097799921194,True,8.105922415075834e-12,1.1854026103659037e-11,2.2660497499043552e-11,1.5622819822781494e-11,1.1175683303634678e-11,9.00956603976449e-12,False
24,replication_2,C3/Cz/C4,8,8,2.2673775035903123,True,7.0163866084048306e-12,4.2678071433457845e-12,3.3876570587254554e-12,3.4821247812668193e-12,4.057605271301813e-12,4.960923408868738e-12,False
25,replication_2,C3/Cz/C4,11,11,2.521495431484966,True,1.3855321987176842e-12,1.1762643752435245e-12,2.4358951907813893e-12,3.0112661727441336e-12,1.984465451191787e-12,5.804830809101184e-13,False
26,replication_2,C3/Cz/C4,,poorly_defined,0.8338073647515982,False,5.802527134119219e-13,5.386442024593637e-13,4.3909680081135734e-13,3.803773936459779e-13,4.2224024652354085e-13,5.186846881826764e-13,False
27,replication_2,C3/Cz/C4,11,11,2.7116573763028033,True,9.855316574274162e-12,1.3020853871731562e-11,1.5668470806949763e-11,2.6782805500046258e-11,2.148760068031599e-11,4.9904179352817695e-12,False
28,replication_2,C3/Cz/C4,8,8,1.8804287463577685,True,3.028219087384442e-11,2.96489611733232e-11,2.25249198302777e-11,1.6755345580519784e-11,1.1891908748898723e-11,8.086698333163291e-12,False
29,replication_2,C3/Cz/C4,11,11,4.254139582063337,True,1.0029754846861059e-12,2.2696167590421717e-12,7.487518462555757e-12,7.624980173636527e-12,3.456428234197708e-12,9.24136736711148e-13,False
30,replication_2,C3/Cz/C4,10,10,2.129251377794812,True,6.167248660926589e-13,5.209431182577735e-13,8.583881479184542e-13,5.305067487692669e-13,4.652890222478855e-13,2.674850823137996e-13,False
31,replication_2,C3/Cz/C4,8,8,6.976205665471249,True,3.504706729208297e-11,1.4161783538292431e-11,9.85615760304172e-12,4.206296291082362e-12,2.9346300724292632e-12,3.1584527394247113e-12,False
32,replication_2,C3/Cz/C4,,poorly_defined,0.15993755774018414,False,1.0800203164415729e-11,1.026869947051734e-11,1.1017763472679295e-11,1.1244535395179748e-11,1.1318217447743123e-11,9.51881558176897e-12,False
33,replication_2,C3/Cz/C4,10,10,7.254704016848637,True,3.989740613896701e-12,6.413869025474943e-12,2.7645500340758507e-11,1.049969248422439e-11,3.1104208705526954e-12,1.4168495837810965e-12,False
34,replication_2,C3/Cz/C4,10,10,7.277774573056616,True,3.0680455708362546e-12,4.410307710613602e-12,1.563159095429081e-11,2.7832996325507194e-12,7.961770305339701e-13,4.816602379285861e-13,False
35,replication_2,C3/Cz/C4,11,11,3.5919758328165017,True,2.3963912341458306e-12,3.4247709288698775e-12,5.9015869716234895e-12,7.193849780822454e-12,2.8673024270906428e-12,1.1387445689100454e-12,False
36,replication_2,C3/Cz/C4,9,9,1.1411528601400516,True,1.2422239053677534e-11,1.4304341093635955e-11,1.164058594182795e-11,1.0260956159258692e-11,1.0357382120285929e-11,1.0309414633990248e-11,False
37,replication_2,C3/Cz/C4,8,8,3.1074719119804644,True,2.959433073445495e-13,2.002053368907576e-13,1.494990664160983e-13,1.2617882430440795e-13,1.3026061313203194e-13,1.3989613622793448e-13,False
38,replication_2,C3/Cz/C4,10,10,2.3176711643183254,True,4.773856069196657e-12,4.574561170442673e-12,8.083467599228964e-12,5.763941826988064e-12,4.707284403034894e-12,4.4420887643258645e-12,False
39,replication_2,C3/Cz/C4,8,8,2.410955455254393,True,3.75877677704917e-11,2.788105650345618e-11,2.642511361786289e-11,1.6724904769632968e-11,1.4392478039571006e-11,1.1659940311504547e-11,False
40,replication_2,C3/Cz/C4,8,8,1.9645343078762858,True,6.478533829272726e-12,5.4879556857862045e-12,4.28301783861257e-12,3.884663180952538e-12,3.959374739609977e-12,3.303290930237173e-12,False
41,replication_2,C3/Cz/C4,8,8,2.70305866499383,True,6.971524276127112e-13,5.425276938651241e-13,3.689670279053136e-13,3.7929184108525174e-13,3.2152473515646433e-13,3.226035212152844e-13,False
42,replication_2,C3/Cz/C4,13,13,6.151073948204316,True,7.233285790609487e-13,1.0557085248636536e-12,1.8172214562106122e-12,3.50441015148416e-12,5.4745090548979134e-12,1.0967867777087476e-11,False
43,replication_2,C3/Cz/C4,11,11,2.7054271059585093,True,6.320625162802236e-12,6.5296408521101734e-12,9.484957708815527e-12,1.492893309000531e-11,1.1491421202412676e-11,4.590544558975033e-12,False
44,replication_2,C3/Cz/C4,10,10,3.4938786947320777,True,2.214230097588081e-11,4.611991263130543e-11,4.640842189027657e-11,1.9375938231399995e-11,1.7267875198441375e-11,6.815557003564566e-12,False
45,replication_2,C3/Cz/C4,8,8,1.2703392511487344,True,1.1441804315920116e-11,8.916465644233971e-12,7.244555247663283e-12,8.163641334353925e-12,9.71263506138583e-12,5.459560902281834e-12,False
46,replication_2,C3/Cz/C4,8,8,1.7628961813727262,True,6.305128482384475e-12,5.264908802583604e-12,4.406887852281978e-12,3.49044704416273e-12,3.9961112730246264e-12,3.699308243095683e-12,False
47,replication_2,C3/Cz/C4,9,9,2.0305341163211645,True,4.942735326922278e-13,7.417238923352754e-13,5.640231314146503e-13,4.3516110331178173e-13,3.9600803880632405e-13,3.7766932194656133e-13,False
48,replication_2,C3/Cz/C4,8,8,1.4344250473303028,True,1.1736115850728503e-10,1.1571264127964062e-10,1.0570335253127114e-10,6.299540298896613e-11,1.7937634652047865e-11,9.608570705754733e-12,False
49,replication_2,C3/Cz/C4,8,8,2.6172802694311903,True,1.1325593435218732e-11,7.427734345942089e-12,6.697117319478197e-12,5.7012053858079676e-12,5.389494215002587e-12,5.694668804520193e-12,False
50,replication_2,C3/Cz/C4,,poorly_defined,0.754608870352236,False,7.526983864261047e-13,7.750335078797021e-13,8.712936835962064e-13,1.153236047235949e-12,1.0673023396186693e-12,1.1177731155477825e-12,False
51,replication_2,C3/Cz/C4,8,8,1.0902416097849739,True,1.4790005335000207e-13,1.2797758657675826e-13,1.1445834431602618e-13,1.059453298620117e-13,1.156721473592607e-13,9.30964197546091e-14,False
52,replication_2,C3/Cz/C4,11,11,2.0427927999753837,True,1.8748682492988635e-11,3.024923166367325e-11,3.8638929463527714e-11,5.5130746913626394e-11,3.989721391846063e-11,1.4231466149368773e-11,False
53,replication_2,C3/Cz/C4,11,11,1.3534373158893207,True,7.709519340265188e-12,5.408832837698798e-12,5.31952986232983e-12,8.752962639507597e-12,7.409789095534423e-12,3.569890402389017e-12,False
54,replication_2,C3/Cz/C4,10,10,3.099314453517574,True,3.142212951411597e-11,6.346596267057627e-11,9.685301941759634e-11,7.484991260687042e-11,2.2418847007935617e-11,8.878491037113662e-12,False
55,replication_2,C3/Cz/C4,11,11,1.5704150763190419,True,4.162673709200794e-13,3.182571118450133e-13,5.10503990630492e-13,5.975828322848929e-13,4.162371494732708e-13,2.046428215678728e-13,False
56,replication_2,C3/Cz/C4,10,10,4.083850024723279,True,1.9389942510916008e-11,3.998853073073156e-11,4.924014772637844e-11,1.9066077967465406e-11,1.13654329903274e-11,6.768178025495934e-12,False
57,replication_2,C3/Cz/C4,11,11,1.0209640936996274,True,8.618512076377865e-12,7.345904862898418e-12,7.487973895577592e-12,9.382555429524184e-12,6.839202977297965e-12,6.929391035963253e-12,False
58,replication_2,C3/Cz/C4,10,10,2.2574588302449543,True,2.07821153016213e-12,3.1745165530377712e-12,3.4477405712771985e-12,1.8240915195148525e-12,1.942570904357786e-12,2.0221173498275663e-12,False
59,replication_2,C3/Cz/C4,11,11,2.483665650077681,True,6.114072316306689e-12,7.853430197916969e-12,1.0520741882667832e-11,1.6275875110345145e-11,1.3884357131829814e-11,6.97261639308817e-12,False
60,replication_2,C3/Cz/C4,12,12,2.9040150022221773,True,1.1771066752285654e-11,2.1550267583006058e-11,2.699833228004973e-11,2.7300250225307466e-11,4.737488993292616e-11,1.3754633456501855e-11,False
61,replication_2,C3/Cz/C4,,poorly_defined,0.6280212661820765,False,1.149797662709476e-11,2.0691799028711894e-11,2.106090040611242e-11,1.3236457316033561e-11,1.648967955097708e-11,1.9960930687786962e-11,False
62,replication_2,C3/Cz/C4,11,11,4.656770781362776,True,2.3644544873932273e-12,3.3434067780823233e-12,5.337335214747146e-12,1.2682472546356706e-11,6.0999717550546504e-12,1.2473443384809293e-12,False
63,replication_2,C3/Cz/C4,,poorly_defined,0.8638209586822923,False,1.472943827734255e-12,1.3957797736289986e-12,1.1708370961597215e-12,1.201552865361869e-12,1.1674236708645873e-12,1.2129853567994622e-12,False
64,replication_2,C3/Cz/C4,9,9,2.0444595905912646,True,7.096016261576702e-13,8.618078699750037e-13,7.558192686540327e-13,3.6684993594510534e-13,2.4712358136491334e-13,2.185025174977497e-13,False
65,replication_2,C3/Cz/C4,8,8,5.268975015003439,True,2.481147573753159e-11,1.1824270937207042e-11,9.45595858185364e-12,5.293806051021846e-12,4.7833661522663705e-12,3.71001095364079e-12,False
66,replication_2,C3/Cz/C4,10,10,1.912728950386306,True,6.513639915749793e-12,8.024134745179147e-12,9.277785747825818e-12,5.431780514315991e-12,3.8171922906133135e-12,3.615884452936364e-12,False
67,replication_2,C3/Cz/C4,11,11,1.9503436461753951,True,3.4184573743082537e-13,3.6991870495507865e-13,4.551335772925628e-13,6.463769171909736e-13,5.192717208257845e-13,3.27638386688041e-13,False
68,replication_2,C3/Cz/C4,9,9,1.9997242443253416,True,1.2824089802559972e-11,1.3574174261326838e-11,9.623045973774139e-12,7.507491587605075e-12,4.5693831858650984e-12,3.497981040802786e-12,False
69,replication_2,C3/Cz/C4,,poorly_defined,0.986865435161663,False,3.33182048440927e-12,3.968051544576284e-12,5.718522813730069e-12,5.124867351199302e-12,5.1488709552584774e-12,3.987417978484306e-12,False
70,replication_2,C3/Cz/C4,10,10,1.6938433150975094,True,8.405765230133889e-12,8.526077339625778e-12,1.2504276189700403e-11,1.0038570223301027e-11,5.215116323722567e-12,6.6314589333019395e-12,False
71,replication_2,C3/Cz/C4,12,12,3.4272737340025525,True,6.551337826742833e-12,5.31698308267076e-12,6.1114341361265085e-12,5.291124319644734e-12,1.393882493850542e-11,1.091246163865617e-11,False
72,replication_2,C3/Cz/C4,11,11,7.736141162447801,True,3.7952070018650987e-13,6.002747571953205e-13,8.480700255434211e-13,3.745598625476954e-12,6.613700845023218e-13,1.763583680968989e-13,False
73,replication_2,C3/Cz/C4,,poorly_defined,0.5782728441662526,False,7.906334477807025e-13,5.798505886680318e-13,6.255217355805406e-13,6.92552779410829e-13,7.182202733904721e-13,6.915804482324913e-13,False
74,replication_2,C3/Cz/C4,,poorly_defined,0.9037526464563581,False,1.5927021765082052e-12,1.8996069533129602e-12,1.6351658976336243e-12,1.4927476003767724e-12,1.2717720711032324e-12,1.3176468639055585e-12,False
75,replication_2,C3/Cz/C4,8,8,3.3592507009358763,True,6.560486085240918e-11,3.604966072994037e-11,2.4086153802256132e-11,3.962227186545902e-11,2.4490134025925082e-11,9.367821456855107e-12,False
76,replication_2,C3/Cz/C4,,poorly_defined,0.6889713446303392,False,3.2989811370074597e-13,3.5783069861332293e-13,3.7689455168189716e-13,3.1331178682673766e-13,2.5935544045141047e-13,2.5391376023959395e-13,False
77,replication_2,C3/Cz/C4,9,9,3.648357954870688,True,1.9152015610347364e-11,2.179140860433695e-11,1.1024361074454e-11,7.789568078354494e-12,7.192531839578402e-12,6.189226231764607e-12,False
78,replication_2,C3/Cz/C4,,poorly_defined,0.8465836313073904,False,4.0130844469736614e-12,5.409853379465409e-12,5.716930445215359e-12,5.395722138837201e-12,2.2430541500619798e-12,1.1608086403987408e-12,False
79,replication_2,C3/Cz/C4,,poorly_defined,0.9333738213791871,False,2.3842177526983302e-11,2.503010440464064e-11,2.095770274444589e-11,1.9421270791257227e-11,1.4357810295066821e-11,9.265516046473599e-12,False
80,replication_2,C3/Cz/C4,12,12,1.0452542604390185,True,3.3923088872688392e-12,2.7361316234969338e-12,2.7089672176355613e-12,3.0097259785289092e-12,3.808875415541926e-12,2.978543518666995e-12,False
81,replication_2,C3/Cz/C4,,poorly_defined,0.9948425353518708,False,1.410167037960971e-12,1.2699863503904594e-12,1.483093055331947e-12,1.6850543289119256e-12,1.160387914857942e-12,8.399992155730021e-13,False
82,replication_2,C3/Cz/C4,10,10,1.7065038141035374,True,8.622663482433425e-12,1.3290927841629836e-11,1.4479929602457778e-11,1.0927305140161924e-11,7.167807476316875e-12,5.584232593389248e-12,False
83,replication_2,C3/Cz/C4,10,10,1.362651161795425,True,1.2850452859579426e-11,1.3216960508352077e-11,1.630495798988357e-11,1.097738101942587e-11,8.147740946064264e-12,7.751869161673309e-12,False
84,replication_2,C3/Cz/C4,10,10,2.0087362516981835,True,1.3822902192701201e-11,2.8446605482874416e-11,3.3563776387278764e-11,3.276948343018065e-11,9.769765051222223e-12,5.261548308419296e-12,False
85,replication_2,C3/Cz/C4,12,12,6.351203578624604,True,5.714894233071488e-12,5.709249191626992e-12,8.886216215664332e-12,1.185714794510478e-11,3.151202035667043e-11,3.932581697669434e-12,False
86,replication_2,C3/Cz/C4,8,8,1.715295083915521,True,5.504338645210543e-12,4.198966922963115e-12,3.8191527598535135e-12,3.597460487964144e-12,3.2023666410233285e-12,2.444071374685182e-12,False
87,replication_2,C3/Cz/C4,9,9,1.0777246441018025,True,1.2120391821710684e-11,1.3435613260934552e-11,1.3182402153444017e-11,8.845581343599114e-12,6.2864458390466845e-12,5.367332912468273e-12,False
89,replication_2,C3/Cz/C4,8,8,2.0410945770261355,True,2.423574762414664e-13,1.9910817673665295e-13,1.5332176083314693e-13,1.4963242635344815e-13,1.302384074360413e-13,1.2821666617235825e-13,False
90,replication_2,C3/Cz/C4,11,11,1.8480143210635556,True,8.675291137032897e-12,8.979440187237745e-12,8.971181849413889e-12,1.3502971533106014e-11,5.978476227009368e-12,3.591081141745436e-12,False
91,replication_2,C3/Cz/C4,11,11,1.9913345515763317,True,9.18770171616656e-12,9.389661763857684e-12,1.0096324130311903e-11,1.4692223895948897e-11,8.999601339015679e-12,6.629988142755849e-12,False
93,replication_2,C3/Cz/C4,11,11,5.348385725471349,True,2.259174791343833e-12,2.164398731532239e-12,4.7651639421759394e-12,9.70642925670082e-12,3.406490532245959e-12,1.582169672451721e-12,False
94,replication_2,C3/Cz/C4,12,12,5.505526658659056,True,1.4409704919030328e-11,1.2064126174408123e-11,1.5083881871005187e-11,2.4393790949210752e-11,7.012521626346323e-11,4.894885746344855e-11,False
95,replication_2,C3/Cz/C4,12,12,1.4580273524682945,True,1.324064736958144e-11,1.1670341470514978e-11,1.1475583453446993e-11,1.0651199057468553e-11,1.7424635690413122e-11,1.6164615164999197e-11,False
96,replication_2,C3/Cz/C4,,poorly_defined,0.7830190798288201,False,2.1944151296752046e-11,2.1937318764148e-11,1.9566609617776406e-11,1.7081103289799992e-11,1.4160035265998875e-11,9.825756261956194e-12,False
97,replication_2,C3/Cz/C4,,poorly_defined,0.9193417749921673,False,8.963360959342752e-12,7.783240270101469e-12,1.0347391015037796e-11,9.766261026708288e-12,7.350950836792296e-12,6.6658434097668795e-12,False
98,replication_2,C3/Cz/C4,10,10,4.223653233842568,True,1.507723283729723e-12,3.783835594854836e-12,6.997114175181093e-12,5.052262315277439e-12,1.2420327736324914e-12,6.638223800508407e-13,False
99,replication_2,C3/Cz/C4,9,9,3.3094352241249565,True,2.2380543268139686e-11,2.438143818655556e-11,1.4787944308834755e-11,7.970668800699148e-12,6.466775199501291e-12,5.460080838304499e-12,False
101,replication_2,C3/Cz/C4,8,8,2.2013459683242265,True,7.17217666344517e-12,5.995404044695274e-12,4.603404036322466e-12,4.037245236094859e-12,3.809270247124032e-12,3.7019713979997244e-12,False
102,replication_2,C3/Cz/C4,,poorly_defined,0.4659607911427287,False,8.106415951871093e-13,7.320797597203896e-13,7.242603165483492e-13,7.826898087359556e-13,4.920083623436734e-13,3.560123155064507e-13,False
103,replication_2,C3/Cz/C4,8,8,1.797639941206545,True,3.929574605975658e-11,3.1152478354024106e-11,3.2969374633100916e-11,2.0800630435181708e-11,9.482370150295248e-12,6.914842859104077e-12,False
104,replication_2,C3/Cz/C4,,poorly_defined,0.5544449086855854,False,5.179246516883571e-12,5.882961082373318e-12,5.176501639646677e-12,5.8459697672114526e-12,3.523209582579569e-12,2.5693229735723795e-12,False
105,replication_2,C3/Cz/C4,8,8,1.6766066795881265,True,8.985565147369532e-12,5.8802540577257704e-12,6.335343739068408e-12,7.0204311138589794e-12,5.1898878766596e-12,1.7089434631860924e-12,False
106,replication_2,C3/Cz/C4,9,9,3.7062634759541577,True,2.949453819109088e-11,3.9606342074574366e-11,2.128755471835346e-11,1.2454255792765791e-11,8.304759365055058e-12,5.698967907313145e-12,False
107,replication_2,C3/Cz/C4,10,10,2.887252068575959,True,8.845855552870014e-12,1.4467557342351012e-11,1.843398946877166e-11,1.0117890189303067e-11,5.000864496366933e-12,3.1116223150362833e-12,False
108,replication_2,C3/Cz/C4,11,11,6.237281841941091,True,6.275537028329491e-12,8.13826635017483e-12,1.8759229026040104e-11,3.447709681655499e-11,8.261305122094144e-12,3.254283630030561e-12,False
109,replication_2,C3/Cz/C4,8,8,1.645769325304707,True,8.120726940274669e-10,7.322090150590397e-10,5.810987603617513e-10,5.307557718350634e-10,4.11773756153772e-10,4.2929196234607273e-10,False
