subject,study_role,estimate_type,held_out_run,training_runs,peak_frequency_hz,candidate_frequency_hz,peak_prominence_db,peak_width_hz,peak_quality,method_available,failure_reason,search_low_hz,search_high_hz,minimum_prominence_db,band_low_hz,band_high_hz,rest_epoch_count,central_roi,frequency_estimation_data,task_outcome_used_for_peak
9,held_out_method_evaluation,independent_single_run,,14,7.25,7.25,2.0879886639689005,0.34050056304305565,well_defined_interior,True,,7.0,14.0,1.0,6.25,8.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
9,held_out_method_evaluation,leave_one_run_out,6,10/14,9.25,9.25,1.4695406774895048,0.6703857015044217,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
9,held_out_method_evaluation,leave_one_run_out,10,6/14,9.25,9.25,1.9436695374984794,0.6240655537528021,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
9,held_out_method_evaluation,leave_one_run_out,14,6/10,9.25,9.25,2.2239437225254335,0.5491328998533613,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,independent_single_run,,6,9.75,9.75,3.991921127272377,1.3715897184985213,well_defined_interior,True,,7.0,14.0,1.0,8.75,10.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,independent_single_run,,10,10.75,10.75,3.0347598191498832,1.1312051129408047,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,independent_single_run,,14,10.0,10.0,3.7025377431573503,1.919251668528652,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,leave_one_run_out,6,10/14,10.75,10.75,2.60604336491825,1.8381437220586614,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,leave_one_run_out,10,6/14,9.75,9.75,3.5839552647681927,1.6050853192547154,well_defined_interior,True,,7.0,14.0,1.0,8.75,10.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
11,held_out_method_evaluation,leave_one_run_out,14,6/10,10.5,10.5,2.242240300458775,2.0011631064308335,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,independent_single_run,,6,8.5,8.5,2.171319449396634,0.5201487981728707,well_defined_interior,True,,7.0,14.0,1.0,7.5,9.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,independent_single_run,,10,8.5,8.5,3.0057439707514817,1.1973393322553263,well_defined_interior,True,,7.0,14.0,1.0,7.5,9.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,independent_single_run,,14,8.75,8.75,3.5408542828172074,0.6818573181670491,well_defined_interior,True,,7.0,14.0,1.0,7.75,9.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,leave_one_run_out,6,10/14,8.75,8.75,2.26274036289567,0.6451271713828921,well_defined_interior,True,,7.0,14.0,1.0,7.75,9.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,leave_one_run_out,10,6/14,8.5,8.5,1.8438708006814295,0.5788909838905267,well_defined_interior,True,,7.0,14.0,1.0,7.5,9.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
13,held_out_method_evaluation,leave_one_run_out,14,6/10,8.5,8.5,2.0986663020685796,0.7299905108383529,well_defined_interior,True,,7.0,14.0,1.0,7.5,9.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,independent_single_run,,6,12.75,12.75,3.4594732799188534,1.9403156881724435,well_defined_interior,True,,7.0,14.0,1.0,11.75,13.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,independent_single_run,,10,9.5,9.5,4.908608080248385,3.2947326913252857,well_defined_interior,True,,7.0,14.0,1.0,8.5,10.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,independent_single_run,,14,12.5,12.5,4.51853815403102,1.6851879587445397,well_defined_interior,True,,7.0,14.0,1.0,11.5,13.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,leave_one_run_out,6,10/14,11.75,11.75,3.682492325985095,3.855084832558654,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,leave_one_run_out,10,6/14,11.75,11.75,3.171069733728274,1.379589156849347,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
15,held_out_method_evaluation,leave_one_run_out,14,6/10,12.0,12.0,3.1880018835113475,3.214420912008412,well_defined_interior,True,,7.0,14.0,1.0,11.0,13.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,independent_single_run,,6,12.25,12.25,2.4056681115791605,0.43750350742873856,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,independent_single_run,,10,12.0,12.0,6.241399236817472,3.6034614215044303,well_defined_interior,True,,7.0,14.0,1.0,11.0,13.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,independent_single_run,,14,11.25,11.25,4.749049272846165,2.123858560719902,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,leave_one_run_out,6,10/14,11.25,11.25,4.942315222437557,2.9469227918610756,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,leave_one_run_out,10,6/14,11.25,11.25,2.4948345027957117,1.847920105618294,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
17,held_out_method_evaluation,leave_one_run_out,14,6/10,11.0,11.0,3.46411176112413,2.0773928642085995,well_defined_interior,True,,7.0,14.0,1.0,10.0,12.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,independent_single_run,,6,8.5,8.5,2.2733890194575537,0.5803354536870822,well_defined_interior,True,,7.0,14.0,1.0,7.5,9.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,independent_single_run,,10,9.0,9.0,3.4079034255429406,1.0522974304549648,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,independent_single_run,,14,9.0,9.0,4.948257457117691,0.860000686286887,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,leave_one_run_out,6,10/14,9.0,9.0,4.17808044133028,0.9560398416897851,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,leave_one_run_out,10,6/14,9.25,9.25,3.5163603437862747,1.3683868885205481,well_defined_interior,True,,7.0,14.0,1.0,8.25,10.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
19,held_out_method_evaluation,leave_one_run_out,14,6/10,10.25,10.25,2.5648747936353544,0.5087466784266264,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,independent_single_run,,6,12.75,12.75,4.43298855246222,1.4975022904579705,well_defined_interior,True,,7.0,14.0,1.0,11.75,13.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,independent_single_run,,10,12.25,12.25,3.785091658673366,1.1086640114337243,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,independent_single_run,,14,11.75,11.75,2.9746029540604155,1.2537940695659628,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,leave_one_run_out,6,10/14,12.25,12.25,3.031076178923243,0.7742494552168342,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,leave_one_run_out,10,6/14,11.75,11.75,2.743119326365772,1.5101358707360184,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
21,held_out_method_evaluation,leave_one_run_out,14,6/10,12.75,12.75,3.724972856523266,1.3437162237221827,well_defined_interior,True,,7.0,14.0,1.0,11.75,13.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,independent_single_run,,6,11.25,11.25,2.6932496170673517,1.9265624138579782,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,independent_single_run,,10,10.0,10.0,5.364980391305409,2.434282852159334,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,independent_single_run,,14,10.0,10.0,6.923734059441713,2.2038723331722183,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,leave_one_run_out,6,10/14,10.0,10.0,6.074161964589123,2.2616169688722314,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,leave_one_run_out,10,6/14,10.5,10.5,4.2076141764825365,2.1621110391485643,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
23,held_out_method_evaluation,leave_one_run_out,14,6/10,10.0,10.0,3.812587002317173,2.351083224238764,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,independent_single_run,,6,10.5,10.5,8.936531396181465,2.7309217063856446,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,independent_single_run,,10,10.5,10.5,8.657008156079755,2.197762267085561,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,independent_single_run,,14,10.5,10.5,9.53258185254576,2.977363631118786,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,leave_one_run_out,6,10/14,10.5,10.5,9.094795004312743,2.5917026074997955,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,leave_one_run_out,10,6/14,10.5,10.5,8.506211062329996,2.7113938201779493,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
25,held_out_method_evaluation,leave_one_run_out,14,6/10,10.5,10.5,8.414737682212944,2.4195406292311534,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,independent_single_run,,6,10.75,10.75,5.707434830699071,1.9511049119101234,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,independent_single_run,,10,10.5,10.5,7.469666602174641,2.17235892488014,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,independent_single_run,,14,11.75,11.75,4.22847729296565,1.5985622453965775,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,leave_one_run_out,6,10/14,11.75,11.75,4.845366303007211,2.130775446792847,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,leave_one_run_out,10,6/14,10.75,10.75,4.305360522731135,1.5794836525733396,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
27,held_out_method_evaluation,leave_one_run_out,14,6/10,10.75,10.75,5.466354980643601,2.140160809391984,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,independent_single_run,,6,11.25,11.25,13.227785343627431,2.745900327228879,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,independent_single_run,,10,10.75,10.75,10.496907615495331,2.7178737349353397,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,independent_single_run,,14,10.5,10.5,11.8447781768119,2.5984478182287427,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,leave_one_run_out,6,10/14,10.25,10.25,11.349741428357788,2.713073013874032,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,leave_one_run_out,10,6/14,11.0,11.0,11.900245351425184,2.798563979129589,well_defined_interior,True,,7.0,14.0,1.0,10.0,12.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
29,held_out_method_evaluation,leave_one_run_out,14,6/10,10.75,10.75,11.83794112777835,2.9317513750997173,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,independent_single_run,,6,7.75,7.75,2.6475796839355326,1.0619786945837628,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,independent_single_run,,10,7.75,7.75,4.745653888128928,0.8570616710677814,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,independent_single_run,,14,12.25,12.25,2.4283429301330415,0.7066643555565495,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,leave_one_run_out,6,10/14,7.75,7.75,3.3306597899509853,0.5533953520137991,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,leave_one_run_out,10,6/14,7.75,7.75,2.0728449943922698,0.33100404359870983,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
31,held_out_method_evaluation,leave_one_run_out,14,6/10,7.75,7.75,2.832160174174362,0.7341020196575122,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,independent_single_run,,6,10.5,10.5,4.88928600946555,1.285005113016536,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,independent_single_run,,10,10.25,10.25,5.430288867868853,2.3736343603487615,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,independent_single_run,,14,10.25,10.25,6.124616321552423,2.4466000798120295,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,leave_one_run_out,6,10/14,10.25,10.25,5.777452594710667,2.4533826184806706,well_defined_interior,True,,7.0,14.0,1.0,9.25,11.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,leave_one_run_out,10,6/14,10.5,10.5,4.39847911785057,1.7508937760351864,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
33,held_out_method_evaluation,leave_one_run_out,14,6/10,10.5,10.5,4.038351642738462,1.6069074598987663,well_defined_interior,True,,7.0,14.0,1.0,9.5,11.5,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,independent_single_run,,6,10.0,10.0,6.180314188293508,2.0208873349651255,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,independent_single_run,,10,10.0,10.0,7.1806219801381275,1.617550290082899,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,independent_single_run,,14,11.25,11.25,9.070401097118975,2.3362139477597954,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,leave_one_run_out,6,10/14,10.0,10.0,7.418300384471777,2.471239922208573,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,leave_one_run_out,10,6/14,10.0,10.0,6.493543042971638,2.2654791348706684,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
35,held_out_method_evaluation,leave_one_run_out,14,6/10,10.0,10.0,6.255864638637902,1.9172446219714177,well_defined_interior,True,,7.0,14.0,1.0,9.0,11.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,independent_single_run,,6,9.5,9.5,1.87800548920805,0.2810460961598338,well_defined_interior,True,,7.0,14.0,1.0,8.5,10.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,independent_single_run,,10,11.5,11.5,2.4954523169122353,0.6185109573543937,well_defined_interior,True,,7.0,14.0,1.0,10.5,12.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,independent_single_run,,14,8.25,8.25,2.496783163148578,0.34461622343113185,well_defined_interior,True,,7.0,14.0,1.0,7.25,9.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,leave_one_run_out,6,10/14,12.25,12.25,2.078153679144151,0.4940940141422683,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,leave_one_run_out,10,6/14,12.25,12.25,2.053695143245534,0.8497805718052662,well_defined_interior,True,,7.0,14.0,1.0,11.25,13.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
37,held_out_method_evaluation,leave_one_run_out,14,6/10,11.75,11.75,2.139279243851462,0.4047962107618339,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,independent_single_run,,6,7.75,7.75,1.9782232381096634,0.8573084891254446,well_defined_interior,True,,7.0,14.0,1.0,6.75,8.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,independent_single_run,,10,8.25,8.25,2.4257433294597774,0.6063166004622663,well_defined_interior,True,,7.0,14.0,1.0,7.25,9.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,independent_single_run,,14,13.25,13.25,2.279933171442636,0.4942172217178511,well_defined_interior,True,,7.0,14.0,1.0,12.25,14.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,leave_one_run_out,6,10/14,8.25,8.25,1.4812171883039866,0.6358282789624478,well_defined_interior,True,,7.0,14.0,1.0,7.25,9.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,leave_one_run_out,10,6/14,13.0,13.0,1.7096386514564443,0.37183990361310304,well_defined_interior,True,,7.0,14.0,1.0,12.0,14.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
39,held_out_method_evaluation,leave_one_run_out,14,6/10,,8.5,1.681901030111149,,poorly_defined_no_peak,False,no_interior_peak_meets_prominence,7.0,14.0,1.0,,,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,independent_single_run,,6,9.0,9.0,1.909424944577097,0.5581152727019267,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,independent_single_run,,10,10.75,10.75,2.957040470863717,1.0745289585850917,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,independent_single_run,,14,8.25,8.25,3.237920982301304,1.2113341968571791,well_defined_interior,True,,7.0,14.0,1.0,7.25,9.25,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,leave_one_run_out,6,10/14,10.75,10.75,1.8231102078635786,1.2304107849126438,well_defined_interior,True,,7.0,14.0,1.0,9.75,11.75,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,leave_one_run_out,10,6/14,11.25,11.25,1.761974852657616,0.6137089496205599,well_defined_interior,True,,7.0,14.0,1.0,10.25,12.25,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
41,held_out_method_evaluation,leave_one_run_out,14,6/10,9.0,9.0,1.082378033121472,0.4219343905805659,well_defined_interior,True,,7.0,14.0,1.0,8.0,10.0,30,C3/Cz/C4_mean_log_psd,T0_rest_only,False
43,held_out_method_evaluation,independent_single_run,,6,11.75,11.75,6.632088670300831,0.9209728364179606,well_defined_interior,True,,7.0,14.0,1.0,10.75,12.75,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
43,held_out_method_evaluation,independent_single_run,,10,11.5,11.5,8.52227046056855,1.0068351216708908,well_defined_interior,True,,7.0,14.0,1.0,10.5,12.5,15,C3/Cz/C4_mean_log_psd,T0_rest_only,False
