subject,subject_role,run,file_exists,load_success,source_file,source_sha256,edf_format,sampling_frequency_hz,channel_count,channel_names_compatible,annotation_count,T0_count,T1_count,T2_count,annotation_descriptions_compatible,annotation_alternation_compatible,duration_seconds,original_samples,valid_samples,trailing_zero_samples,earlier_all_channel_zero_samples,channel_candidate_count,channel_candidate_names,confirmed_flat_or_nonfinite_channel_count,confirmed_flat_or_nonfinite_channels,protocol_compatible,technical_category,failure_reason
9,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S009/S009R06.edf,c6665f0c93288610a0f3cc379edb8064072e7b276722358912a76e899bd6b194,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,12,FC6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F6/FT8,0,,True,adaptable_without_scientific_retuning,
9,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S009/S009R10.edf,eeeeb3a1fad45ab52993a7696c8f86b0f4cb7de3aa68a62cb2b1379fe87b4084,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,11,FC6/Fp1/Fpz/Fp2/AF7/AF3/AF8/F7/F5/F6/T10,0,,True,adaptable_without_scientific_retuning,
9,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S009/S009R14.edf,e9ffb381cf76880a63c95ffe80106e9339a290f1fa9632e7575515b4900a820b,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,16,FC4/FC6/C6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F6/F8/FT7/FT8,0,,True,adaptable_without_scientific_retuning,
10,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S010/S010R06.edf,5f5c213f1f7db4bdb52d8d54e8074d7f5e73655b1e040d41a7916d3d0a00b666,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,10,C1/Cz/C6/CP1/CPz/CP2/Fz/Pz/P2/P4,0,,True,adaptable_without_scientific_retuning,
10,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S010/S010R10.edf,693b0d9240095c01eb8ec5b2d0b3887cfbb8fbfeb85a04076b79c297b5b7d42c,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,11,FC6/Cz/C6/Fp1/Fp2/AF4/AF8/F4/O1/Oz/Iz,0,,True,adaptable_without_scientific_retuning,
10,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S010/S010R14.edf,138893d950405102e1536365290ac15255688eaab181170afbd5178e6714ae2e,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,8,FC6/C5/Cz/C6/CP4/Fp2/F4/FT8,0,,True,adaptable_without_scientific_retuning,
11,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S011/S011R06.edf,05e960ac5207e35af7dc1fe492b78c7f473340aa88a6639a8e9d711d27c80270,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,8,Fp1/Fpz/Fp2/AF7/AF8/T9/TP7/O2,0,,True,adaptable_without_scientific_retuning,
11,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S011/S011R10.edf,f3941502e7692576978f24c14c837b07e760fb94cdc65f2358790375d5537d87,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,4,CP2/AF8/T9/P2,0,,True,adaptable_without_scientific_retuning,
11,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S011/S011R14.edf,ba4007cd1ab12e9f87fb8a0d158b55e9b236cf29190db21709482290a05adbb9,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,7,CP2/Fp1/Fpz/AF7/AF8/T9/P7,0,,True,adaptable_without_scientific_retuning,
12,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S012/S012R06.edf,fe617707aa63e902238e4de12cd8ec22c55822d05d09f60bccab9d08ac53055a,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,18,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F1/F2/F4/F6/T9/Iz,0,,True,adaptable_without_scientific_retuning,
12,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S012/S012R10.edf,f70b4292ae24574f7f4835ae89e7d5fc6350c26d0d8da86b347ea0bf4956a17a,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,17,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/FT7/T9/Oz/O2/Iz,0,,True,adaptable_without_scientific_retuning,
12,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S012/S012R14.edf,e1b65406fcdf9107d1cb5ec813b7dac9a074a212172d1f79fc403304125900ff,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,17,FC5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F1/FT7/T9/O2/Iz,0,,True,adaptable_without_scientific_retuning,
13,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S013/S013R06.edf,2e615fe7a657d7047f4fbe789b66968dbde9394c16cdb9d0995f1c0d376a94a6,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,17,FC5/FC6/C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F4/F6/F8/O1,0,,True,adaptable_without_scientific_retuning,
13,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S013/S013R10.edf,14c0536c6a2bbc572cf7b4b7e128aa2f1bd5b3a65e84a16184fd4b382609459d,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,16,FC5/FC6/C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
13,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S013/S013R14.edf,ebdbc2b8c8d86022a8f285bf4b42674364d91cc46eecc1e1abc04043ef12c17b,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,18,FC5/FC6/C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F1/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
14,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S014/S014R06.edf,2effc21654d198aa9b98432717d66111358ee5795b929bb4c433d5d9ab066e97,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,14,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/T8/T10/TP7/PO8,0,,True,adaptable_without_scientific_retuning,
14,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S014/S014R10.edf,c0fdc474a78421cc6048a9c8dfc8cafa8424dd4379135b60d68a77c4ee0b2b6a,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,23,FC5/FC6/C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F6/F8/FT7/T7/T8/T9/T10/TP7/TP8/PO8,0,,True,adaptable_without_scientific_retuning,
14,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S014/S014R14.edf,dc0139288de0668975cfde05cce9663a186ba1b2ccb3fce71fbd4bbbb206b5ba,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,18,C5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/T7/T8/T9/T10/TP7/TP8/PO8,0,,True,adaptable_without_scientific_retuning,
15,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S015/S015R06.edf,705c63ec04c0f9096cc6b4f32eec0bcea9a0bfa8d01aed7494b67a487e014afe,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,13,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/T8/T10/P7,0,,True,adaptable_without_scientific_retuning,
15,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S015/S015R10.edf,67233630176aa19faa4133355be20476cc8f571d9327943b9d35a73ecb96f519,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,11,Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/F7/F5/T10/TP7,0,,True,adaptable_without_scientific_retuning,
15,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S015/S015R14.edf,3f57b464e13807f30aacbfc2f6780bc02bf8faecea883725683177416503c875,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,4,CP2/CP6/Fp1/Fp2,0,,True,adaptable_without_scientific_retuning,
16,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S016/S016R06.edf,8ff4a1d19384bffce8524194507bdb42946fa06da83bdb75518c9a23f9677876,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,17,CP5/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F2/F4/F6/F8/T10,0,,True,adaptable_without_scientific_retuning,
16,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S016/S016R10.edf,dd359a54e0811d4a08e82284cc251e1ce193f365079578f18d006cf7f1e3919c,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,12,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F6/F8/FT7/T8,0,,True,adaptable_without_scientific_retuning,
16,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S016/S016R14.edf,80dafefa87cba873be315c21c9bc805c9f3c57b50cb9d0efa9a5b8b71037b1c7,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,11,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F5/F6/F8,0,,True,adaptable_without_scientific_retuning,
17,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S017/S017R06.edf,0e32de926757e1a493c3df6d85955c30e0b45b0caa7f1ddac2a4cb483257891e,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,9,C6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF8/T10,0,,True,adaptable_without_scientific_retuning,
17,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S017/S017R10.edf,1cb81c247ff4d726beca43e0bd37d6ff1aacf0d0c63068c6d389af327a86484b,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,14,FC6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F5/FT7/FT8/T10/TP8,0,,True,adaptable_without_scientific_retuning,
17,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S017/S017R14.edf,f95cb81454f050fc58c4d2bcb7698526e5a6cef17b157e601ec1d4abb96eb3ea,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,15,FC5/FC6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/FT8/T10/TP8,0,,True,adaptable_without_scientific_retuning,
18,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S018/S018R06.edf,c63f23d980060ac721c705567e65603808dffd0af32391c6e2528072bdaf3cec,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,13,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/FT7/T10/TP7,0,,True,adaptable_without_scientific_retuning,
18,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S018/S018R10.edf,de1322a24dc7d95c29d64d91488cb1cf3ea30aa5953c7fbc80b1fa42d4ab44f2,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,12,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F6/T10,0,,True,adaptable_without_scientific_retuning,
18,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S018/S018R14.edf,33e7d70d1b51cb549dbe2785e85414e3c82b039c4dbfb71be40c2bcd48136dcc,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,24,FC6/C4/C6/CP5/CP3/CP1/CPz/CP2/CP4/CP6/Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/FT7/T7/T10/TP7,0,,True,adaptable_without_scientific_retuning,
19,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S019/S019R06.edf,1b0ad7d85228488fe95410bcb88108d41cd8bc2f9b078cf8c0641ed1e8656f42,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,12,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
19,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S019/S019R10.edf,809a866319f3dca5bc549d4ed8bb36a891ba270d4aee23950cb5e85c2819fdbe,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,14,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7/F5/F3/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
19,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S019/S019R14.edf,f1c4268a5d230b83417494012193d3511dd8d4de5930a9ebbb03ad2e26a75dd2,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,13,Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/F7/F5/F3/F4/F6/F8,0,,True,adaptable_without_scientific_retuning,
20,replication,6,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S020/S020R06.edf,6e127745b2b1031bb274f72063b954a79b584163e17c964aa8e859c878498145,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,10,CP4/Fp1/Fpz/Fp2/AF7/AF3/AF4/AF8/F7/T10,0,,True,adaptable_without_scientific_retuning,
20,replication,10,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S020/S020R10.edf,aef44481a6fe1a8e732450ef594b3167bca2fbd01bb23a29d7ec79a670f0a658,edf,160.0,64,True,30,15,7,8,True,True,123.0,19680,19680,0,0,9,Fp1/Fpz/Fp2/AF4/AF8/O1/Oz/O2/Iz,0,,True,adaptable_without_scientific_retuning,
20,replication,14,True,True,data/MNE-eegbci-data/files/eegmmidb/1.0.0/S020/S020R14.edf,1d9a26f8c38886fa4d700deb86100e56df958b2507875f45adbac7c98de15ed8,edf,160.0,64,True,30,15,8,7,True,True,123.0,19680,19680,0,0,9,Fp1/Fpz/Fp2/AF7/AF3/AFz/AF4/AF8/F7,0,,True,adaptable_without_scientific_retuning,
