subject,run,run_trial_index,semantic_condition,task_event_time_seconds,quality_status,quality_evidence,channel,frequency_band,candidate_change_percent,all_trial_median,median_without_trial,median_shift,absolute_median_shift
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,C3,central_12_13,-46.44312376929952,30.292460642118655,35.192310252871756,4.899849610753101,4.899849610753101
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,C4,central_12_13,-52.62493656505364,22.313400255138223,26.245578737646454,3.932178482508231,3.932178482508231
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,C4,central_12_13,-43.301694944769245,22.313400255138223,26.245578737646454,3.932178482508231,3.932178482508231
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,C3,mu,-54.42659714676362,22.397374610925645,27.173214916940253,4.775840306014608,4.775840306014608
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,C3,mu,-57.31684615354879,22.397374610925645,27.173214916940253,4.775840306014608,4.775840306014608
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,Cz,mu,65.6605388376095,2.2454707722825904,-3.862365872567433,-6.107836644850023,6.107836644850023
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,Cz,mu,-70.92715203937553,2.2454707722825904,8.353307417132614,6.107836644850023,6.107836644850023
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,C4,mu,-22.864380918536234,3.792494111579183,6.3407118026818265,2.5482176911026437,2.5482176911026437
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,C4,mu,-39.7934184538435,3.792494111579183,6.3407118026818265,2.5482176911026437,2.5482176911026437
1,10,8,both_feet_imagery,70.6,statistical candidate,high max_precontext_p2p_uV (robust_z=4.34); high max_task_abs_step_uV (robust_z=6.92); channel-specific high task p2p: C5/CP5/F5/FT7/TP7,Cz,beta,70.5083376753919,15.178388352704314,13.340857598350452,-1.8375307543538622,1.8375307543538622
1,14,9,both_feet_imagery,78.9,statistical candidate,high median_task_p2p_uV (robust_z=3.73); channel-specific high task p2p: FC5/FC4/C4/F6/P7/P2/P4/P6/P8/PO7/PO3/POz/PO4/PO8/O1/O2,Cz,beta,-36.028981778840006,15.178388352704314,17.015919107058174,1.8375307543538604,1.8375307543538604
